model,fold,avg_mae,baseline_mae,rmae
lgbm,1,17.506661547701594,19.66081055607917,0.8904343744001181
lgbm,2,19.10372823005511,15.446255105246623,1.2367870464321256
lgbm,3,12.163576725927376,15.13860508953817,0.8034806809468367
lgbm,4,20.213870403546306,25.087891925856113,0.8057221572575998
lgbm,5,19.4899705532414,20.808834432924915,0.9366200022430504
lgbm,test,16.363853257114517,20.287543969849246,0.8065960710391556
xgb,1,17.169211267662842,19.66081055607917,0.873270774808116
xgb,2,18.95925559435406,15.446255105246623,1.2274337996602283
xgb,3,12.250016008338068,15.13860508953817,0.8091905387507388
xgb,4,20.256475581961947,25.087891925856113,0.8074203939425135
xgb,5,19.814593245115788,20.808834432924915,0.9522202365051268
xgb,test,16.49677433183141,20.287543969849246,0.8131479274351018
mlp,1,19.081251979155542,19.66081055607917,0.9705221422448208
mlp,2,18.994228527730364,15.446255105246623,1.2296979687509242
mlp,3,13.51227209788093,15.13860508953817,0.8925704857192457
mlp,4,21.4301554372375,25.087891925856113,0.8542031152147593
mlp,5,20.111291193711523,20.808834432924915,0.9664785050089255
mlp,test,17.977317538295218,20.287543969849246,0.8861258694010758
lstm,1,18.267237144903405,19.66081055607917,0.9291192289757927
lstm,2,21.32635567865129,15.446255105246623,1.3806813064616144
lstm,3,14.655473063988907,15.13860508953817,0.9680860936201353
lstm,4,20.90603739214283,25.087891925856113,0.8333118403861038
lstm,5,20.570066087250645,20.808834432924915,0.9885256261496089
lstm,test,19.32336713763882,20.287543969849246,0.9524744427593917
