model,fold,avg_rmse
lgbm,1,30.25018186779703
lgbm,2,58.65489212317401
lgbm,3,22.34888134192561
lgbm,4,32.43638478782358
lgbm,5,32.533528514193875
lgbm,test,28.98396368535993
xgb,1,30.060045340059567
xgb,2,59.051464395846
xgb,3,22.44605281840842
xgb,4,32.906692446518235
xgb,5,32.50473898824617
xgb,test,29.261862152241868
mlp,1,30.30791133390877
mlp,2,39.61287721185125
mlp,3,23.01139806160213
mlp,4,32.921650319865165
mlp,5,32.023259743538084
mlp,test,30.19956197379211
lstm,1,29.58146808096304
lstm,2,45.53826424674852
lstm,3,23.765211262147588
lstm,4,31.451689887301363
lstm,5,31.67221360496657
lstm,test,30.6312478158476
