fold,actual,pred,residual
1,85.0,81.39146,3.6085433959960938
1,81.98,78.021164,3.9588360595703165
1,79.96,70.342026,9.617974243164056
1,76.0,62.12328,13.876720428466797
1,75.99,63.720078,12.269922485351557
1,74.64,65.716064,8.923935546875
1,69.44,75.02178,-5.581781921386721
1,60.67,63.643917,-2.9739170837402327
1,36.79,53.622658,-16.832657775878907
1,0.0,29.419373,-29.41937255859375
1,-3.08,-0.9577821,-2.1222179102897645
1,-10.06,-2.804206,-7.255794105529786
1,-10.03,-2.4758384,-7.554161577224731
1,-9.91,-1.3689506,-8.541049394607544
1,-10.0,-1.7301494,-8.269850611686707
1,-4.91,21.079184,-25.98918357849121
1,-5.04,6.1074176,-11.147417583465575
1,-0.06,4.363867,-4.423866806030273
1,50.0,17.918695,32.0813045501709
1,72.9,58.8109,14.089098358154303
1,105.42,73.94558,31.474420471191408
1,99.34,91.02633,8.31367095947266
1,82.29,79.86086,2.4291372680664125
1,69.5,69.1624,0.3376007080078125
1,12.38,61.710243,-49.330243225097654
1,4.08,28.403292,-24.32329170227051
1,4.07,20.783072,-16.713071517944336
1,4.09,17.082586,-12.992586288452149
1,53.21,24.882837,28.327162704467774
1,62.56,62.590652,-0.030652465820310226
1,66.66,84.49011,-17.830112304687503
1,58.71,90.01819,-31.3081884765625
1,29.92,72.71783,-42.79782684326172
1,4.03,40.99125,-36.961249084472655
1,3.49,17.434502,-13.944501647949219
1,2.3,14.332203,-12.032202911376952
1,2.1,24.144905,-22.04490509033203
1,4.03,21.096478,-17.06647750854492
1,4.06,27.977537,-23.91753715515137
1,4.01,26.865059,-22.855058898925783
1,8.93,29.802563,-20.872562713623047
1,119.05,39.011723,80.03827743530273
1,79.78,108.163635,-28.38363525390625
1,114.96,89.8306,25.12940307617187
1,119.01,110.83292,8.17708374023438
1,95.07,102.71845,-7.648452453613288
1,95.05,83.20613,11.843869018554685
1,77.27,77.43542,-0.16541717529297273
1,75.02,67.38339,7.636607666015621
1,71.05,70.65643,0.39356689453124716
1,68.9,68.72845,0.17155303955078693
1,68.93,67.850006,1.0799938964843818
1,74.84,79.66857,-4.828571472167965
1,84.49,91.98961,-7.499608764648443
1,109.12,108.344124,0.7758761596679733
1,118.99,117.969734,1.0202658081054636
1,108.64,110.90186,-2.2618630981445307
1,90.06,93.661896,-3.6018957519531227
1,82.37,80.36661,2.0033923339843795
1,71.64,73.59915,-1.9591516113281244
1,67.72,67.97458,-0.25457885742187614
1,60.54,68.13037,-7.590371093750001
1,62.19,66.40975,-4.219751892089846
1,71.27,81.05642,-9.786419372558598
1,78.93,90.039825,-11.109825439453118
1,91.86,108.73759,-16.877586975097657
1,95.62,111.29292,-15.672922973632808
1,121.9,113.278564,8.621435546875006
1,150.85,126.496574,24.353425598144526
1,122.75,131.01501,-8.2650146484375
1,94.97,109.71224,-14.742242126464845
1,87.5,85.523674,1.9763259887695312
1,85.92,79.05491,6.8650912475585955
1,81.42,80.96196,0.4580401611328142
1,74.2,76.11725,-1.9172485351562472
1,79.79,74.94073,4.8492727661132875
1,88.57,89.934044,-1.3640438842773506
1,91.69,100.206116,-8.516115722656252
1,113.84,108.92989,4.91010650634766
1,118.55,123.34655,-4.796549987792972
1,104.18,113.693474,-9.513473815917962
1,86.41,95.64044,-9.230441894531253
1,66.92,79.5987,-12.67870147705078
1,47.93,66.21869,-18.28868896484375
1,32.4,62.517,-30.116998291015626
1,28.49,48.50292,-20.012918243408205
1,49.45,47.3742,2.075801086425784
1,77.13,130.54744,-53.41743957519532
1,19.67,56.099888,-36.42988784790039
1,82.39,43.291267,39.09873260498047
1,82.4,83.281334,-0.8813339233398381
1,119.03,96.08022,22.949776916503907
1,88.18,122.34775,-34.16774780273437
1,82.4,83.50693,-1.1069274902343693
1,95.09,76.98785,18.102153625488285
1,91.76,75.4165,16.343503723144536
1,84.15,80.972916,3.177084350585943
1,74.3,78.3854,-4.085398864746097
