feature,mean_abs_shap
Atsilikimas 1h,32.147656640274334
Valanda,6.594806702392303
Atsilikimas 2h,4.8184729754005176
Atsilikimas 24h,3.9293098274704037
Atsilikimas 168h,1.9435984555552424
Slankusis vidurkis 24h,1.757474523906153
Atsilikimas 48h,1.4386251876328933
Savaitės diena,1.3375405177976356
Atsilikimas 3h,1.1228729981947476
Slankusis vidurkis 168h,1.116219128630144
Atsilikimas 96h,1.05428369001709
Slankusis st. nuokrypis 12h,1.0060762957666416
Slankusis vidurkis 12h,0.9459259340431035
Metų diena,0.7838818868665753
Atsilikimas 12h,0.6884041626343792
Slankusis vidurkis 6h,0.5885941605053528
Slankusis vidurkis 48h,0.5075020302403925
Slankusis st. nuokrypis 48h,0.5040548627010439
Atsilikimas 6h,0.4671373311996339
Slankusis st. nuokrypis 6h,0.4003854112006712
Slankusis st. nuokrypis 168h,0.3045043919154828
Slankusis st. nuokrypis 24h,0.28407642294017754
Mėnuo,0.19262470545229524
Savaitgalis,0.17955175325418957
Diena,0.12409541248036265
Metai,0.08705879989017873
Ketvirtis,0.016325578446273623
