feature,mean_abs_shap
Atsilikimas 24h,34.186268261262896
Atsilikimas 1h,30.347307357722627
Atsilikimas 48h,14.039046067022545
Atsilikimas 2h,11.99160829425744
Atsilikimas 96h,11.607408732678426
Atsilikimas 168h,10.893552092118675
Metų diena,9.225033786549565
Slankusis vidurkis 168h,9.051541559167307
Atsilikimas 12h,7.690801129599468
Slankusis vidurkis 6h,6.548423239714926
Slankusis vidurkis 48h,5.7418670557353275
Atsilikimas 6h,5.4804580250348165
Atsilikimas 3h,4.3513919713173435
Slankusis st. nuokrypis 168h,3.7957051825237675
Slankusis st. nuokrypis 48h,2.8973444521856373
Slankusis vidurkis 12h,2.0446578668126656
Slankusis vidurkis 24h,1.607717778336716
Slankusis st. nuokrypis 6h,0.707026317911905
Diena,0.5192481084098938
Slankusis st. nuokrypis 12h,0.48979462659173173
Slankusis st. nuokrypis 24h,0.4499302497144774
Valanda,0.013900365577039902
Savaitės diena,0.013138137402276127
Savaitgalis,0.0046344427128065056
Metai,0.0
Mėnuo,0.0
Ketvirtis,0.0
