feature,mean_abs_shap
Atsilikimas 1h,43.14168934466885
Atsilikimas 48h,13.519031147851019
Atsilikimas 24h,11.708197539417734
Slankusis vidurkis 6h,7.577081516276549
Slankusis vidurkis 24h,6.766195219564563
Atsilikimas 168h,5.70125883244121
Atsilikimas 12h,4.348435925145718
Slankusis vidurkis 48h,4.347630770905147
Atsilikimas 3h,4.310470667482582
Atsilikimas 6h,1.609746199337573
Atsilikimas 2h,1.2561582129694986
Slankusis st. nuokrypis 48h,1.2468318973867363
Slankusis vidurkis 12h,1.1572060294652464
Slankusis vidurkis 168h,1.114959944011531
Metų diena,0.5863941112011196
Slankusis st. nuokrypis 24h,0.46761362210452434
Atsilikimas 96h,0.41969497874000466
Slankusis st. nuokrypis 12h,0.031159383955889405
Slankusis st. nuokrypis 168h,0.013798199846022503
Diena,0.0034827996687327016
Metai,0.0
Savaitgalis,0.0
Ketvirtis,0.0
Valanda,0.0
Mėnuo,0.0
Savaitės diena,0.0
Slankusis st. nuokrypis 6h,0.0
