number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,34.40032047509119,2026-04-12 11:21:04.573766,2026-04-12 11:21:09.213527,0 days 00:00:04.639761,0.7044608653817215,0.004141063531225149,6,600,900,20,COMPLETE
1,48.467247785614454,2026-04-12 11:21:09.213527,2026-04-12 11:21:09.783239,0 days 00:00:00.569712,0.6264095967784713,0.0076616000936911436,7,900,100,25,COMPLETE
2,29.876281699195495,2026-04-12 11:21:09.783239,2026-04-12 11:21:12.415655,0 days 00:00:02.632416,0.6018649365957882,0.06087743168968718,4,300,800,25,COMPLETE
3,40.09737571229351,2026-04-12 11:21:12.415655,2026-04-12 11:21:14.588977,0 days 00:00:02.173322,0.9495321321142688,0.002964637990021699,4,800,500,54,COMPLETE
4,37.679650695644874,2026-04-12 11:21:14.590987,2026-04-12 11:21:18.099602,0 days 00:00:03.508615,0.9624046091669365,0.006830425078418828,5,1000,900,30,COMPLETE
5,30.75314288175171,2026-04-12 11:21:18.101615,2026-04-12 11:21:23.364813,0 days 00:00:05.263198,0.6551283554119592,0.2899292620142616,7,400,900,25,COMPLETE
6,34.29340509989903,2026-04-12 11:21:23.365941,2026-04-12 11:21:28.208779,0 days 00:00:04.842838,0.9681461186195089,0.004577392282045828,4,500,800,36,COMPLETE
7,30.052759138264918,2026-04-12 11:21:28.208779,2026-04-12 11:21:30.553982,0 days 00:00:02.345203,0.7356455798483397,0.28888122574603475,4,300,500,23,COMPLETE
8,32.1797220062408,2026-04-12 11:21:30.553982,2026-04-12 11:21:31.966231,0 days 00:00:01.412249,0.6518855031846942,0.04266325287703123,5,500,300,58,COMPLETE
9,39.80803737094688,2026-04-12 11:21:31.966231,2026-04-12 11:21:33.220692,0 days 00:00:01.254461,0.5319305543451402,0.012128612211638785,5,1500,400,35,COMPLETE
