number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,200.6869251096659,2026-04-29 12:12:44.180158,2026-04-29 12:12:46.485041,0 days 00:00:02.304883,5.05954994748709,0.8206894676340437,0.1536665701620294,7,29,861,86,COMPLETE
1,38.679261017750676,2026-04-29 12:12:46.485041,2026-04-29 12:12:48.885036,0 days 00:00:02.399995,8.01205662187335,0.4264896482643801,0.0021694443806620283,10,36,766,40,COMPLETE
2,36.26188388718691,2026-04-29 12:12:48.885036,2026-04-29 12:12:49.478584,0 days 00:00:00.593548,2.7241627728863236,0.9067702243072114,0.010040945026790017,3,39,580,100,COMPLETE
3,37.783593785158715,2026-04-29 12:12:49.478584,2026-04-29 12:12:50.840656,0 days 00:00:01.362072,16.274513065690197,0.4843001333200578,0.0031138624812202405,6,16,687,19,COMPLETE
4,36.54685876043232,2026-04-29 12:12:50.840656,2026-04-29 12:12:51.533638,0 days 00:00:00.692982,13.725493600078648,0.7564663030051142,0.09478530751109676,6,99,457,83,COMPLETE
5,45.23573198642521,2026-04-29 12:12:51.533638,2026-04-29 12:12:52.126997,0 days 00:00:00.593359,57.97950807093008,0.5564569233137396,0.0015218435785148575,3,8,587,70,COMPLETE
6,36.15959800188101,2026-04-29 12:12:52.126997,2026-04-29 12:12:52.928319,0 days 00:00:00.801322,42.814764184045806,0.7665351517896825,0.07759687173092651,10,99,317,103,COMPLETE
7,599595.8124998746,2026-04-29 12:12:52.928319,2026-04-29 12:12:55.165867,0 days 00:00:02.237548,3.5550411650411555,0.6665076907929984,0.18577994240374712,8,13,839,61,COMPLETE
8,19266.038066746536,2026-04-29 12:12:55.165867,2026-04-29 12:12:57.506782,0 days 00:00:02.340915,3.6362591481486595,0.8020769000148182,0.13642989769291378,9,29,898,85,COMPLETE
9,36.953540440944494,2026-04-29 12:12:57.522406,2026-04-29 12:12:57.962678,0 days 00:00:00.440272,6.7928676486546635,0.4529257782624615,0.13254635316077615,3,60,570,73,COMPLETE
