number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,62.76116249578958,2026-04-29 11:44:14.588544,2026-04-29 11:44:15.048463,0 days 00:00:00.459919,5.148473319897824,0.586168228708921,0.014984931145556647,6,72,128,97,COMPLETE
1,66.8848325424497,2026-04-29 11:44:15.048463,2026-04-29 11:44:15.862631,0 days 00:00:00.814168,9.171908199513224,0.7531794014166684,0.001239292050406113,6,59,139,57,COMPLETE
2,66.31963326053946,2026-04-29 11:44:15.862631,2026-04-29 11:44:16.809752,0 days 00:00:00.947121,2.6766905833010037,0.5930206486548054,0.0022253780718885807,4,84,472,21,COMPLETE
3,44.97482161414274,2026-04-29 11:44:16.824257,2026-04-29 11:44:17.457976,0 days 00:00:00.633719,44.21962433318867,0.7664937041527025,0.0031096445146519486,3,31,574,57,COMPLETE
4,35.97855399120485,2026-04-29 11:44:17.471480,2026-04-29 11:44:18.708012,0 days 00:00:01.236532,24.372600473010515,0.557141090990596,0.04375456178113176,5,77,945,105,COMPLETE
5,50.56581546438276,2026-04-29 11:44:18.708012,2026-04-29 11:44:21.076998,0 days 00:00:02.368986,11.434758882459414,0.610257098155655,0.004122360975522692,9,71,902,26,COMPLETE
6,36.25376512680961,2026-04-29 11:44:21.076998,2026-04-29 11:44:21.339082,0 days 00:00:00.262084,23.16285338800054,0.437277878886137,0.27785285767530604,4,82,217,37,COMPLETE
7,37.828843448576315,2026-04-29 11:44:21.339082,2026-04-29 11:44:23.896299,0 days 00:00:02.557217,6.959155613885817,0.4787438319062733,0.028087805897171945,8,95,949,70,COMPLETE
8,65.08243473154805,2026-04-29 11:44:23.896299,2026-04-29 11:44:25.900572,0 days 00:00:02.004273,2.9229934434417477,0.6996047050772293,0.0018970452776519331,5,87,911,60,COMPLETE
9,37.371364824569845,2026-04-29 11:44:25.900572,2026-04-29 11:44:31.128268,0 days 00:00:05.227696,39.59041435660218,0.841003004242688,0.005093358081523598,9,31,811,105,COMPLETE
10,36.82270024839109,2026-04-29 11:44:31.143892,2026-04-29 11:44:33.123880,0 days 00:00:01.979988,17.609124720348586,0.9922750049822331,0.11410550075689416,7,10,667,85,COMPLETE
11,36.18282601357511,2026-04-29 11:44:33.123880,2026-04-29 11:44:33.410587,0 days 00:00:00.286707,21.639723366341425,0.4128362006565079,0.19455855296323213,3,53,342,38,COMPLETE
12,36.594730380152534,2026-04-29 11:44:33.410587,2026-04-29 11:44:33.693237,0 days 00:00:00.282650,23.126245325917715,0.42690642659977446,0.05535416417284141,3,46,329,42,COMPLETE
13,36.38459003846115,2026-04-29 11:44:33.693237,2026-04-29 11:44:34.193869,0 days 00:00:00.500632,15.2360176859587,0.5080802519214858,0.2485095083089271,5,52,396,80,COMPLETE
14,37.19028592378204,2026-04-29 11:44:34.193869,2026-04-29 11:44:34.855562,0 days 00:00:00.661693,58.720936476551294,0.5436927218212549,0.09639651515144222,4,64,704,40,COMPLETE
15,44.18946247461555,2026-04-29 11:44:34.855562,2026-04-29 11:44:35.163277,0 days 00:00:00.307715,27.2326277903391,0.403169749176018,0.012298843932924878,3,41,299,109,COMPLETE
16,36.032911054049265,2026-04-29 11:44:35.163277,2026-04-29 11:44:36.070590,0 days 00:00:00.907313,38.27925175534328,0.51010300383883,0.041340128159176405,5,6,538,90,COMPLETE
17,35.69998120715416,2026-04-29 11:44:36.070590,2026-04-29 11:44:38.011761,0 days 00:00:01.941171,33.74101324530896,0.6578365312742172,0.03402812299731973,7,6,561,92,COMPLETE
18,36.11279765976836,2026-04-29 11:44:38.011761,2026-04-29 11:44:40.860711,0 days 00:00:02.848950,32.13827403096407,0.6672413995297467,0.011277098960798104,7,20,771,98,COMPLETE
19,36.10627500256875,2026-04-29 11:44:40.860711,2026-04-29 11:44:43.314329,0 days 00:00:02.453618,54.8807532966921,0.8576613285113543,0.025122025965844865,10,100,993,75,COMPLETE
20,36.2355006264484,2026-04-29 11:44:43.314329,2026-04-29 11:44:45.227059,0 days 00:00:01.912730,14.202775118197902,0.6285264903130394,0.06527671249213676,8,26,643,92,COMPLETE
