number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,38.0352674768954,2026-04-29 11:34:08.797006,2026-04-29 11:34:11.126073,0 days 00:00:02.329067,0.9010829403631386,0.030945495119652507,6,15,818,31,COMPLETE
1,36.577412407240274,2026-04-29 11:34:11.126073,2026-04-29 11:34:12.146940,0 days 00:00:01.020867,0.4759385060014987,0.014466813261607942,7,97,423,58,COMPLETE
2,36.48149393832585,2026-04-29 11:34:12.146940,2026-04-29 11:34:15.261142,0 days 00:00:03.114202,0.49997229539248617,0.01539642394018149,8,6,927,50,COMPLETE
3,37.45102117527213,2026-04-29 11:34:15.261142,2026-04-29 11:34:17.694948,0 days 00:00:02.433806,0.8094394704408651,0.02600867737537435,10,74,935,69,COMPLETE
4,36.391610972970156,2026-04-29 11:34:17.694948,2026-04-29 11:34:19.368940,0 days 00:00:01.673992,0.7576297691076723,0.007226756570531836,7,56,599,34,COMPLETE
5,37.494991541851526,2026-04-29 11:34:19.368940,2026-04-29 11:34:20.053195,0 days 00:00:00.684255,0.70252327573939,0.08246735824110292,9,100,378,28,COMPLETE
6,36.96716966637237,2026-04-29 11:34:20.053195,2026-04-29 11:34:20.440109,0 days 00:00:00.386914,0.7904427155414413,0.05246666266387785,4,42,337,18,COMPLETE
7,43.95726391436317,2026-04-29 11:34:20.440109,2026-04-29 11:34:23.140352,0 days 00:00:02.700243,0.6719218142902352,0.001072368527658347,9,96,951,30,COMPLETE
8,51.599748839799965,2026-04-29 11:34:23.140352,2026-04-29 11:34:24.459717,0 days 00:00:01.319365,0.7554898412011,0.0014420564125398668,9,76,351,41,COMPLETE
9,54.91722288473231,2026-04-29 11:34:24.459717,2026-04-29 11:34:24.867349,0 days 00:00:00.407632,0.8593399792356221,0.0031924609189913408,6,42,114,47,COMPLETE
10,38.613580660792636,2026-04-29 11:34:24.867349,2026-04-29 11:34:25.521374,0 days 00:00:00.654025,0.989725557812822,0.1747180536175561,3,61,640,100,COMPLETE
11,36.01263569892011,2026-04-29 11:34:25.521374,2026-04-29 11:34:28.543022,0 days 00:00:03.021648,0.5428022394807271,0.008563405781285305,7,9,677,75,COMPLETE
12,36.44317611294324,2026-04-29 11:34:28.543022,2026-04-29 11:34:29.875790,0 days 00:00:01.332768,0.6024962923083089,0.005434155585784408,5,28,662,81,COMPLETE
13,38.160315863940866,2026-04-29 11:34:29.875790,2026-04-29 11:34:31.809394,0 days 00:00:01.933604,0.4026447481128992,0.0046781184215106885,7,58,575,85,COMPLETE
14,35.96782457997705,2026-04-29 11:34:31.809394,2026-04-29 11:34:33.186930,0 days 00:00:01.377536,0.5689170063494513,0.007130050204635682,5,28,775,71,COMPLETE
15,38.472467324413984,2026-04-29 11:34:33.186930,2026-04-29 11:34:34.812114,0 days 00:00:01.625184,0.5797476016484493,0.0027868237868287405,5,26,743,72,COMPLETE
16,36.218342021663645,2026-04-29 11:34:34.812114,2026-04-29 11:34:36.298118,0 days 00:00:01.486004,0.5729417351361029,0.00741772645704012,5,20,814,103,COMPLETE
17,36.64578443323836,2026-04-29 11:34:36.298118,2026-04-29 11:34:36.998097,0 days 00:00:00.699979,0.5042728841569959,0.009323754663823708,3,5,742,88,COMPLETE
18,44.46915915508835,2026-04-29 11:34:36.998097,2026-04-29 11:34:37.698525,0 days 00:00:00.700428,0.6490018770414245,0.002147528598754679,4,37,486,59,COMPLETE
19,36.09794611073683,2026-04-29 11:34:37.698525,2026-04-29 11:34:40.488248,0 days 00:00:02.789723,0.40007599152524853,0.013025191184680731,8,14,816,74,COMPLETE
20,36.43186256126016,2026-04-29 11:34:40.488248,2026-04-29 11:34:41.441706,0 days 00:00:00.953458,0.5376675642769355,0.027716167533814937,6,28,501,92,COMPLETE
21,36.194817578806564,2026-04-29 11:34:41.441706,2026-04-29 11:34:44.217556,0 days 00:00:02.775850,0.42532135902889107,0.01205423574645839,8,14,780,74,COMPLETE
22,36.519031817680265,2026-04-29 11:34:44.217556,2026-04-29 11:34:47.839002,0 days 00:00:03.621446,0.4369066476270669,0.00410716179510211,8,15,870,65,COMPLETE
23,36.400862012890116,2026-04-29 11:34:47.839002,2026-04-29 11:34:49.770338,0 days 00:00:01.931336,0.6285341141710357,0.02179259932586942,8,34,692,79,COMPLETE
24,36.159411822333254,2026-04-29 11:34:49.770338,2026-04-29 11:34:53.004056,0 days 00:00:03.233718,0.4653744479477533,0.009395339491361725,7,5,889,63,COMPLETE
25,43.60012120414608,2026-04-29 11:34:53.004056,2026-04-29 11:34:56.649159,0 days 00:00:03.645103,0.5417407391493394,0.04212629569395525,10,17,997,95,COMPLETE
26,38.47343193720015,2026-04-29 11:34:56.649159,2026-04-29 11:34:57.410643,0 days 00:00:00.761484,0.5262318098185411,0.07697586557494346,4,22,716,53,COMPLETE
27,36.73773173445797,2026-04-29 11:34:57.410643,2026-04-29 11:34:58.838260,0 days 00:00:01.427617,0.7025229272154806,0.01691371731242121,6,50,837,76,COMPLETE
28,43.800932724709185,2026-04-29 11:34:58.838260,2026-04-29 11:35:00.094719,0 days 00:00:01.256459,0.45104300448869533,0.0019179361913992615,5,11,626,68,COMPLETE
29,35.961161986503086,2026-04-29 11:35:00.094719,2026-04-29 11:35:02.081897,0 days 00:00:01.987178,0.5978268592474438,0.006046209504525413,6,34,796,110,COMPLETE
30,37.201273942444686,2026-04-29 11:35:02.081897,2026-04-29 11:35:03.558273,0 days 00:00:01.476376,0.6099953755122194,0.005574106219180172,6,48,529,107,COMPLETE
31,35.75309753218794,2026-04-29 11:35:03.558273,2026-04-29 11:35:05.533607,0 days 00:00:01.975334,0.582923240425975,0.011247034659892378,7,35,788,85,COMPLETE
32,35.77030838428239,2026-04-29 11:35:05.533607,2026-04-29 11:35:07.831398,0 days 00:00:02.297791,0.5660401388399485,0.00768362685851319,7,32,768,96,COMPLETE
33,37.17763331576946,2026-04-29 11:35:07.831398,2026-04-29 11:35:10.186641,0 days 00:00:02.355243,0.6671734800112451,0.0031450862269165178,6,34,772,110,COMPLETE
34,36.25424498090767,2026-04-29 11:35:10.186641,2026-04-29 11:35:12.335869,0 days 00:00:02.149228,0.5779425821096114,0.012096797243708126,7,41,881,98,COMPLETE
35,36.73336690706692,2026-04-29 11:35:12.335869,2026-04-29 11:35:13.724195,0 days 00:00:01.388326,0.49758072571537554,0.020597127185906644,5,31,999,91,COMPLETE
36,35.962882965302775,2026-04-29 11:35:13.724195,2026-04-29 11:35:15.761891,0 days 00:00:02.037696,0.628111754860825,0.006353556225270875,6,24,782,104,COMPLETE
37,36.457323043384164,2026-04-29 11:35:15.761891,2026-04-29 11:35:19.736634,0 days 00:00:03.974743,0.7437904078146549,0.004344766636760484,7,22,911,104,COMPLETE
38,36.50297357067312,2026-04-29 11:35:19.736634,2026-04-29 11:35:20.234829,0 days 00:00:00.498195,0.6345713744672141,0.0372289896615721,6,44,252,97,COMPLETE
39,36.249452733108754,2026-04-29 11:35:20.234829,2026-04-29 11:35:22.624973,0 days 00:00:02.390144,0.722029705491645,0.006401660545921328,7,65,844,110,COMPLETE
40,36.45090217531889,2026-04-29 11:35:22.624973,2026-04-29 11:35:24.321232,0 days 00:00:01.696259,0.6793837116235804,0.015119972452618794,6,38,957,85,COMPLETE
41,36.14276118259569,2026-04-29 11:35:24.321232,2026-04-29 11:35:25.623808,0 days 00:00:01.302576,0.6020108968713802,0.011028892035906415,5,24,785,102,COMPLETE
42,35.82432847886562,2026-04-29 11:35:25.623808,2026-04-29 11:35:27.417932,0 days 00:00:01.794124,0.5622211586505228,0.006906270232886351,6,30,728,94,COMPLETE
43,37.76962181836839,2026-04-29 11:35:27.417932,2026-04-29 11:35:29.459969,0 days 00:00:02.042037,0.5001039302679705,0.003342796607394789,6,33,711,93,COMPLETE
44,36.51898274483313,2026-04-29 11:35:29.459969,2026-04-29 11:35:32.382643,0 days 00:00:02.922674,0.6590780169159935,0.006154059071009458,8,47,628,106,COMPLETE
45,43.10879443190074,2026-04-29 11:35:32.382643,2026-04-29 11:35:33.893431,0 days 00:00:01.510788,0.5552317022770377,0.2837356597650669,7,38,729,99,COMPLETE
46,36.02376168328445,2026-04-29 11:35:33.893431,2026-04-29 11:35:35.443371,0 days 00:00:01.549940,0.612157178765166,0.00900845918130991,6,19,573,89,COMPLETE
47,38.36962367188887,2026-04-29 11:35:35.443371,2026-04-29 11:35:40.255469,0 days 00:00:04.812098,0.5135372186612328,0.0022466680631322406,9,29,855,84,COMPLETE
48,37.28533480300299,2026-04-29 11:35:40.255469,2026-04-29 11:35:42.548008,0 days 00:00:02.292539,0.6306980871981734,0.004163812368063085,7,80,650,102,COMPLETE
49,37.006082934075856,2026-04-29 11:35:42.548008,2026-04-29 11:35:44.365938,0 days 00:00:01.817930,0.5910756947773159,0.019734178832397007,7,45,923,96,COMPLETE
50,37.01873025521208,2026-04-29 11:35:44.365938,2026-04-29 11:35:45.528287,0 days 00:00:01.162349,0.9283074958101039,0.005444818809508961,4,56,802,24,COMPLETE
51,36.10514714581502,2026-04-29 11:35:45.528287,2026-04-29 11:35:47.109808,0 days 00:00:01.581521,0.5619703989200818,0.007389909546306211,5,25,770,81,COMPLETE
52,35.76825752390698,2026-04-29 11:35:47.109808,2026-04-29 11:35:49.186143,0 days 00:00:02.076335,0.5658809979784916,0.007484666647513937,6,30,754,88,COMPLETE
53,35.8463001167804,2026-04-29 11:35:49.186143,2026-04-29 11:35:50.703651,0 days 00:00:01.517508,0.48888513360271557,0.010768604048136239,6,36,687,87,COMPLETE
54,36.16463901583521,2026-04-29 11:35:50.703651,2026-04-29 11:35:52.443084,0 days 00:00:01.739433,0.47019576473763575,0.014590392878694873,7,41,682,88,COMPLETE
55,35.865686967314524,2026-04-29 11:35:52.443084,2026-04-29 11:35:54.021467,0 days 00:00:01.578383,0.48347097356421137,0.01037201522177191,6,37,746,83,COMPLETE
56,36.72231458141349,2026-04-29 11:35:54.021467,2026-04-29 11:35:54.982138,0 days 00:00:00.960671,0.4885546375228298,0.010822508350464664,5,53,600,79,COMPLETE
57,35.86497066317885,2026-04-29 11:35:54.983139,2026-04-29 11:35:57.361273,0 days 00:00:02.378134,0.5229599314382601,0.008338377704839941,7,38,741,84,COMPLETE
58,35.72409149353663,2026-04-29 11:35:57.361273,2026-04-29 11:36:00.386089,0 days 00:00:03.024816,0.5308902943572635,0.0076577234782187285,8,32,692,87,COMPLETE
59,35.977896932230244,2026-04-29 11:36:00.386089,2026-04-29 11:36:04.466704,0 days 00:00:04.080615,0.5511753273873852,0.004942296206534354,8,29,694,88,COMPLETE
60,36.09720122034265,2026-04-29 11:36:04.469032,2026-04-29 11:36:06.020246,0 days 00:00:01.551214,0.7893430319547573,0.024614038555094652,8,32,441,93,COMPLETE
61,35.93226279770654,2026-04-29 11:36:06.020246,2026-04-29 11:36:09.254040,0 days 00:00:03.233794,0.5225255561391008,0.0075911488205587605,8,39,744,78,COMPLETE
62,35.722660068424815,2026-04-29 11:36:09.254611,2026-04-29 11:36:12.782060,0 days 00:00:03.527449,0.5156209478750545,0.008443929674967437,9,35,666,87,COMPLETE
63,35.719140239455065,2026-04-29 11:36:12.782060,2026-04-29 11:36:15.282518,0 days 00:00:02.500458,0.43173917037913434,0.013732103936944375,9,30,666,89,COMPLETE
64,36.058092450915105,2026-04-29 11:36:15.283618,2026-04-29 11:36:17.642355,0 days 00:00:02.358737,0.4159238335120305,0.017342332347628317,10,31,602,91,COMPLETE
65,36.075280007888765,2026-04-29 11:36:17.642431,2026-04-29 11:36:21.122575,0 days 00:00:03.480144,0.4408957515165068,0.008640676956995877,9,21,653,95,COMPLETE
66,35.629752813596056,2026-04-29 11:36:21.122575,2026-04-29 11:36:23.297092,0 days 00:00:02.174517,0.4634972834144281,0.014395428845286166,9,26,546,69,COMPLETE
67,35.676134052247065,2026-04-29 11:36:23.297092,2026-04-29 11:36:25.031757,0 days 00:00:01.734665,0.45476191460144644,0.013588069317946719,9,27,546,42,COMPLETE
68,36.562435186807946,2026-04-29 11:36:25.031757,2026-04-29 11:36:26.639014,0 days 00:00:01.607257,0.45664865869067034,0.030319124161771148,9,10,542,36,COMPLETE
69,35.887069668687076,2026-04-29 11:36:26.640013,2026-04-29 11:36:28.241100,0 days 00:00:01.601087,0.42863000780629806,0.01354180727678585,9,18,481,43,COMPLETE
70,35.84387972531272,2026-04-29 11:36:28.241100,2026-04-29 11:36:30.301480,0 days 00:00:02.060380,0.4678417050581341,0.01702655341723688,10,25,565,57,COMPLETE
71,35.59488158528173,2026-04-29 11:36:30.301480,2026-04-29 11:36:32.226778,0 days 00:00:01.925298,0.5352564189264022,0.013326467744643754,9,27,433,70,COMPLETE
72,35.60999730679946,2026-04-29 11:36:32.226778,2026-04-29 11:36:33.948957,0 days 00:00:01.722179,0.5374722475040168,0.014045469300064149,9,28,375,68,COMPLETE
73,35.73256498250741,2026-04-29 11:36:33.948957,2026-04-29 11:36:35.703878,0 days 00:00:01.754921,0.5342902092784236,0.013269284104981663,9,26,375,67,COMPLETE
74,35.67559100279237,2026-04-29 11:36:35.703878,2026-04-29 11:36:36.842923,0 days 00:00:01.139045,0.44627472596717915,0.02471370909085259,9,27,285,68,COMPLETE
75,36.593214316642495,2026-04-29 11:36:36.842923,2026-04-29 11:36:38.093462,0 days 00:00:01.250539,0.41283623471716696,0.03698615067809016,9,27,408,60,COMPLETE
76,35.88701522593273,2026-04-29 11:36:38.093462,2026-04-29 11:36:39.324929,0 days 00:00:01.231467,0.4433025016053474,0.023427524488372996,10,16,237,72,COMPLETE
77,35.9291791556253,2026-04-29 11:36:39.325929,2026-04-29 11:36:40.732300,0 days 00:00:01.406371,0.45806341610147144,0.0183368232251362,9,13,309,54,COMPLETE
78,39.15243333461133,2026-04-29 11:36:40.733299,2026-04-29 11:36:42.454244,0 days 00:00:01.720945,0.40061067532343514,0.04789373558972221,9,20,513,64,COMPLETE
79,35.5995521700269,2026-04-29 11:36:42.454244,2026-04-29 11:36:44.057988,0 days 00:00:01.603744,0.509060678022354,0.015378456698748329,10,28,317,69,COMPLETE
80,35.757243748554835,2026-04-29 11:36:44.057988,2026-04-29 11:36:45.666856,0 days 00:00:01.608868,0.47643232105480415,0.01512394282106558,10,24,307,61,COMPLETE
81,36.517965248598586,2026-04-29 11:36:45.666856,2026-04-29 11:36:47.542193,0 days 00:00:01.875337,0.5120654012013723,0.029181926399172945,9,23,464,70,COMPLETE
