number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,36.0951179914857,2026-05-05 13:39:48.397295,2026-05-05 13:39:52.601230,0 days 00:00:04.203935,77.05738049337744,0.9727154792904502,0.0062686449627507345,9,96,591,66,COMPLETE
1,37.618707733456446,2026-05-05 13:39:52.603231,2026-05-05 13:39:55.073244,0 days 00:00:02.470013,54.17446148619333,0.7955570554156748,0.1015054937568568,10,42,1225,16,COMPLETE
2,39.28913846731766,2026-05-05 13:39:55.073244,2026-05-05 13:39:57.586919,0 days 00:00:02.513675,42.68803918504795,0.569852536999771,0.001719289616688459,5,20,848,57,COMPLETE
3,36.16481565275528,2026-05-05 13:39:57.586919,2026-05-05 13:40:00.128407,0 days 00:00:02.541488,26.557318211290777,0.594447336875322,0.01529414618819514,9,26,471,87,COMPLETE
4,39.32116171373197,2026-05-05 13:40:00.128407,2026-05-05 13:40:04.698758,0 days 00:00:04.570351,79.74572039833821,0.8239917442397346,0.18623304332491733,8,24,1393,77,COMPLETE
5,38.09250435109603,2026-05-05 13:40:04.699015,2026-05-05 13:40:05.968211,0 days 00:00:01.269196,46.38134277359539,0.49620270790844895,0.11899291998494077,6,79,831,96,COMPLETE
6,35.842018607203656,2026-05-05 13:40:05.968211,2026-05-05 13:40:07.182498,0 days 00:00:01.214287,25.568274140192944,0.8479076123794319,0.021331590703307216,5,83,668,16,COMPLETE
7,49.71058408585115,2026-05-05 13:40:07.183355,2026-05-05 13:40:09.594963,0 days 00:00:02.411608,94.07217025268211,0.8039715396253538,0.001020197980113282,9,31,422,44,COMPLETE
8,37.38903312715378,2026-05-05 13:40:09.595961,2026-05-05 13:40:11.623467,0 days 00:00:02.027506,43.000983875911324,0.9185767114163006,0.07776060392894976,5,17,966,60,COMPLETE
9,41.87105769381493,2026-05-05 13:40:11.624467,2026-05-05 13:40:13.766239,0 days 00:00:02.141772,36.991690033285884,0.5211306841402913,0.002071286529571167,8,47,433,53,COMPLETE
10,36.43591219437475,2026-05-05 13:40:13.766239,2026-05-05 13:40:14.085603,0 days 00:00:00.319364,25.378055083270887,0.7334352880040844,0.03024371999667838,3,70,185,17,COMPLETE
11,36.918385237387284,2026-05-05 13:40:14.085603,2026-05-05 13:40:15.003262,0 days 00:00:00.917659,61.92911617914167,0.9613692768552167,0.006486825578274072,3,98,634,36,COMPLETE
12,35.72770082947256,2026-05-05 13:40:15.004262,2026-05-05 13:40:18.454931,0 days 00:00:03.450669,69.4820949994438,0.9906999979447478,0.008034284827819083,7,98,1088,76,COMPLETE
13,36.05779793032604,2026-05-05 13:40:18.457464,2026-05-05 13:40:21.100260,0 days 00:00:02.642796,33.44600857499046,0.8832609062791422,0.021236167650510573,6,76,1220,108,COMPLETE
14,35.811867304365585,2026-05-05 13:40:21.100515,2026-05-05 13:40:23.216831,0 days 00:00:02.116316,64.8065530174159,0.6690277693340878,0.007572164275156811,5,62,1025,74,COMPLETE
15,35.76705324991417,2026-05-05 13:40:23.216831,2026-05-05 13:40:26.758213,0 days 00:00:03.541382,64.34258245113692,0.6519300336004173,0.007175800431351599,7,66,1091,76,COMPLETE
16,36.44089456409334,2026-05-05 13:40:26.758213,2026-05-05 13:40:31.386410,0 days 00:00:04.628197,102.67145920170483,0.4018553248975238,0.003209994496735109,7,59,1155,88,COMPLETE
17,36.75487067716219,2026-05-05 13:40:31.387413,2026-05-05 13:40:34.080122,0 days 00:00:02.692709,73.65789476323586,0.7374622644896467,0.04120948440123287,7,89,1357,74,COMPLETE
18,35.92131063427482,2026-05-05 13:40:34.080122,2026-05-05 13:40:38.666997,0 days 00:00:04.586875,56.220298660571245,0.6551454394785843,0.009312139218378064,8,66,1487,109,COMPLETE
19,36.205340438398295,2026-05-05 13:40:38.682254,2026-05-05 13:40:44.285739,0 days 00:00:05.603485,88.92359548655212,0.6184775776086373,0.003018372838848716,7,38,1050,94,COMPLETE
20,35.95665570423902,2026-05-05 13:40:44.286184,2026-05-05 13:40:45.725438,0 days 00:00:01.439254,67.84980928086583,0.7294469621825925,0.01139993364210599,4,54,943,45,COMPLETE
21,35.74578638847917,2026-05-05 13:40:45.726438,2026-05-05 13:40:49.004305,0 days 00:00:03.277867,62.724017044033225,0.6723111845951001,0.004989956799956546,6,63,1076,73,COMPLETE
22,36.06073179919247,2026-05-05 13:40:49.004305,2026-05-05 13:40:52.201688,0 days 00:00:03.197383,59.27948711814177,0.5328010636760152,0.0041892840185929325,6,87,1112,66,COMPLETE
23,35.75059721054332,2026-05-05 13:40:52.202689,2026-05-05 13:40:56.752956,0 days 00:00:04.550267,50.664270547900514,0.681999237563712,0.004712400193106188,7,74,1287,81,COMPLETE
24,37.943027365018125,2026-05-05 13:40:56.753956,2026-05-05 13:41:02.012390,0 days 00:00:05.258434,49.92975215473298,0.7601539384256345,0.004292775711981082,6,9,1283,82,COMPLETE
25,36.754569313304835,2026-05-05 13:41:02.012390,2026-05-05 13:41:09.997872,0 days 00:00:07.985482,50.28461430722327,0.6981335132994974,0.0017151647447227914,8,73,1328,100,COMPLETE
26,36.44524596593863,2026-05-05 13:41:09.997872,2026-05-05 13:41:12.185210,0 days 00:00:02.187338,83.51021132345373,0.8772995388839331,0.011874287885212201,4,52,1494,68,COMPLETE
