number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,35.73082163738817,2026-05-05 13:27:12.432071,2026-05-05 13:27:13.385500,0 days 00:00:00.953429,33.38391410597834,0.6825079642401692,0.05726246143327068,3,33,674,105,COMPLETE
1,36.20907541763453,2026-05-05 13:27:13.388003,2026-05-05 13:27:14.937881,0 days 00:00:01.549878,57.80018418029761,0.5743792023447749,0.06371784162612318,8,14,451,19,COMPLETE
2,35.67972854089099,2026-05-05 13:27:14.938770,2026-05-05 13:27:19.973452,0 days 00:00:05.034682,46.42599272855122,0.7779463837999373,0.011329722418685233,7,89,1118,95,COMPLETE
3,56.88296845936715,2026-05-05 13:27:19.973452,2026-05-05 13:27:20.991718,0 days 00:00:01.018266,54.48493525458392,0.6026163134035115,0.001548009881611069,5,59,326,44,COMPLETE
4,35.82879208594728,2026-05-05 13:27:20.992718,2026-05-05 13:27:21.424169,0 days 00:00:00.431451,92.88765802718954,0.8438513220512609,0.134533687214395,3,27,192,59,COMPLETE
5,35.79420591597776,2026-05-05 13:27:21.424419,2026-05-05 13:27:22.987804,0 days 00:00:01.563385,25.363618798922758,0.899143247004933,0.01903794038193405,3,74,1296,89,COMPLETE
6,36.77487362195414,2026-05-05 13:27:22.988800,2026-05-05 13:27:24.391913,0 days 00:00:01.403113,106.84326192117516,0.7115850544933578,0.05900898650729898,3,97,1306,52,COMPLETE
7,35.94324281592672,2026-05-05 13:27:24.392913,2026-05-05 13:27:25.917078,0 days 00:00:01.524165,33.11060889943542,0.7190021986575539,0.05607259045534445,3,68,1064,22,COMPLETE
8,37.13966759574527,2026-05-05 13:27:25.917078,2026-05-05 13:27:28.309605,0 days 00:00:02.392527,58.049110651232574,0.6840871097155308,0.06911199631319143,8,45,963,60,COMPLETE
9,35.652562076250476,2026-05-05 13:27:28.310606,2026-05-05 13:27:31.124994,0 days 00:00:02.814388,106.71683348581291,0.6344786136763175,0.006794037902865601,7,54,1155,21,COMPLETE
10,44.411033886744555,2026-05-05 13:27:31.141012,2026-05-05 13:27:33.749794,0 days 00:00:02.608782,79.18676344692398,0.4006615461986394,0.0020415704847808287,10,49,710,34,COMPLETE
11,35.76517362780576,2026-05-05 13:27:33.749794,2026-05-05 13:27:37.558174,0 days 00:00:03.808380,41.295049704767884,0.818627022619588,0.006741825514726138,6,95,1475,82,COMPLETE
12,35.5965760613881,2026-05-05 13:27:37.558174,2026-05-05 13:27:41.535230,0 days 00:00:03.977056,73.25729441180152,0.9545206215492351,0.008396615031498618,8,77,999,75,COMPLETE
