number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,37.23955076146384,2026-05-05 13:53:56.842289,2026-05-05 13:53:57.972645,0 days 00:00:01.130356,0.7167067490091028,0.07931939153284696,10,93,298,48,COMPLETE
1,46.43188560352797,2026-05-05 13:53:57.974650,2026-05-05 13:53:58.985862,0 days 00:00:01.011212,0.8183133724455791,0.004120763045607726,5,48,193,38,COMPLETE
2,36.611954998343855,2026-05-05 13:53:58.985862,2026-05-05 13:54:01.146091,0 days 00:00:02.160229,0.8725469827353771,0.025148943406417875,7,55,885,91,COMPLETE
3,43.86188034870655,2026-05-05 13:54:01.146091,2026-05-05 13:54:02.495602,0 days 00:00:01.349511,0.791254683965624,0.001098200984446753,3,54,1062,42,COMPLETE
4,52.86092582195715,2026-05-05 13:54:02.496601,2026-05-05 13:54:04.346577,0 days 00:00:01.849976,0.6241645232820122,0.001014955403188577,7,83,468,33,COMPLETE
5,36.22103692330943,2026-05-05 13:54:04.346577,2026-05-05 13:54:06.134165,0 days 00:00:01.787588,0.9242943758315849,0.006507658471809027,3,34,1390,73,COMPLETE
6,37.44088775565387,2026-05-05 13:54:06.136164,2026-05-05 13:54:11.762642,0 days 00:00:05.626478,0.8101395156701348,0.0018012568713620966,7,32,1170,43,COMPLETE
7,36.61797867499143,2026-05-05 13:54:11.762642,2026-05-05 13:54:13.186179,0 days 00:00:01.423537,0.8681290731527945,0.05242177769699528,9,21,393,37,COMPLETE
8,36.908160317017526,2026-05-05 13:54:13.187178,2026-05-05 13:54:14.454716,0 days 00:00:01.267538,0.8793403619229627,0.0360285518449383,5,77,828,78,COMPLETE
9,56.64063771197956,2026-05-05 13:54:14.454716,2026-05-05 13:54:14.961841,0 days 00:00:00.507125,0.41548599007449327,0.0012762441916052303,4,42,304,46,COMPLETE
10,36.53623170427344,2026-05-05 13:54:14.961841,2026-05-05 13:54:16.956678,0 days 00:00:01.994837,0.9965193694568661,0.008947397711795518,3,7,1481,108,COMPLETE
11,36.59358352361737,2026-05-05 13:54:16.956678,2026-05-05 13:54:18.998180,0 days 00:00:02.041502,0.995562264826558,0.0075154167854878905,3,5,1490,102,COMPLETE
12,37.28957472663558,2026-05-05 13:54:18.998180,2026-05-05 13:54:23.019735,0 days 00:00:04.021555,0.967761532513428,0.008571683877965986,5,5,1470,69,COMPLETE
