number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
0,31.461919889251384,2026-03-15 11:46:31.686137,2026-03-15 11:46:35.779204,0 days 00:00:04.093067,0.7811437020276679,0.2441703070872122,9,1000,25,COMPLETE
1,32.917855787766385,2026-03-15 11:46:35.779204,2026-03-15 11:46:41.594558,0 days 00:00:05.815354,0.7985998533630476,0.0032322396054911295,9,1000,32,COMPLETE
2,55.962664250886164,2026-03-15 11:46:41.594558,2026-03-15 11:46:42.026091,0 days 00:00:00.431533,0.9809270734789353,0.0017005027188941233,3,200,35,COMPLETE
3,38.896705004655104,2026-03-15 11:46:42.026091,2026-03-15 11:46:42.708836,0 days 00:00:00.682745,0.8242177462126062,0.012825802861794558,6,100,60,COMPLETE
4,32.68990874916769,2026-03-15 11:46:42.709835,2026-03-15 11:46:44.745171,0 days 00:00:02.035336,0.75185289956427,0.009392735306643607,10,500,20,COMPLETE
5,31.86022508697666,2026-03-15 11:46:44.747176,2026-03-15 11:46:48.336912,0 days 00:00:03.589736,0.9946351434931799,0.009164164150799629,8,500,47,COMPLETE
6,31.08226530806826,2026-03-15 11:46:48.336912,2026-03-15 11:46:49.408031,0 days 00:00:01.071119,0.5139494307844328,0.0714346246121652,4,500,41,COMPLETE
7,32.8595839853373,2026-03-15 11:46:49.410035,2026-03-15 11:46:51.844239,0 days 00:00:02.434204,0.8722327878506135,0.00846193487423041,9,400,31,COMPLETE
8,30.95607773313016,2026-03-15 11:46:51.844239,2026-03-15 11:46:53.654971,0 days 00:00:01.810732,0.9758696185511231,0.030869045936017084,10,200,63,COMPLETE
9,30.189933963650002,2026-03-15 11:46:53.654971,2026-03-15 11:46:56.936504,0 days 00:00:03.281533,0.511775294098636,0.05218466463258583,9,700,34,COMPLETE
10,30.27830677307612,2026-03-15 11:46:56.936504,2026-03-15 11:46:59.010291,0 days 00:00:02.073787,0.5013410661777816,0.14327536555386378,6,800,15,COMPLETE
11,29.702677716623054,2026-03-15 11:46:59.010853,2026-03-15 11:47:01.141341,0 days 00:00:02.130488,0.5034641525715113,0.14876721456140293,6,800,16,COMPLETE
12,29.59774143989257,2026-03-15 11:47:01.143087,2026-03-15 11:47:04.615210,0 days 00:00:03.472123,0.6171213807980955,0.07561096135494151,7,800,48,COMPLETE
13,29.536777467152387,2026-03-15 11:47:04.615210,2026-03-15 11:47:08.154342,0 days 00:00:03.539132,0.6216767663234348,0.11339873104185903,7,800,52,COMPLETE
14,29.84436393570129,2026-03-15 11:47:08.155343,2026-03-15 11:47:11.313239,0 days 00:00:03.157896,0.6370494079798658,0.07062564852869344,7,700,49,COMPLETE
15,30.483553779383964,2026-03-15 11:47:11.313239,2026-03-15 11:47:14.001741,0 days 00:00:02.688502,0.6267046240809643,0.03596473062490579,5,800,55,COMPLETE
16,29.83073264956218,2026-03-15 11:47:14.002867,2026-03-15 11:47:17.899335,0 days 00:00:03.896468,0.642219463658777,0.1310325363585884,7,900,48,COMPLETE
17,30.58627686109984,2026-03-15 11:47:17.899335,2026-03-15 11:47:21.440238,0 days 00:00:03.540903,0.6920513324189587,0.20920280381892806,8,700,54,COMPLETE
18,31.402749367292337,2026-03-15 11:47:21.440238,2026-03-15 11:47:23.266438,0 days 00:00:01.826200,0.5757846431938216,0.022449419386995496,5,600,41,COMPLETE
19,30.048123709306463,2026-03-15 11:47:23.266438,2026-03-15 11:47:27.808230,0 days 00:00:04.541792,0.7101573084701472,0.08412525724093867,8,900,56,COMPLETE
20,30.149815796119963,2026-03-15 11:47:27.808230,2026-03-15 11:47:31.750967,0 days 00:00:03.942737,0.567707815256417,0.04045441588752382,7,900,45,COMPLETE
21,29.85667481755949,2026-03-15 11:47:31.750967,2026-03-15 11:47:34.082017,0 days 00:00:02.331050,0.5716204147843169,0.13263086743331148,5,800,51,COMPLETE
22,31.101494053395477,2026-03-15 11:47:34.084021,2026-03-15 11:47:36.173779,0 days 00:00:02.089758,0.6973785966672957,0.279292462565713,6,600,25,COMPLETE
23,29.754675737370196,2026-03-15 11:47:36.175783,2026-03-15 11:47:39.581268,0 days 00:00:03.405485,0.5971927354775928,0.10519982639425046,7,800,43,COMPLETE
24,29.781805571820616,2026-03-15 11:47:39.581268,2026-03-15 11:47:42.147583,0 days 00:00:02.566315,0.5401847975028548,0.1732799271777233,6,700,52,COMPLETE
25,30.16094488535662,2026-03-15 11:47:42.147583,2026-03-15 11:47:44.487982,0 days 00:00:02.340399,0.6615719630939135,0.05918604513542894,4,1000,37,COMPLETE
26,30.388247656763745,2026-03-15 11:47:44.489987,2026-03-15 11:47:49.359668,0 days 00:00:04.869681,0.5420152528828779,0.018981106226397437,8,900,59,COMPLETE
27,30.38255085067965,2026-03-15 11:47:49.361673,2026-03-15 11:47:50.516143,0 days 00:00:01.154470,0.5987852602434527,0.08536622647994227,7,400,15,COMPLETE
