number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,40.9227574460002,2026-05-07 17:32:02.224384,2026-05-07 17:32:03.672146,0 days 00:00:01.447762,69.320515942896,0.6849715644389074,0.002670262697699478,3,58,851,87,COMPLETE
1,37.22597084510022,2026-05-07 17:32:03.672146,2026-05-07 17:32:05.765102,0 days 00:00:02.092956,41.46791537540246,0.6951216415820397,0.047968966121158294,5,110,1263,137,COMPLETE
2,36.13088468998761,2026-05-07 17:32:05.765102,2026-05-07 17:32:06.648321,0 days 00:00:00.883219,75.40160546149762,0.9629711445451404,0.034268198697631355,6,135,422,76,COMPLETE
3,38.14372376264898,2026-05-07 17:32:06.648321,2026-05-07 17:32:08.448862,0 days 00:00:01.800541,31.94475317013255,0.4242162446532284,0.15327006128245457,10,27,646,45,COMPLETE
4,43.30002098241288,2026-05-07 17:32:08.448862,2026-05-07 17:32:11.236856,0 days 00:00:02.787994,48.47122599601005,0.8905864916517714,0.008010708531164238,10,40,202,110,COMPLETE
5,36.84479722408641,2026-05-07 17:32:11.252487,2026-05-07 17:32:12.684484,0 days 00:00:01.431997,74.53987757641346,0.619269557926383,0.03705988364266726,6,118,1006,19,COMPLETE
6,50.93670011171501,2026-05-07 17:32:12.684484,2026-05-07 17:32:16.669156,0 days 00:00:03.984672,32.29598662595866,0.4423979335483994,0.0011730883277152276,7,149,1214,130,COMPLETE
7,36.21047145479998,2026-05-07 17:32:16.669156,2026-05-07 17:32:17.446583,0 days 00:00:00.777427,47.88480751616738,0.5184503426119147,0.021847823226484916,4,130,656,65,COMPLETE
8,36.89614148984274,2026-05-07 17:32:17.446583,2026-05-07 17:32:17.785728,0 days 00:00:00.339145,39.71593706264509,0.6007830054373376,0.20219295838653217,4,84,266,33,COMPLETE
9,39.405200763846764,2026-05-07 17:32:17.785728,2026-05-07 17:32:22.271499,0 days 00:00:04.485771,31.180015439953717,0.9332465314704519,0.0032262460883500177,10,131,1147,28,COMPLETE
10,65.81750836458282,2026-05-07 17:32:22.271499,2026-05-07 17:32:24.992330,0 days 00:00:02.720831,102.28951045365774,0.8265384368344335,0.00011387030146902798,8,89,467,95,COMPLETE
