number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
0,42.19687429406986,2026-05-07 17:20:47.498995,2026-05-07 17:20:56.620854,0 days 00:00:09.121859,78.45447896863328,0.9215122262977664,0.0009622791171676797,9,72,1467,52,COMPLETE
1,38.12640114131072,2026-05-07 17:20:56.636478,2026-05-07 17:20:58.072526,0 days 00:00:01.436048,69.89772350665102,0.6037537898132657,0.011362949964799812,9,92,259,101,COMPLETE
2,65.83839932418276,2026-05-07 17:20:58.072526,2026-05-07 17:21:00.445010,0 days 00:00:02.372484,27.30437062178918,0.7851914172085241,0.0001523949698528507,5,138,890,102,COMPLETE
3,64.01456644424482,2026-05-07 17:21:00.445010,2026-05-07 17:21:01.525221,0 days 00:00:01.080211,90.04255919896002,0.9324240108421915,0.0006371246901138036,9,99,167,130,COMPLETE
4,59.55633150057788,2026-05-07 17:21:01.525221,2026-05-07 17:21:09.475681,0 days 00:00:07.950460,109.23831501846382,0.8537199345330081,0.00020032262798003598,8,76,1215,116,COMPLETE
5,64.54814280094881,2026-05-07 17:21:09.475681,2026-05-07 17:21:14.836559,0 days 00:00:05.360878,32.768021497289055,0.7421784597731671,0.00013271257506157697,10,98,1468,37,COMPLETE
6,40.00672147301465,2026-05-07 17:21:14.836559,2026-05-07 17:21:15.922150,0 days 00:00:01.085591,37.80866510564896,0.6550954255661197,0.17127134388534107,3,6,1175,114,COMPLETE
7,60.33053863655704,2026-05-07 17:21:15.937774,2026-05-07 17:21:19.750217,0 days 00:00:03.812443,36.17389809567196,0.5253208588016867,0.00043011347990318987,8,70,1089,37,COMPLETE
8,47.638156476470634,2026-05-07 17:21:19.750217,2026-05-07 17:21:20.868170,0 days 00:00:01.117953,26.552952394042098,0.580682408429899,0.0047502914344692,5,143,459,78,COMPLETE
9,37.226988731560155,2026-05-07 17:21:20.868170,2026-05-07 17:21:22.418406,0 days 00:00:01.550236,37.57138512432217,0.6815623799807693,0.07180511936463728,5,133,1211,70,COMPLETE
10,37.48035055745921,2026-05-07 17:21:22.418406,2026-05-07 17:21:23.001576,0 days 00:00:00.583170,52.18083395002393,0.4294610306560445,0.14924593094603456,3,25,661,72,COMPLETE
11,38.2288692467578,2026-05-07 17:21:23.001576,2026-05-07 17:21:23.614661,0 days 00:00:00.613085,51.109587663531606,0.4238773415236437,0.17617339399584306,3,16,631,71,COMPLETE
12,36.469034714174725,2026-05-07 17:21:23.614661,2026-05-07 17:21:24.703611,0 days 00:00:01.088950,49.010069783036,0.41383687248594686,0.03306239899997812,5,36,817,15,COMPLETE
13,36.48937411278003,2026-05-07 17:21:24.717114,2026-05-07 17:21:25.920994,0 days 00:00:01.203880,45.45938505968481,0.5279316165098458,0.03498375326490528,5,41,896,16,COMPLETE
14,36.39010473007262,2026-05-07 17:21:25.920994,2026-05-07 17:21:27.298003,0 days 00:00:01.377009,62.086710104702846,0.49355188233985603,0.027989056052957494,6,41,877,15,COMPLETE
15,36.20089062808022,2026-05-07 17:21:27.298003,2026-05-07 17:21:28.438929,0 days 00:00:01.140926,59.87154172272453,0.4790020097246526,0.018439626140975194,6,51,737,15,COMPLETE
16,40.96086259548544,2026-05-07 17:21:28.438929,2026-05-07 17:21:30.525572,0 days 00:00:02.086643,63.27798192714457,0.5031161767943124,0.004032723053268735,7,47,553,35,COMPLETE
17,37.24510783654436,2026-05-07 17:21:30.525572,2026-05-07 17:21:31.729621,0 days 00:00:01.204049,59.656286603698646,0.4879968874137369,0.011116460711999551,6,56,409,55,COMPLETE
18,40.5684259706007,2026-05-07 17:21:31.729621,2026-05-07 17:21:36.910473,0 days 00:00:05.180852,75.34404790102269,0.6047924701833665,0.0018577283727371763,7,59,1034,149,COMPLETE
19,36.13741437528556,2026-05-07 17:21:36.910473,2026-05-07 17:21:38.118483,0 days 00:00:01.208010,92.28776156132581,0.47102789426770164,0.020330964782528268,6,118,730,29,COMPLETE
20,36.220663519008795,2026-05-07 17:21:38.118483,2026-05-07 17:21:38.941177,0 days 00:00:00.822694,97.22696674733741,0.572278269308212,0.014176924967393931,4,120,684,30,COMPLETE
21,36.360149028727214,2026-05-07 17:21:38.941177,2026-05-07 17:21:39.925450,0 days 00:00:00.984273,100.52178976145123,0.5478878434386325,0.010695494203639636,4,119,703,27,COMPLETE
22,36.37056964937865,2026-05-07 17:21:39.925450,2026-05-07 17:21:40.515926,0 days 00:00:00.590476,87.12224262168112,0.4701037473221462,0.019646287560944956,4,117,471,52,COMPLETE
23,37.19610621561704,2026-05-07 17:21:40.520931,2026-05-07 17:21:41.609366,0 days 00:00:01.088435,94.2757228766067,0.6501470254980468,0.0718249497232794,6,113,782,28,COMPLETE
24,47.859556950598346,2026-05-07 17:21:41.609366,2026-05-07 17:21:42.224679,0 days 00:00:00.615313,80.49108372565962,0.4530142728107518,0.0032762876569623293,4,86,345,50,COMPLETE
25,36.63222310596645,2026-05-07 17:21:42.224679,2026-05-07 17:21:43.215160,0 days 00:00:00.990481,106.36883465967718,0.573438202702388,0.06282186213989673,7,125,580,29,COMPLETE
26,36.32739817987091,2026-05-07 17:21:43.215160,2026-05-07 17:21:44.962041,0 days 00:00:01.746881,68.24855650236906,0.6358395040477872,0.008436746802994981,6,107,712,43,COMPLETE
27,36.197498830363585,2026-05-07 17:21:44.962041,2026-05-07 17:21:46.012806,0 days 00:00:01.050765,84.8064479068065,0.5616735913569317,0.018668950898354037,4,128,1004,24,COMPLETE
28,41.90558305495873,2026-05-07 17:21:46.012806,2026-05-07 17:21:48.893756,0 days 00:00:02.880950,57.0132993514055,0.9953051381372874,0.00178214142421538,8,128,1001,21,COMPLETE
29,37.336055638402954,2026-05-07 17:21:48.893756,2026-05-07 17:21:51.174843,0 days 00:00:02.281087,81.57067304080854,0.7335502446516681,0.04743879768846292,7,150,1342,61,COMPLETE
30,41.08441614417128,2026-05-07 17:21:51.174843,2026-05-07 17:21:52.677927,0 days 00:00:01.503084,72.76993625485198,0.45699458150995437,0.2853409614176062,6,64,978,44,COMPLETE
31,36.12105903512312,2026-05-07 17:21:52.677927,2026-05-07 17:21:53.525905,0 days 00:00:00.847978,96.59403445227194,0.5534973590545488,0.017564282240650965,4,105,760,24,COMPLETE
32,36.127269408325695,2026-05-07 17:21:53.537411,2026-05-07 17:21:54.438498,0 days 00:00:00.901087,84.13268799638878,0.5254088841796889,0.01798436996249219,4,106,806,23,COMPLETE
33,36.27516593435435,2026-05-07 17:21:54.438498,2026-05-07 17:21:55.651113,0 days 00:00:01.212615,85.58827165779844,0.6104142384290239,0.007558843781012516,4,87,838,93,COMPLETE
34,36.20661942268046,2026-05-07 17:21:55.651113,2026-05-07 17:21:56.495736,0 days 00:00:00.844623,92.17916838438559,0.5439663469526572,0.020512743281581185,3,103,951,24,COMPLETE
35,37.74924864282692,2026-05-07 17:21:56.495736,2026-05-07 17:21:57.541277,0 days 00:00:01.045541,68.69992301651699,0.5146143274567963,0.10145079649519112,4,111,1099,44,COMPLETE
36,36.73437921388377,2026-05-07 17:21:57.541277,2026-05-07 17:21:58.415220,0 days 00:00:00.873943,102.8132098763079,0.8111686846893754,0.007008764908227162,3,92,778,60,COMPLETE
37,57.86313757964666,2026-05-07 17:21:58.415220,2026-05-07 17:21:58.760605,0 days 00:00:00.345385,80.68666700934789,0.701112531681271,0.003041087549042036,5,138,117,33,COMPLETE
38,36.9562172072232,2026-05-07 17:21:58.760605,2026-05-07 17:22:00.102735,0 days 00:00:01.342130,88.04974305232167,0.5684844540240027,0.041456756403923115,4,96,1317,39,COMPLETE
39,36.208100203860795,2026-05-07 17:22:00.102735,2026-05-07 17:22:01.400296,0 days 00:00:01.297561,109.4055662335505,0.6208012178542712,0.020843892496865666,5,81,916,22,COMPLETE
40,36.688509354244744,2026-05-07 17:22:01.400296,2026-05-07 17:22:02.517315,0 days 00:00:01.117019,75.52773068308056,0.6700535611181713,0.006191510823744813,3,130,1137,91,COMPLETE
41,36.06464119480357,2026-05-07 17:22:02.517315,2026-05-07 17:22:04.055344,0 days 00:00:01.538029,95.62557678343958,0.4025188530097643,0.015294365446449056,10,105,766,20,COMPLETE
42,36.01093306971423,2026-05-07 17:22:04.055344,2026-05-07 17:22:05.482680,0 days 00:00:01.427336,95.43850404566062,0.44543081519062194,0.016543321880539297,10,103,585,25,COMPLETE
43,36.23838441329912,2026-05-07 17:22:05.482680,2026-05-07 17:22:07.161955,0 days 00:00:01.679275,96.413628102143,0.40510065428893666,0.011104349356564538,10,103,574,35,COMPLETE
44,36.12446368846236,2026-05-07 17:22:07.161955,2026-05-07 17:22:08.336296,0 days 00:00:01.174341,93.01805062479363,0.4370938631730422,0.031643368798508945,9,108,614,21,COMPLETE
45,36.660759060693096,2026-05-07 17:22:08.352424,2026-05-07 17:22:09.492985,0 days 00:00:01.140561,102.77925212469451,0.439205963111841,0.04977395684046997,9,74,624,21,COMPLETE
46,36.19181492915812,2026-05-07 17:22:09.492985,2026-05-07 17:22:10.563718,0 days 00:00:01.070733,109.47615315479133,0.4090322989649191,0.02916734045850676,10,98,248,121,COMPLETE
47,36.403756146262296,2026-05-07 17:22:10.563718,2026-05-07 17:22:11.923558,0 days 00:00:01.359840,97.5910106637116,0.44045444304943143,0.012758185456994963,9,108,423,41,COMPLETE
48,36.16363624402038,2026-05-07 17:22:11.923558,2026-05-07 17:22:12.965791,0 days 00:00:01.042233,42.16485256530324,0.5116826400287243,0.030575670667116014,9,90,516,20,COMPLETE
49,37.29023725600949,2026-05-07 17:22:12.965791,2026-05-07 17:22:14.405059,0 days 00:00:01.439268,32.538160319141824,0.4404605224024396,0.0842548249499199,10,81,627,34,COMPLETE
50,36.58962202606406,2026-05-07 17:22:14.405059,2026-05-07 17:22:17.434130,0 days 00:00:03.029071,91.2325806872192,0.5354442832418761,0.004819076363703968,9,103,857,47,COMPLETE
51,36.221300160130575,2026-05-07 17:22:17.434130,2026-05-07 17:22:18.924429,0 days 00:00:01.490299,93.25069368826749,0.48010245401467916,0.026759675332018586,8,114,760,28,COMPLETE
52,61.48668781556821,2026-05-07 17:22:18.924429,2026-05-07 17:22:20.623139,0 days 00:00:01.698710,84.06282211792667,0.4008265427310554,0.0002957647370209739,10,121,816,18,COMPLETE
53,36.073970200022096,2026-05-07 17:22:20.623139,2026-05-07 17:22:21.774189,0 days 00:00:01.151050,76.37429638571967,0.46213544600200984,0.014969157686628858,10,105,651,15,COMPLETE
54,36.143509015633285,2026-05-07 17:22:21.774189,2026-05-07 17:22:23.041050,0 days 00:00:01.266861,77.23124170966805,0.4966997225939016,0.013437869741404148,10,94,506,24,COMPLETE
55,65.89753785233174,2026-05-07 17:22:23.041050,2026-05-07 17:22:24.458018,0 days 00:00:01.416968,71.01855688434566,0.4536863354978336,0.00010324302272898531,10,107,685,16,COMPLETE
56,36.23505022384297,2026-05-07 17:22:24.458018,2026-05-07 17:22:26.308673,0 days 00:00:01.850655,101.81112522294019,0.4248363684305389,0.009206852245373862,9,101,641,33,COMPLETE
57,36.69147869227989,2026-05-07 17:22:26.308673,2026-05-07 17:22:27.339922,0 days 00:00:01.031249,87.66621530480163,0.46744852315653085,0.013953062389063305,8,136,362,39,COMPLETE
58,37.73409709028752,2026-05-07 17:22:27.339922,2026-05-07 17:22:28.236346,0 days 00:00:00.896424,76.89687639125124,0.5166625757648459,0.11317573844745808,10,69,567,15,COMPLETE
59,36.433368749163876,2026-05-07 17:22:28.236346,2026-05-07 17:22:29.803310,0 days 00:00:01.566964,66.23117360481923,0.427583607310856,0.039114012881616624,9,111,743,25,COMPLETE
60,36.228629190976065,2026-05-07 17:22:29.803310,2026-05-07 17:22:31.745322,0 days 00:00:01.942012,99.1088022888475,0.49343477793078133,0.024540583275589535,10,123,917,20,COMPLETE
61,36.03283928654817,2026-05-07 17:22:31.745322,2026-05-07 17:22:33.534092,0 days 00:00:01.788770,90.80932682284039,0.4759569513697747,0.016362302280247078,10,116,716,30,COMPLETE
62,37.2027466247095,2026-05-07 17:22:33.534092,2026-05-07 17:22:35.258312,0 days 00:00:01.724220,90.17634804161693,0.5871195337751635,0.05807960728322413,10,116,791,31,COMPLETE
63,36.032058864642565,2026-05-07 17:22:35.258312,2026-05-07 17:22:36.833614,0 days 00:00:01.575302,83.16231983744947,0.4590521141964322,0.016372307662447683,9,96,668,25,COMPLETE
64,35.95416370341645,2026-05-07 17:22:36.833614,2026-05-07 17:22:38.556469,0 days 00:00:01.722855,95.7727269212749,0.45862668463185363,0.015089034764577645,9,86,611,37,COMPLETE
65,35.91277520212175,2026-05-07 17:22:38.556469,2026-05-07 17:22:40.495548,0 days 00:00:01.939079,103.15049920219779,0.4670445797541203,0.01586265915002628,10,81,673,36,COMPLETE
66,35.841067854917334,2026-05-07 17:22:40.495548,2026-05-07 17:22:43.153526,0 days 00:00:02.657978,107.14517005499887,0.8943957629876509,0.009089112108766007,9,80,498,144,COMPLETE
67,35.809983590714985,2026-05-07 17:22:43.169149,2026-05-07 17:22:45.900180,0 days 00:00:02.731031,105.21578977273711,0.8920009392426,0.009388335530819008,9,81,498,136,COMPLETE
68,35.863494879088066,2026-05-07 17:22:45.900180,2026-05-07 17:22:48.366293,0 days 00:00:02.466113,106.76950565409759,0.8732936957877387,0.009002838480186971,8,78,501,146,COMPLETE
69,36.94335734782321,2026-05-07 17:22:48.366293,2026-05-07 17:22:51.444384,0 days 00:00:03.078091,105.52548431385104,0.8904341738587398,0.005111936142219355,8,79,518,146,COMPLETE
70,43.78089365293894,2026-05-07 17:22:51.444384,2026-05-07 17:22:53.466662,0 days 00:00:02.022278,105.79178568014909,0.9513172489843688,0.003373944490784128,8,85,322,139,COMPLETE
71,35.82286799698983,2026-05-07 17:22:53.466662,2026-05-07 17:22:56.301390,0 days 00:00:02.834728,102.2500935137474,0.8984883948549776,0.009182067759225275,9,67,473,135,COMPLETE
72,35.963674694280094,2026-05-07 17:22:56.301390,2026-05-07 17:22:59.048129,0 days 00:00:02.746739,100.99819408332908,0.8562788934042344,0.00854335101278722,9,67,446,133,COMPLETE
73,35.812850727571316,2026-05-07 17:22:59.048129,2026-05-07 17:23:01.653421,0 days 00:00:02.605292,101.75293174289122,0.858926743571309,0.009809662018087613,9,65,425,132,COMPLETE
74,35.904251540091046,2026-05-07 17:23:01.653421,2026-05-07 17:23:04.393197,0 days 00:00:02.739776,104.04349780255656,0.8612435062743247,0.008750560571124387,9,68,450,129,COMPLETE
75,50.311139778250954,2026-05-07 17:23:04.393197,2026-05-07 17:23:06.439933,0 days 00:00:02.046736,106.7959507113945,0.89988092966045,0.0022510251808861297,8,61,281,124,COMPLETE
