number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_units_0,params_units_1,params_units_2,state
0,25.30872140396154,2026-04-12 14:45:11.476257,2026-04-12 14:47:28.025279,0 days 00:02:16.549022,32,128,0.18448254054486488,,,0.0006577449483016812,1,192,,,COMPLETE
1,27.27918102690549,2026-04-12 14:47:28.026787,2026-04-12 14:49:50.144003,0 days 00:02:22.117216,32,32,0.10781113178339116,0.25683414846270236,,0.000946838619723339,2,96,64.0,,COMPLETE
2,29.607860011068233,2026-04-12 14:49:50.145029,2026-04-12 14:56:34.325007,0 days 00:06:44.179978,16,96,0.31786019945411026,0.34261537126492925,0.32409767257887734,0.0022431169848558157,3,224,192.0,96.0,COMPLETE
3,31.18091924784356,2026-04-12 14:56:34.325710,2026-04-12 14:58:40.155379,0 days 00:02:05.829669,32,112,0.14307973774802843,,,0.022245082268648173,1,256,,,COMPLETE
4,29.287702971921068,2026-04-12 14:58:40.155379,2026-04-12 15:02:29.940453,0 days 00:03:49.785074,32,112,0.4190879601811456,0.3363900364791721,0.15332665530127035,0.0018712913780825776,3,128,160.0,224.0,COMPLETE
5,36.43472271030627,2026-04-12 15:02:29.940453,2026-04-12 15:03:40.832423,0 days 00:01:10.891970,32,80,0.5565681435749693,0.563468102233246,,0.02964643163611098,2,64,64.0,,COMPLETE
6,36.96879188033098,2026-04-12 15:03:40.832423,2026-04-12 15:04:36.326717,0 days 00:00:55.494294,64,48,0.5464639867669328,,,0.08236598020280192,1,192,,,COMPLETE
7,31.546665563898422,2026-04-12 15:04:36.326717,2026-04-12 15:08:28.096066,0 days 00:03:51.769349,32,128,0.1665755740344965,0.45290418035728397,0.47102280369902527,0.005246036253252854,3,224,160.0,224.0,COMPLETE
8,35.70742030093127,2026-04-12 15:08:28.096066,2026-04-12 15:09:51.859509,0 days 00:01:23.763443,64,48,0.2302659742171683,0.3928338581881179,0.47451302597349376,0.026004034053081625,3,32,192.0,192.0,COMPLETE
9,40.06308760243903,2026-04-12 15:09:51.859509,2026-04-12 15:10:45.787827,0 days 00:00:53.928318,32,112,0.5972049809286173,,,0.07642211800362322,1,96,,,COMPLETE
