number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,params_units_2,state
0,34.06655408284618,2026-05-01 22:47:14.390293,2026-05-01 22:52:07.326400,0 days 00:04:52.936107,16,128,0.33787311754936433,0.2200801661110862,,0.0029403889797826863,2,24,96,32.0,,COMPLETE
1,33.30941487234212,2026-05-01 22:52:07.328406,2026-05-01 22:53:07.117270,0 days 00:00:59.788864,32,80,0.41286474883046176,,,0.007454909313869786,1,6,96,,,COMPLETE
2,36.83656011689544,2026-05-01 22:53:07.119351,2026-05-02 00:31:03.725478,0 days 01:37:56.606127,16,96,0.2771792466217138,0.47086599160995435,0.1874944767988143,0.0028171878098308778,3,168,64,224.0,192.0,COMPLETE
3,33.324542156222066,2026-05-02 00:31:03.725478,2026-05-02 00:32:28.369185,0 days 00:01:24.643707,64,128,0.2962779335285182,0.34004038868400654,,0.0022810366423096267,2,6,96,160.0,,COMPLETE
4,32.30666308845023,2026-05-02 00:32:28.370273,2026-05-02 00:46:28.368193,0 days 00:13:59.997920,32,48,0.3811694471411631,,,0.004180090169957948,1,168,128,,,COMPLETE
5,32.655452566115414,2026-05-02 00:46:28.368193,2026-05-02 00:49:09.487641,0 days 00:02:41.119448,32,112,0.19439191200457456,0.10238198046225949,,0.0013979771599835164,2,6,192,160.0,,COMPLETE
6,32.91251143956429,2026-05-02 00:49:09.488507,2026-05-02 00:49:49.617335,0 days 00:00:40.128828,32,16,0.13680525494618193,,,0.005007014511684714,1,6,32,,,COMPLETE
7,32.14653525321919,2026-05-02 00:49:49.618349,2026-05-02 00:50:52.041122,0 days 00:01:02.422773,64,64,0.3179965561218524,,,0.006728849056748705,1,12,96,,,COMPLETE
8,45.83173336587796,2026-05-02 00:50:52.043130,2026-05-02 00:54:02.721422,0 days 00:03:10.678292,16,32,0.2080371278625168,0.3242261915013751,,0.009965608471483861,2,12,64,224.0,,COMPLETE
9,33.68083913661193,2026-05-02 00:54:02.722421,2026-05-02 00:59:51.235880,0 days 00:05:48.513459,16,128,0.4692803124377408,0.33966837274624984,,0.0023431106198590172,2,6,256,256.0,,COMPLETE
10,60.15165162811245,2026-05-02 00:59:51.235880,2026-05-02 01:02:13.068529,0 days 00:02:21.832649,64,64,0.49337492302602765,0.4826941869017183,0.4600855378886075,0.02698627560912794,3,12,192,32.0,32.0,COMPLETE
11,35.75766639654034,2026-05-02 01:02:13.068529,2026-05-02 01:08:09.663455,0 days 00:05:56.594926,64,48,0.3907402886194527,,,0.01385778990254433,1,48,160,,,COMPLETE
12,33.06518626100543,2026-05-02 01:08:09.664451,2026-05-02 01:25:13.177944,0 days 00:17:03.513493,64,64,0.36619809226891104,,,0.0053279244261961786,1,168,128,,,COMPLETE
13,36.18769324836459,2026-05-02 01:25:13.177944,2026-05-02 01:25:44.887739,0 days 00:00:31.709795,32,48,0.24973364032709877,,,0.01533390397450368,1,1,160,,,COMPLETE
14,33.17323836230867,2026-05-02 01:25:44.887739,2026-05-02 01:26:54.993307,0 days 00:01:10.105568,64,80,0.43309085913865225,,,0.004664331091404416,1,12,128,,,COMPLETE
15,38.181291423635514,2026-05-02 01:26:54.993307,2026-05-02 02:05:02.933704,0 days 00:38:07.940397,32,32,0.34013868317634494,,,0.008673521112323427,1,168,256,,,COMPLETE
16,32.47271684810541,2026-05-02 02:05:02.933704,2026-05-02 02:05:46.086246,0 days 00:00:43.152542,64,48,0.3216795752657077,,,0.0010820411987091843,1,1,192,,,COMPLETE
17,37.765300788189684,2026-05-02 02:05:46.087286,2026-05-02 02:21:59.742853,0 days 00:16:13.655567,32,96,0.23404945334382177,0.11290443915694687,0.12317838684242338,0.003421947322302045,3,48,32,96.0,256.0,COMPLETE
18,32.45390378332104,2026-05-02 02:21:59.743565,2026-05-02 02:25:15.137695,0 days 00:03:15.394130,64,16,0.10201851952427993,0.23030048890266824,,0.0017675608379443385,2,24,64,96.0,,COMPLETE
19,32.86680765182622,2026-05-02 02:25:15.137695,2026-05-02 02:26:55.221920,0 days 00:01:40.084225,32,64,0.4439346473997289,,,0.006917374383049274,1,12,128,,,COMPLETE
20,34.88619564432456,2026-05-02 02:26:55.221920,2026-05-02 03:14:46.457583,0 days 00:47:51.235663,64,32,0.3759466023560434,,,0.012623103591682517,1,168,224,,,COMPLETE
21,32.45785202909968,2026-05-02 03:14:46.457583,2026-05-02 03:18:04.188023,0 days 00:03:17.730440,64,16,0.10809550732805166,0.24020676113919653,,0.0014294069279721432,2,24,64,96.0,,COMPLETE
22,39.48531183869191,2026-05-02 03:18:04.189020,2026-05-02 03:23:29.800444,0 days 00:05:25.611424,64,16,0.274653167273903,0.1943321416728886,0.4630393960198076,0.0038983166814599702,3,24,96,96.0,32.0,COMPLETE
23,32.9594244123672,2026-05-02 03:23:29.800444,2026-05-02 03:28:50.715198,0 days 00:05:20.914754,64,48,0.14880882555432762,0.39875499802733366,,0.0017149228480070938,2,24,64,128.0,,COMPLETE
24,35.11495060394424,2026-05-02 03:28:50.715198,2026-05-02 03:29:42.998807,0 days 00:00:52.283609,64,32,0.31360581948205457,,,0.0019799931593084785,1,12,32,,,COMPLETE
25,66.0673613002007,2026-05-02 03:29:42.999724,2026-05-02 03:45:18.880829,0 days 00:15:35.881105,32,80,0.34774777459534173,0.26688577775827677,,0.02139592133723688,2,168,128,64.0,,COMPLETE
26,32.05865799471597,2026-05-02 03:45:18.880829,2026-05-02 03:47:11.740554,0 days 00:01:52.859725,64,64,0.17102933755062474,,,0.004004025586438752,1,24,96,,,COMPLETE
27,32.38996478447574,2026-05-02 03:47:11.742554,2026-05-02 03:52:22.426352,0 days 00:05:10.683798,64,64,0.17364254594306727,,,0.006663502084372048,1,48,160,,,COMPLETE
28,33.90819399971713,2026-05-02 03:52:22.427762,2026-05-02 03:53:19.109411,0 days 00:00:56.681649,16,96,0.24680167808228481,,,0.004059326622162526,1,1,96,,,COMPLETE
29,32.01587390124941,2026-05-02 03:53:19.109411,2026-05-02 03:55:54.984087,0 days 00:02:35.874676,32,48,0.39468481663496074,,,0.002878941419683015,1,24,128,,,COMPLETE
30,32.22284678423841,2026-05-02 03:55:54.986481,2026-05-02 03:59:00.947769,0 days 00:03:05.961288,16,80,0.4123977870286257,,,0.0031047563754497236,1,24,96,,,COMPLETE
31,33.0613292309343,2026-05-02 03:59:00.947769,2026-05-02 04:01:32.515979,0 days 00:02:31.568210,16,80,0.45120013165340384,,,0.002990445684180276,1,24,96,,,COMPLETE
32,35.09197557849829,2026-05-02 04:01:32.515979,2026-05-02 04:04:33.933595,0 days 00:03:01.417616,16,64,0.4139347106777712,,,0.002954232101989338,1,24,96,,,COMPLETE
33,33.69251437173942,2026-05-02 04:04:33.933595,2026-05-02 04:07:00.436193,0 days 00:02:26.502598,16,80,0.4131554841257307,,,0.006049072888975633,1,24,96,,,COMPLETE
34,32.27632726318525,2026-05-02 04:07:00.437253,2026-05-02 04:10:46.868681,0 days 00:03:46.431428,16,96,0.2836433557889676,,,0.0024438252846914923,1,24,96,,,COMPLETE
35,33.48815584722239,2026-05-02 04:10:46.868681,2026-05-02 04:13:54.386615,0 days 00:03:07.517934,16,64,0.3526466102453539,,,0.008612438396570627,1,24,128,,,COMPLETE
36,33.273746797487114,2026-05-02 04:13:54.386615,2026-05-02 04:15:39.248795,0 days 00:01:44.862180,32,80,0.4054950724367025,,,0.0030985033266937335,1,24,64,,,COMPLETE
37,32.685688223511185,2026-05-02 04:15:39.250221,2026-05-02 04:25:10.258943,0 days 00:09:31.008722,32,48,0.32669732543597235,0.4260948724771155,,0.003648908812395271,2,24,160,192.0,,COMPLETE
38,32.52684018548869,2026-05-02 04:25:10.259951,2026-05-02 04:27:28.699300,0 days 00:02:18.439349,16,112,0.30036883480171817,,,0.004776345931814584,1,12,128,,,COMPLETE
39,34.125352098626614,2026-05-02 04:27:28.700300,2026-05-02 04:28:52.177076,0 days 00:01:23.476776,64,112,0.49590004960468653,,,0.0058403495708206285,1,24,64,,,COMPLETE
40,34.61662449429472,2026-05-02 04:28:52.178076,2026-05-02 04:29:43.050679,0 days 00:00:50.872603,32,64,0.3631599587789066,,,0.010660323604339769,1,6,96,,,COMPLETE
41,32.78781614805723,2026-05-02 04:29:43.051679,2026-05-02 04:32:15.306691,0 days 00:02:32.255012,16,96,0.20950428480861427,,,0.002527047114698739,1,24,96,,,COMPLETE
