number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_units_0,params_units_1,params_units_2,state
0,28.501787255596753,2026-03-13 20:45:14.021276,2026-03-13 20:47:40.028840,0 days 00:02:26.007564,16,16,0.2994920099578181,,,0.0011709256885205535,1,32,,,COMPLETE
1,27.98307738167573,2026-03-13 20:47:40.029849,2026-03-13 20:49:58.097612,0 days 00:02:18.067763,16,32,0.16044565877846984,,,0.003039906525070061,1,32,,,COMPLETE
2,25.345750528984773,2026-03-13 20:49:58.098587,2026-03-13 21:01:24.722756,0 days 00:11:26.624169,16,16,0.42145109925595536,0.3603211693276027,,0.0006080857646035552,2,256,128.0,,COMPLETE
3,28.67133149111636,2026-03-13 21:01:24.722756,2026-03-13 21:07:21.989127,0 days 00:05:57.266371,64,128,0.34363858419333104,0.33914498398779114,0.13105573482543173,0.00021262498354963287,3,64,224.0,128.0,COMPLETE
4,25.945372430674364,2026-03-13 21:07:21.989127,2026-03-13 21:09:51.776931,0 days 00:02:29.787804,16,64,0.4330064596123958,,,0.0012046289595248924,1,96,,,COMPLETE
5,28.24845630714021,2026-03-13 21:09:51.776931,2026-03-13 21:13:37.797188,0 days 00:03:46.020257,16,32,0.40306032185339913,0.25443530235291384,,0.0016739960173860536,2,32,224.0,,COMPLETE
6,24.82600472283126,2026-03-13 21:13:37.798323,2026-03-13 21:19:58.730907,0 days 00:06:20.932584,16,64,0.37958433206544695,,,0.000435610558169262,1,224,,,COMPLETE
7,26.12143457558388,2026-03-13 21:19:58.730907,2026-03-13 21:24:43.686097,0 days 00:04:44.955190,64,48,0.3855732328219723,0.3679757244288042,,0.0003489982794783696,2,256,96.0,,COMPLETE
8,27.33381159966449,2026-03-13 21:24:43.687020,2026-03-13 21:27:01.303523,0 days 00:02:17.616503,64,128,0.49275628581404474,0.1708535454744467,,0.0005122644540835307,2,128,96.0,,COMPLETE
9,26.347112556877015,2026-03-13 21:27:01.304539,2026-03-13 21:31:26.123288,0 days 00:04:24.818749,32,64,0.10423635883578984,0.17785289432756374,0.16334277806719416,0.0005607419720075159,3,96,160.0,128.0,COMPLETE
10,31.201669070852297,2026-03-13 21:31:26.123288,2026-03-13 21:32:30.117639,0 days 00:01:03.994351,32,96,0.25575808165745095,,,0.009360590263239418,1,192,,,COMPLETE
11,29.139831409495876,2026-03-13 21:32:30.117639,2026-03-13 21:41:27.779543,0 days 00:08:57.661904,16,96,0.4947738623261297,0.499868262881168,,0.00015127260072505803,2,256,32.0,,COMPLETE
12,26.774067683496902,2026-03-13 21:41:27.779543,2026-03-13 21:56:11.186729,0 days 00:14:43.407186,16,16,0.25889948179794714,0.4559791984525044,0.48603715538442105,0.000296546883046509,3,224,160.0,256.0,COMPLETE
13,25.909485473489788,2026-03-13 21:56:11.186729,2026-03-13 22:05:19.740821,0 days 00:09:08.554092,16,96,0.3392371003141914,,,0.00010519592169435208,1,192,,,COMPLETE
14,28.692852454864955,2026-03-13 22:05:19.741537,2026-03-13 22:08:33.868861,0 days 00:03:14.127324,16,80,0.43722833095799013,0.40955606370713443,,0.0007026192410130872,2,192,32.0,,COMPLETE
15,27.85075973201336,2026-03-13 22:08:33.868861,2026-03-13 22:10:39.022700,0 days 00:02:05.153839,32,48,0.3669014015451342,0.2721114734455514,,0.003257451490919949,2,224,96.0,,COMPLETE
16,26.912700062305056,2026-03-13 22:10:39.022700,2026-03-13 22:13:58.873613,0 days 00:03:19.850913,16,32,0.43236747040276646,,,0.002304684134439063,1,160,,,COMPLETE
17,28.09432864993776,2026-03-13 22:13:58.873613,2026-03-13 22:25:38.287506,0 days 00:11:39.413893,16,80,0.2996720459990252,0.11597569446754741,0.4114533289150458,0.0003225707446307178,3,256,256.0,32.0,COMPLETE
18,24.62704171609143,2026-03-13 22:25:38.287506,2026-03-13 22:28:55.317151,0 days 00:03:17.029645,32,48,0.24489231613863519,,,0.0007348215752788397,1,224,,,COMPLETE
19,28.211232428383106,2026-03-13 22:28:55.317901,2026-03-13 22:30:17.647375,0 days 00:01:22.329474,32,48,0.20109574375298578,,,0.005890653367788597,1,160,,,COMPLETE
20,23.91984329445361,2026-03-13 22:30:17.647375,2026-03-13 22:33:16.150796,0 days 00:02:58.503421,32,64,0.2254948664333958,,,0.000875407606508505,1,224,,,COMPLETE
21,24.42237942656225,2026-03-13 22:33:16.150796,2026-03-13 22:35:49.193234,0 days 00:02:33.042438,32,64,0.24016688363919245,,,0.0008883352133984919,1,224,,,COMPLETE
22,26.18266356825618,2026-03-13 22:35:49.193234,2026-03-13 22:38:08.692345,0 days 00:02:19.499111,32,80,0.2188711997394433,,,0.0007782646746053243,1,224,,,COMPLETE
23,24.440258606260812,2026-03-13 22:38:08.692345,2026-03-13 22:40:53.320548,0 days 00:02:44.628203,32,48,0.17965676866578284,,,0.001013738288142012,1,192,,,COMPLETE
24,24.490203466973096,2026-03-13 22:40:53.320548,2026-03-13 22:42:47.854929,0 days 00:01:54.534381,32,64,0.1647541564402143,,,0.0018985115176951449,1,192,,,COMPLETE
25,25.268455734445,2026-03-13 22:42:47.854929,2026-03-13 22:44:39.586078,0 days 00:01:51.731149,32,48,0.1567412406745894,,,0.0009590594525620028,1,160,,,COMPLETE
26,24.313929078503254,2026-03-13 22:44:39.586078,2026-03-13 22:47:08.909479,0 days 00:02:29.323401,32,112,0.20782619198200808,,,0.0013193642271777412,1,192,,,COMPLETE
27,24.127741926514208,2026-03-13 22:47:08.909479,2026-03-13 22:49:07.551213,0 days 00:01:58.641734,32,112,0.13387697339106572,,,0.0015334272222890164,1,128,,,COMPLETE
28,25.7635382200856,2026-03-13 22:49:07.551213,2026-03-13 22:52:02.300874,0 days 00:02:54.749661,32,112,0.11694996741471128,0.22087434678373977,,0.0015496274882461796,2,128,192.0,,COMPLETE
29,27.2245425628412,2026-03-13 22:52:02.300874,2026-03-13 22:53:03.782750,0 days 00:01:01.481876,32,112,0.13907623629108626,,,0.004501470884101958,1,128,,,COMPLETE
30,24.449638338747842,2026-03-13 22:53:03.782750,2026-03-13 22:55:15.320032,0 days 00:02:11.537282,32,112,0.2820748113643227,,,0.001275647787918774,1,96,,,COMPLETE
31,24.98518222908495,2026-03-13 22:55:15.321025,2026-03-13 22:57:22.091455,0 days 00:02:06.770430,32,96,0.20627745830473537,,,0.002444587771535541,1,160,,,COMPLETE
32,24.964830467228115,2026-03-13 22:57:22.091455,2026-03-13 22:59:16.252208,0 days 00:01:54.160753,32,112,0.22769209355293388,,,0.0013603065995683472,1,224,,,COMPLETE
33,24.822406849286125,2026-03-13 22:59:16.252208,2026-03-13 23:01:45.794355,0 days 00:02:29.542147,32,80,0.1808957010476655,,,0.0009273946688798503,1,192,,,COMPLETE
34,26.174961817262425,2026-03-13 23:01:45.794355,2026-03-13 23:03:22.124219,0 days 00:01:36.329864,64,128,0.27724647311274025,,,0.003013654465806184,1,256,,,COMPLETE
35,25.343541083523803,2026-03-13 23:03:22.125253,2026-03-13 23:04:49.417458,0 days 00:01:27.292205,32,64,0.23555288531439408,,,0.0022665498262364405,1,64,,,COMPLETE
36,24.7887514336277,2026-03-13 23:04:49.417458,2026-03-13 23:07:00.191390,0 days 00:02:10.773932,32,128,0.3276334463871352,,,0.0017873317263943887,1,160,,,COMPLETE
