number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,state
0,34.920328094791856,2026-05-09 16:59:34.174460,2026-05-09 17:07:00.966834,0 days 00:07:26.792374,16,128,0.3731920343043792,0.17552742034254926,0.005181986450245428,2,12,192,256.0,COMPLETE
1,32.75181675466433,2026-05-09 17:07:00.969384,2026-05-09 17:13:09.682489,0 days 00:06:08.713105,16,80,0.3570889020801721,0.13310295242843473,0.0015213202022825866,2,12,160,160.0,COMPLETE
2,49.098149523576744,2026-05-09 17:13:09.685482,2026-05-09 17:16:16.014069,0 days 00:03:06.328587,64,16,0.2055914956525855,0.318115441198322,0.012609221237706282,2,12,256,32.0,COMPLETE
3,32.508670755312686,2026-05-09 17:16:16.014533,2026-05-09 17:22:25.937710,0 days 00:06:09.923177,32,112,0.3615522322295719,0.16544233221939786,0.0018158944070493892,2,12,256,128.0,COMPLETE
4,32.089081438247206,2026-05-09 17:22:25.941233,2026-05-09 17:23:45.177787,0 days 00:01:19.236554,64,128,0.26163149723462,,0.0028056194646919968,1,12,128,,COMPLETE
5,31.27350846030787,2026-05-09 17:23:45.179785,2026-05-09 17:27:31.309855,0 days 00:03:46.130070,16,128,0.22537689544665973,,0.0012487831600795029,1,12,160,,COMPLETE
6,31.364796176606273,2026-05-09 17:27:31.310102,2026-05-09 17:30:22.663420,0 days 00:02:51.353318,32,128,0.1343084386387938,,0.0011130844539023505,1,12,160,,COMPLETE
7,60.90951356631062,2026-05-09 17:30:22.664352,2026-05-09 17:32:27.334600,0 days 00:02:04.670248,32,112,0.35512476850631536,0.46462585606829265,0.01351651146250203,2,12,64,128.0,COMPLETE
8,33.22240581638981,2026-05-09 17:32:27.334600,2026-05-09 17:39:13.782349,0 days 00:06:46.447749,32,80,0.3935783138896565,0.12699121228686006,0.0015192961097812221,2,12,128,256.0,COMPLETE
9,36.62231555230418,2026-05-09 17:39:13.782349,2026-05-09 17:40:43.115658,0 days 00:01:29.333309,16,128,0.3785992607133045,,0.0103356047524446,1,12,32,,COMPLETE
10,32.9534801764265,2026-05-09 17:40:43.115658,2026-05-09 17:42:36.477501,0 days 00:01:53.361843,16,32,0.47968135431404785,,0.0034678567927678605,1,12,96,,COMPLETE
11,31.463905993311535,2026-05-09 17:42:36.478004,2026-05-09 17:45:51.584212,0 days 00:03:15.106208,32,96,0.11723430300297374,,0.0010234030662199473,1,12,192,,COMPLETE
12,40.98808696111147,2026-05-09 17:45:51.584212,2026-05-09 17:49:42.295288,0 days 00:03:50.711076,16,48,0.10939653260880512,,0.024499349333338433,1,12,192,,COMPLETE
13,31.206100985304154,2026-05-09 17:49:42.296317,2026-05-09 17:52:30.060194,0 days 00:02:47.763877,32,96,0.20003417046411015,,0.001013009255344841,1,12,160,,COMPLETE
14,31.666372666706355,2026-05-09 17:52:30.060194,2026-05-09 17:56:21.510824,0 days 00:03:51.450630,64,96,0.205279261064758,,0.0025224647328983673,1,12,224,,COMPLETE
15,31.967748024415744,2026-05-09 17:56:21.511830,2026-05-09 17:57:27.206601,0 days 00:01:05.694771,32,64,0.24990136149818493,,0.0050454737026800495,1,12,96,,COMPLETE
16,32.383438288820045,2026-05-09 17:57:27.206601,2026-05-09 17:59:58.378799,0 days 00:02:31.172198,16,112,0.17249767468506677,,0.0019970755766348827,1,12,160,,COMPLETE
17,32.83338508321929,2026-05-09 17:59:58.379404,2026-05-09 18:01:46.043956,0 days 00:01:47.664552,32,96,0.3033521087272683,,0.0010296504317983965,1,12,96,,COMPLETE
18,32.5984647690123,2026-05-09 18:01:46.043956,2026-05-09 18:04:38.486965,0 days 00:02:52.443009,16,64,0.29193811049239327,,0.006645626407441025,1,12,224,,COMPLETE
19,31.644091505964212,2026-05-09 18:04:38.486965,2026-05-09 18:06:14.572345,0 days 00:01:36.085380,64,112,0.17321792151302054,,0.0036171233482605943,1,12,128,,COMPLETE
