number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,params_units_2,state
0,37.10218723528688,2026-05-08 07:08:30.139681,2026-05-08 07:10:10.261417,0 days 00:01:40.121736,16,64,0.13939232917360542,0.33670940319707177,0.3085930821864147,0.005094447372484893,3,1,96,224.0,32.0,COMPLETE
1,66.66018025672126,2026-05-08 07:10:10.264417,2026-05-08 07:19:58.652538,0 days 00:09:48.388121,16,48,0.47168379900498714,0.2839791957158249,0.286923006042905,0.024049345898554446,3,24,128,224.0,32.0,COMPLETE
2,33.315828001480895,2026-05-08 07:19:58.653502,2026-05-08 07:20:42.584576,0 days 00:00:43.931074,64,32,0.40801485809874427,0.11649492613549639,,0.0016404144735539467,2,1,224,128.0,,COMPLETE
3,45.064651694121906,2026-05-08 07:20:42.584576,2026-05-08 07:23:07.406345,0 days 00:02:24.821769,32,80,0.3164151619203903,0.2463372564326421,0.4354386505039698,0.008706710502870744,3,6,64,256.0,192.0,COMPLETE
4,33.45380696858107,2026-05-08 07:23:07.406345,2026-05-08 07:32:03.217330,0 days 00:08:55.810985,64,96,0.45859627802316816,0.46312109339906293,,0.00465905034678836,2,24,96,256.0,,COMPLETE
5,32.528248938139065,2026-05-08 07:32:03.217330,2026-05-08 07:34:43.257600,0 days 00:02:40.040270,64,96,0.4947136202966018,,,0.007107014068504468,1,12,192,,,COMPLETE
6,42.42998581734447,2026-05-08 07:34:43.259995,2026-05-08 07:47:55.308785,0 days 00:13:12.048790,32,64,0.3741559357340577,0.3241048478185691,0.49365677831924737,0.004906995560636068,3,24,32,256.0,160.0,COMPLETE
7,33.20728146844339,2026-05-08 07:47:55.308785,2026-05-08 07:59:51.537901,0 days 00:11:56.229116,16,16,0.30124247371247437,0.49314524314442665,,0.0025828503782210016,2,24,224,128.0,,COMPLETE
8,33.48577565652021,2026-05-08 07:59:51.537901,2026-05-08 08:03:01.912682,0 days 00:03:10.374781,32,80,0.41025072535013285,0.20164338489474806,,0.0033082099496411985,2,6,192,224.0,,COMPLETE
9,30.663826960830967,2026-05-08 08:03:01.913613,2026-05-08 08:08:04.082092,0 days 00:05:02.168479,16,112,0.3512712921368758,,,0.001979024421693645,1,12,256,,,COMPLETE
