number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,63.84317505528669,2026-05-05 12:29:45.146091,2026-05-05 12:30:12.503361,0 days 00:00:27.357270,64,0.14420648477523507,0.4721848294517503,,0.23469721530634746,2,96,224.0,,COMPLETE
1,34.32999096252247,2026-05-05 12:30:12.504659,2026-05-05 12:30:32.048900,0 days 00:00:19.544241,128,0.19750379964763798,0.23721473030962842,0.44319643779413087,0.012227784968506777,3,256,192.0,128.0,COMPLETE
2,31.62590006065495,2026-05-05 12:30:32.050405,2026-05-05 12:30:47.569927,0 days 00:00:15.519522,32,0.3009055385756659,,,0.0037603544591693254,1,160,,,COMPLETE
3,32.02899113007637,2026-05-05 12:30:47.574867,2026-05-05 12:31:12.838271,0 days 00:00:25.263404,64,0.35422602293613314,0.1749470857126828,0.057002080409815525,0.0017475753424520204,3,160,128.0,160.0,COMPLETE
4,31.82242194839207,2026-05-05 12:31:12.838271,2026-05-05 12:31:58.304196,0 days 00:00:45.465925,16,0.3530827002155517,0.29116916107002694,0.20434256283812258,0.0017146058137096432,3,96,192.0,96.0,COMPLETE
5,32.5827204191272,2026-05-05 12:31:58.304196,2026-05-05 12:32:17.196378,0 days 00:00:18.892182,64,0.2191057795854343,0.02213761355438315,0.11294762355249965,0.00623848339616041,3,128,160.0,64.0,COMPLETE
6,31.590607446924956,2026-05-05 12:32:17.199381,2026-05-05 12:32:55.237874,0 days 00:00:38.038493,32,0.3451960727646255,0.4873013472969381,0.36759163130663597,0.0029360975240593818,3,128,96.0,128.0,COMPLETE
7,247.94896253387546,2026-05-05 12:32:55.239879,2026-05-05 12:33:38.563862,0 days 00:00:43.323983,64,0.02690435140869346,0.3216158861780698,0.28479348454020387,0.20533964231395122,3,96,224.0,192.0,COMPLETE
8,31.471345835306927,2026-05-05 12:33:38.564862,2026-05-05 12:33:52.744373,0 days 00:00:14.179511,64,0.416203538858834,,,0.0028425072310721933,1,224,,,COMPLETE
9,32.11603768499335,2026-05-05 12:33:52.746601,2026-05-05 12:34:10.677106,0 days 00:00:17.930505,64,0.3064030992252488,0.04070937788912088,0.46053257710231443,0.0018708091289759725,3,32,32.0,128.0,COMPLETE
10,32.73287413653681,2026-05-05 12:34:10.677106,2026-05-05 12:34:21.930218,0 days 00:00:11.253112,128,0.49372555153408615,,,0.04840512541239019,1,256,,,COMPLETE
11,43.02650217495396,2026-05-05 12:34:21.931897,2026-05-05 12:34:40.451876,0 days 00:00:18.519979,32,0.4635585793898275,0.49513047475747274,,0.02873678720496161,2,192,64.0,,COMPLETE
12,33.07328750857084,2026-05-05 12:34:40.452876,2026-05-05 12:34:57.110498,0 days 00:00:16.657622,32,0.410545029113064,,,0.0062033731796002954,1,224,,,COMPLETE
13,31.759408548937586,2026-05-05 12:34:57.111063,2026-05-05 12:35:35.214976,0 days 00:00:38.103913,16,0.3999379518319094,0.3765030375945116,,0.0010150236837994007,2,192,96.0,,COMPLETE
14,31.654124323556506,2026-05-05 12:35:35.216139,2026-05-05 12:35:54.786733,0 days 00:00:19.570594,32,0.4279774991211741,,,0.004161261385964488,1,32,,,COMPLETE
15,32.552601060205845,2026-05-05 12:35:54.786733,2026-05-05 12:36:18.465110,0 days 00:00:23.678377,32,0.2829147118487404,0.4025329931077391,,0.010989320925222146,2,192,96.0,,COMPLETE
16,53.00938027260545,2026-05-05 12:36:18.466105,2026-05-05 12:36:50.391892,0 days 00:00:31.925787,16,0.35535602480029355,0.14434353890257823,,0.06879154143081445,2,128,32.0,,COMPLETE
17,31.201537234876366,2026-05-05 12:36:50.391892,2026-05-05 12:37:01.419129,0 days 00:00:11.027237,128,0.14340802769551408,,,0.0032546283627804423,1,224,,,COMPLETE
18,31.504260381124148,2026-05-05 12:37:01.423091,2026-05-05 12:37:13.203752,0 days 00:00:11.780661,128,0.07870298554275594,,,0.0010063336305500391,1,224,,,COMPLETE
19,31.9317380619417,2026-05-05 12:37:13.204156,2026-05-05 12:37:21.240739,0 days 00:00:08.036583,128,0.13741186350882428,,,0.022297628234975456,1,224,,,COMPLETE
20,31.36525759559391,2026-05-05 12:37:21.241745,2026-05-05 12:37:36.190948,0 days 00:00:14.949203,128,0.1479518606664199,,,0.007533334382521944,1,256,,,COMPLETE
21,31.688177251285225,2026-05-05 12:37:36.190948,2026-05-05 12:37:45.436850,0 days 00:00:09.245902,128,0.14161985689397452,,,0.007559037438023737,1,256,,,COMPLETE
22,30.976447411937716,2026-05-05 12:37:45.436850,2026-05-05 12:37:57.329039,0 days 00:00:11.892189,128,0.08298737194303507,,,0.003438878365966116,1,224,,,COMPLETE
23,31.524679864059017,2026-05-05 12:37:57.331237,2026-05-05 12:38:08.026287,0 days 00:00:10.695050,128,0.08085627680243801,,,0.005364817360803091,1,256,,,COMPLETE
24,31.55263360252706,2026-05-05 12:38:08.028212,2026-05-05 12:38:17.944626,0 days 00:00:09.916414,128,0.008575936797249079,,,0.011621902570614663,1,192,,,COMPLETE
25,31.637516610162255,2026-05-05 12:38:17.944626,2026-05-05 12:38:32.864539,0 days 00:00:14.919913,128,0.07723604211994922,0.10029584329521987,,0.0025256571368137653,2,224,256.0,,COMPLETE
26,31.45542229999208,2026-05-05 12:38:32.864539,2026-05-05 12:38:42.916661,0 days 00:00:10.052122,128,0.17678483881446738,,,0.00790419519238747,1,256,,,COMPLETE
27,32.23579124901288,2026-05-05 12:38:42.916661,2026-05-05 12:38:53.241355,0 days 00:00:10.324694,128,0.24153973343303037,,,0.017097169214523533,1,224,,,COMPLETE
28,31.66823262336596,2026-05-05 12:38:53.242353,2026-05-05 12:39:08.564643,0 days 00:00:15.322290,128,0.10029699947098009,0.21536631086543345,,0.003618051590977183,2,160,256.0,,COMPLETE
29,31.750514433694196,2026-05-05 12:39:08.565642,2026-05-05 12:39:22.551569,0 days 00:00:13.985927,128,0.17769028243630172,0.09433335137475118,,0.004829087316050386,2,192,160.0,,COMPLETE
30,30.955434874536955,2026-05-05 12:39:22.551569,2026-05-05 12:39:32.099240,0 days 00:00:09.547671,128,0.04263340371997949,,,0.0021082814739512555,1,64,,,COMPLETE
