number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,32.92797458498946,2026-05-05 11:51:17.276134,2026-05-05 11:51:31.939601,0 days 00:00:14.663467,32,0.41407751613952254,,,0.007113845932947846,1,224,,,COMPLETE
1,65.36368082309164,2026-05-05 11:51:31.954861,2026-05-05 11:51:44.968559,0 days 00:00:13.013698,128,0.4145237834356341,0.07887831715979149,0.2607558263871149,0.14815544468069608,3,160,96.0,256.0,COMPLETE
2,47.28656151686209,2026-05-05 11:51:44.969551,2026-05-05 11:52:05.836627,0 days 00:00:20.867076,32,0.28216922008236983,,,0.18233109255112465,1,224,,,COMPLETE
3,35.79732666588367,2026-05-05 11:52:05.837530,2026-05-05 11:52:15.528474,0 days 00:00:09.690944,128,0.44726112122036427,0.012858147624259797,,0.016089104788173367,2,64,192.0,,COMPLETE
4,66.16372330398555,2026-05-05 11:52:15.529475,2026-05-05 11:52:47.155922,0 days 00:00:31.626447,64,0.05362923517979429,0.2932812604466087,0.21527808887660316,0.1330667723134146,3,224,64.0,256.0,COMPLETE
5,33.71948666020718,2026-05-05 11:52:47.156941,2026-05-05 11:52:57.428391,0 days 00:00:10.271450,64,0.4722234737950466,,,0.012006902760615737,1,128,,,COMPLETE
6,46.959722912385025,2026-05-05 11:52:57.428391,2026-05-05 11:53:34.943778,0 days 00:00:37.515387,16,0.08304286194383925,,,0.07539107393985224,1,256,,,COMPLETE
7,32.43700754969496,2026-05-05 11:53:34.943778,2026-05-05 11:53:48.061643,0 days 00:00:13.117865,128,0.24606994745085747,0.034147410844149795,,0.0018024062318301138,2,128,192.0,,COMPLETE
8,61.07879757705081,2026-05-05 11:53:48.063634,2026-05-05 11:54:22.547302,0 days 00:00:34.483668,32,0.22788845481590742,0.10558449102362594,,0.26657389413697213,2,256,192.0,,COMPLETE
9,51.21768815650004,2026-05-05 11:54:22.548301,2026-05-05 11:54:53.590613,0 days 00:00:31.042312,16,0.17374152568974072,,,0.13888188920046557,1,224,,,COMPLETE
10,36.41105059514339,2026-05-05 11:54:53.590613,2026-05-05 11:55:05.735997,0 days 00:00:12.145384,128,0.32202663500541573,0.41479204650010837,,0.0010786099079574684,2,32,256.0,,COMPLETE
11,32.72089145175114,2026-05-05 11:55:05.735997,2026-05-05 11:55:27.070191,0 days 00:00:21.334194,32,0.3731166516039902,0.21418909251724597,,0.0022736333067507994,2,128,160.0,,COMPLETE
12,33.147728251653334,2026-05-05 11:55:27.071188,2026-05-05 11:55:52.645128,0 days 00:00:25.573940,32,0.34469057276064374,0.22081020130636608,,0.0014363911282944861,2,128,160.0,,COMPLETE
13,33.429752980920966,2026-05-05 11:55:52.645920,2026-05-05 11:56:04.869704,0 days 00:00:12.223784,128,0.1819833660745203,0.20861670601356228,0.49152270883274685,0.0036133999883550946,3,96,128.0,32.0,COMPLETE
