number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,62.899556565151116,2026-04-12 14:34:37.451845,2026-04-12 14:35:18.402275,0 days 00:00:40.950430,32,0.4337959627677199,0.08514284309413866,,0.27851283826138823,2,160,128.0,,COMPLETE
1,28.002208140569014,2026-04-12 14:35:18.403133,2026-04-12 14:35:40.034209,0 days 00:00:21.631076,128,0.2933143418966012,0.4976960080386934,,0.009499106534612707,2,256,256.0,,COMPLETE
2,22.215438251176963,2026-04-12 14:35:40.034209,2026-04-12 14:38:12.062813,0 days 00:02:32.028604,16,0.04618705088841857,,,0.0012578656635463417,1,96,,,COMPLETE
3,27.520392331950074,2026-04-12 14:38:12.062813,2026-04-12 14:38:35.763809,0 days 00:00:23.700996,128,0.1955412366342697,0.06758912980590015,0.2514972229845511,0.011416954261557458,3,256,96.0,96.0,COMPLETE
4,29.867172730761002,2026-04-12 14:38:35.765167,2026-04-12 14:38:54.947670,0 days 00:00:19.182503,128,0.08564602282129119,0.4389533129818415,,0.02437890514092515,2,64,192.0,,COMPLETE
5,27.821081777965144,2026-04-12 14:38:54.947670,2026-04-12 14:39:13.353205,0 days 00:00:18.405535,128,0.04919408266989661,,,0.07598464274993307,1,160,,,COMPLETE
6,62.06830487396305,2026-04-12 14:39:13.353205,2026-04-12 14:40:21.932596,0 days 00:01:08.579391,16,0.473144578029847,,,0.09605137661640378,1,64,,,COMPLETE
7,26.981384930170304,2026-04-12 14:40:21.932596,2026-04-12 14:40:56.065979,0 days 00:00:34.133383,64,0.2542499861486487,0.10925813033821885,0.10761845619524768,0.00437441480446501,3,96,32.0,96.0,COMPLETE
8,25.406738053474243,2026-04-12 14:40:56.066980,2026-04-12 14:42:03.446416,0 days 00:01:07.379436,16,0.2239909247322111,,,0.003950399401579868,1,256,,,COMPLETE
9,66.6228889107315,2026-04-12 14:42:03.446416,2026-04-12 14:42:31.744134,0 days 00:00:28.297718,128,0.28336077986081987,0.34381341928400977,0.4710721368620596,0.2544015236235881,3,160,64.0,96.0,COMPLETE
