number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,34.09727130847099,2026-04-29 17:23:18.676186,2026-04-29 17:23:52.748899,0 days 00:00:34.072713,64,0.15418106231455442,0.21133368849445988,0.38960224699908225,0.001678123875323001,3,96,256.0,160.0,COMPLETE
1,34.7773704370946,2026-04-29 17:23:52.749501,2026-04-29 17:24:22.869425,0 days 00:00:30.119924,32,0.43704536101243346,0.21436333315643175,0.1999929593806719,0.0033405661515686683,3,160,192.0,128.0,COMPLETE
2,187.80242622797715,2026-04-29 17:24:22.869425,2026-04-29 17:25:26.560930,0 days 00:01:03.691505,16,0.3672754716805063,0.01610269977751433,0.0062127568125364685,0.0927937756311088,3,96,192.0,256.0,COMPLETE
3,33.952826586534165,2026-04-29 17:25:26.560930,2026-04-29 17:26:07.226436,0 days 00:00:40.665506,16,0.20392913920272565,0.10886693665514091,0.373946237096235,0.0045796813842856774,3,192,32.0,224.0,COMPLETE
4,37.06491632932568,2026-04-29 17:26:07.226436,2026-04-29 17:26:25.320403,0 days 00:00:18.093967,128,0.12946127847238398,0.17979287086989926,,0.0016860793478542136,2,64,128.0,,COMPLETE
5,60.509204434802896,2026-04-29 17:26:25.320603,2026-04-29 17:27:28.137120,0 days 00:01:02.816517,16,0.45237277742135157,0.11178232666307109,0.3995849956344698,0.06728924536094386,3,224,256.0,192.0,COMPLETE
6,35.44544794409113,2026-04-29 17:27:28.137327,2026-04-29 17:28:07.790935,0 days 00:00:39.653608,64,0.31787161124588525,0.3122332226454171,0.0076276775497519655,0.015889667918676034,3,192,128.0,64.0,COMPLETE
7,48.88377556573397,2026-04-29 17:28:07.791542,2026-04-29 17:28:59.222754,0 days 00:00:51.431212,16,0.07416824976581765,0.2136779960389505,,0.1027684549624163,2,224,224.0,,COMPLETE
8,33.4756178732629,2026-04-29 17:28:59.223661,2026-04-29 17:29:22.650371,0 days 00:00:23.426710,32,0.06950408703047473,0.2214339006371457,0.4570138792395748,0.002835944877653182,3,128,32.0,192.0,COMPLETE
9,35.68405769748595,2026-04-29 17:29:22.651364,2026-04-29 17:29:59.062534,0 days 00:00:36.411170,32,0.4949528805587022,0.24758954542200318,,0.001025126394308635,2,160,64.0,,COMPLETE
10,33.53189692162017,2026-04-29 17:29:59.062534,2026-04-29 17:30:18.236304,0 days 00:00:19.173770,32,0.07231390108420463,,,0.013625791026089776,1,32,,,COMPLETE
11,33.104206743542754,2026-04-29 17:30:18.236304,2026-04-29 17:30:41.512108,0 days 00:00:23.275804,32,0.0019686219384186937,,,0.018361195710798885,1,32,,,COMPLETE
12,33.37057584196988,2026-04-29 17:30:41.512108,2026-04-29 17:31:01.780364,0 days 00:00:20.268256,32,0.026900495535865966,,,0.028312266436810184,1,32,,,COMPLETE
13,33.04539226102495,2026-04-29 17:31:01.781385,2026-04-29 17:31:23.966396,0 days 00:00:22.185011,32,0.0042275807383870545,,,0.035451253133137656,1,32,,,COMPLETE
14,34.92756146971052,2026-04-29 17:31:23.966396,2026-04-29 17:31:38.506765,0 days 00:00:14.540369,128,0.008068602761234417,,,0.033244269890738455,1,64,,,COMPLETE
15,33.94984516228855,2026-04-29 17:31:38.506765,2026-04-29 17:32:05.085913,0 days 00:00:26.579148,32,0.2581152275884095,,,0.25316629840545496,1,32,,,COMPLETE
16,33.89982709267231,2026-04-29 17:32:05.086940,2026-04-29 17:32:28.891560,0 days 00:00:23.804620,32,0.16581723093906528,,,0.007791543553765286,1,96,,,COMPLETE
17,33.09814967711978,2026-04-29 17:32:28.892547,2026-04-29 17:32:49.767789,0 days 00:00:20.875242,32,0.007196398892253174,,,0.039365940377351596,1,64,,,COMPLETE
18,36.63142674021036,2026-04-29 17:32:49.767789,2026-04-29 17:33:20.249769,0 days 00:00:30.481980,128,0.1154576531037249,0.4947006902241998,,0.048193550018490156,2,64,96.0,,COMPLETE
19,35.19738112920077,2026-04-29 17:33:20.250161,2026-04-29 17:33:42.909164,0 days 00:00:22.659003,64,0.25328416489403743,,,0.17312278434296538,1,128,,,COMPLETE
20,34.34622357560232,2026-04-29 17:33:42.910163,2026-04-29 17:34:10.972963,0 days 00:00:28.062800,32,0.05598185491852875,0.38571490075153425,,0.007791738668436944,2,256,160.0,,COMPLETE
21,32.77965657098757,2026-04-29 17:34:10.972963,2026-04-29 17:34:29.300750,0 days 00:00:18.327787,32,0.01034266557691977,,,0.02822096336719865,1,32,,,COMPLETE
22,32.70485203725424,2026-04-29 17:34:29.300750,2026-04-29 17:34:51.902293,0 days 00:00:22.601543,32,0.10364267393363072,,,0.0402159134513289,1,64,,,COMPLETE
23,32.91155813167192,2026-04-29 17:34:51.902293,2026-04-29 17:35:13.428651,0 days 00:00:21.526358,32,0.09312550304366826,,,0.02235514319849465,1,32,,,COMPLETE
24,34.81657206152907,2026-04-29 17:35:13.428651,2026-04-29 17:35:36.268004,0 days 00:00:22.839353,32,0.20404470941195693,,,0.022471939775142506,1,64,,,COMPLETE
25,33.30120480133221,2026-04-29 17:35:36.268928,2026-04-29 17:36:04.389801,0 days 00:00:28.120873,32,0.10859442041069453,0.4911365838564238,,0.010071368565370649,2,96,96.0,,COMPLETE
26,32.79059037262839,2026-04-29 17:36:04.390365,2026-04-29 17:36:28.415515,0 days 00:00:24.025150,32,0.21203170285416456,,,0.06277428290927747,1,32,,,COMPLETE
27,33.32165515714973,2026-04-29 17:36:28.415515,2026-04-29 17:36:44.963576,0 days 00:00:16.548061,128,0.30261848316624784,,,0.06300859981903581,1,64,,,COMPLETE
28,48.981307515758814,2026-04-29 17:36:44.964094,2026-04-29 17:37:13.072635,0 days 00:00:28.108541,64,0.20373661920662675,0.3651947420402424,,0.13498237883786035,2,128,192.0,,COMPLETE
29,33.1964238657276,2026-04-29 17:37:13.073650,2026-04-29 17:37:34.350207,0 days 00:00:21.276557,64,0.15635328814056978,,,0.055250842818294864,1,96,,,COMPLETE
30,36.26152381245011,2026-04-29 17:37:34.351208,2026-04-29 17:37:58.443284,0 days 00:00:24.092076,32,0.17499082127955704,,,0.2598219529215178,1,32,,,COMPLETE
31,32.61216891307218,2026-04-29 17:37:58.443284,2026-04-29 17:38:21.196236,0 days 00:00:22.752952,32,0.045215097294835256,,,0.025987249985607516,1,32,,,COMPLETE
32,33.218360662834264,2026-04-29 17:38:21.196236,2026-04-29 17:38:44.397604,0 days 00:00:23.201368,32,0.039242508671804927,,,0.07545853352793074,1,64,,,COMPLETE
33,33.961924705491995,2026-04-29 17:38:44.397604,2026-04-29 17:39:10.166546,0 days 00:00:25.768942,32,0.12885253400366156,,,0.043475228767075505,1,32,,,COMPLETE
34,33.378134684684795,2026-04-29 17:39:10.167118,2026-04-29 17:39:32.387398,0 days 00:00:22.220280,32,0.05399987052154557,,,0.09743615928584466,1,96,,,COMPLETE
35,35.6292468843412,2026-04-29 17:39:32.387398,2026-04-29 17:39:58.523582,0 days 00:00:26.136184,16,0.38214215780697147,,,0.02724799177795042,1,64,,,COMPLETE
36,44.57270754940954,2026-04-29 17:39:58.539204,2026-04-29 17:40:28.932968,0 days 00:00:30.393764,32,0.09552759091166056,0.018347945568026297,,0.15589119667592505,2,32,64.0,,COMPLETE
37,34.081843689263394,2026-04-29 17:40:28.933967,2026-04-29 17:40:49.044353,0 days 00:00:20.110386,32,0.22253223418172358,,,0.013666813084063444,1,64,,,COMPLETE
38,34.59909414832714,2026-04-29 17:40:49.044353,2026-04-29 17:41:32.572830,0 days 00:00:43.528477,16,0.03691661141893743,0.41937363658897975,,0.0888726882323777,2,32,160.0,,COMPLETE
39,32.74869635873585,2026-04-29 17:41:32.572830,2026-04-29 17:41:46.450222,0 days 00:00:13.877392,128,0.1282085531056751,,,0.005056315602936007,1,96,,,COMPLETE
40,34.22508506484746,2026-04-29 17:41:46.450971,2026-04-29 17:42:01.973629,0 days 00:00:15.522658,128,0.14652045449079137,,,0.0029075743386525093,1,96,,,COMPLETE
41,32.19651407371764,2026-04-29 17:42:01.974954,2026-04-29 17:42:17.137656,0 days 00:00:15.162702,128,0.09199125441297513,,,0.010697986311669254,1,64,,,COMPLETE
42,32.33212201200006,2026-04-29 17:42:17.153282,2026-04-29 17:42:32.204266,0 days 00:00:15.050984,128,0.0869071870127783,,,0.004184634005596978,1,64,,,COMPLETE
43,33.035574410316634,2026-04-29 17:42:32.204266,2026-04-29 17:42:48.879236,0 days 00:00:16.674970,128,0.08913907818871321,,,0.004439312623925728,1,96,,,COMPLETE
44,33.39819952063419,2026-04-29 17:42:48.879236,2026-04-29 17:43:03.064877,0 days 00:00:14.185641,128,0.14079350774973814,,,0.006138168996387981,1,128,,,COMPLETE
45,38.715196704706315,2026-04-29 17:43:03.065434,2026-04-29 17:43:15.249274,0 days 00:00:12.183840,128,0.07432430015449723,,,0.004086239855941043,1,160,,,COMPLETE
46,33.33721497901827,2026-04-29 17:43:15.249274,2026-04-29 17:43:30.035862,0 days 00:00:14.786588,128,0.11592535619679604,,,0.010955939928434104,1,64,,,COMPLETE
47,35.41058386635183,2026-04-29 17:43:30.035862,2026-04-29 17:43:48.920885,0 days 00:00:18.885023,128,0.051414711874237295,0.30885536865043656,,0.0020648784981692554,2,96,224.0,,COMPLETE
48,35.04966696954166,2026-04-29 17:43:48.920885,2026-04-29 17:44:10.372952,0 days 00:00:21.452067,128,0.08780168307791257,0.07856446245105958,0.2149999028053921,0.00601162241531566,3,64,96.0,32.0,COMPLETE
49,32.58265859046938,2026-04-29 17:44:10.373880,2026-04-29 17:44:27.534852,0 days 00:00:17.160972,128,0.18006334981488772,,,0.002460446582395376,1,192,,,COMPLETE
50,34.24755590999551,2026-04-29 17:44:27.535165,2026-04-29 17:44:42.487637,0 days 00:00:14.952472,128,0.18163640313446838,,,0.001346612622555243,1,192,,,COMPLETE
51,33.13894485331896,2026-04-29 17:44:42.487637,2026-04-29 17:45:00.539879,0 days 00:00:18.052242,128,0.1282167516325922,,,0.002323858116155938,1,224,,,COMPLETE
52,32.23961963125312,2026-04-29 17:45:00.539879,2026-04-29 17:45:13.228154,0 days 00:00:12.688275,128,0.06977063295830481,,,0.003913636824193512,1,192,,,COMPLETE
53,32.567039733453704,2026-04-29 17:45:13.228154,2026-04-29 17:45:26.685556,0 days 00:00:13.457402,128,0.06559480181913308,,,0.003685592010104425,1,192,,,COMPLETE
54,31.898829508559952,2026-04-29 17:45:26.690457,2026-04-29 17:45:42.931935,0 days 00:00:16.241478,128,0.029833098106709033,,,0.003108451993269434,1,192,,,COMPLETE
55,37.359747866885954,2026-04-29 17:45:42.932107,2026-04-29 17:45:54.794111,0 days 00:00:11.862004,128,0.02254535723300155,,,0.003661489569378133,1,192,,,COMPLETE
56,32.38917040024195,2026-04-29 17:45:54.794718,2026-04-29 17:46:07.913121,0 days 00:00:13.118403,128,0.0668190073230019,,,0.0017287855306125208,1,224,,,COMPLETE
57,34.59994746130045,2026-04-29 17:46:07.913121,2026-04-29 17:46:23.083624,0 days 00:00:15.170503,128,0.06634200705373045,,,0.001710556670833994,1,224,,,COMPLETE
58,32.28522756584218,2026-04-29 17:46:23.083624,2026-04-29 17:46:37.956171,0 days 00:00:14.872547,128,0.02275868712058065,,,0.0012302262790520712,1,256,,,COMPLETE
59,32.685132173325925,2026-04-29 17:46:37.956171,2026-04-29 17:46:56.353567,0 days 00:00:18.397396,128,0.078528873729593,,,0.0011920149239742894,1,256,,,COMPLETE
60,33.29937518926298,2026-04-29 17:46:56.354758,2026-04-29 17:47:13.545815,0 days 00:00:17.191057,128,0.02643049190128713,0.3140314023034527,,0.0015300040029558339,2,256,224.0,,COMPLETE
61,32.692096786161436,2026-04-29 17:47:13.545815,2026-04-29 17:47:24.426324,0 days 00:00:10.880509,128,0.059023045944858285,,,0.0032944699290483543,1,224,,,COMPLETE
62,38.503727315780736,2026-04-29 17:47:24.427324,2026-04-29 17:47:36.244432,0 days 00:00:11.817108,128,0.01958883907715761,,,0.0020277302866016514,1,160,,,COMPLETE
63,32.85558936298183,2026-04-29 17:47:36.244432,2026-04-29 17:47:49.665069,0 days 00:00:13.420637,128,0.03467898442472367,,,0.0026882095163469244,1,224,,,COMPLETE
64,35.58052087102031,2026-04-29 17:47:49.665069,2026-04-29 17:48:01.208138,0 days 00:00:11.543069,128,0.0017932698189239288,,,0.0017755092813463596,1,192,,,COMPLETE
65,34.83889743243038,2026-04-29 17:48:01.209128,2026-04-29 17:48:16.560946,0 days 00:00:15.351818,128,0.07449044197211978,,,0.0010110276315722158,1,256,,,COMPLETE
66,31.901220198775427,2026-04-29 17:48:16.560946,2026-04-29 17:48:33.191514,0 days 00:00:16.630568,128,0.1030489147991078,,,0.005636529821817349,1,192,,,COMPLETE
67,32.715125926266474,2026-04-29 17:48:33.191514,2026-04-29 17:48:53.500444,0 days 00:00:20.308930,64,0.1133686448454105,,,0.008249778966009721,1,224,,,COMPLETE
68,33.45903169278415,2026-04-29 17:48:53.500444,2026-04-29 17:49:22.125093,0 days 00:00:28.624649,16,0.2746635641909463,,,0.006545933647528205,1,160,,,COMPLETE
69,33.54480994865226,2026-04-29 17:49:22.125545,2026-04-29 17:49:41.078676,0 days 00:00:18.953131,128,0.4945072893981667,,,0.010475555126930228,1,192,,,COMPLETE
70,33.63327738905614,2026-04-29 17:49:41.078676,2026-04-29 17:50:00.786908,0 days 00:00:19.708232,128,0.049412049627199396,0.4553767439756301,0.11621360235885453,0.005112756554555398,3,224,64.0,96.0,COMPLETE
71,33.00394263780809,2026-04-29 17:50:00.786908,2026-04-29 17:50:11.589183,0 days 00:00:10.802275,128,0.1017176310535319,,,0.003296126226306214,1,192,,,COMPLETE
72,32.12624955747059,2026-04-29 17:50:11.589183,2026-04-29 17:50:27.380557,0 days 00:00:15.791374,128,0.06429114501023536,,,0.00412200192635868,1,160,,,COMPLETE
73,36.75573574779459,2026-04-29 17:50:27.381811,2026-04-29 17:50:41.686107,0 days 00:00:14.304296,128,0.0839754714925379,,,0.0012553629750462851,1,160,,,COMPLETE
74,35.94817381605067,2026-04-29 17:50:41.686107,2026-04-29 17:50:52.592444,0 days 00:00:10.906337,128,0.018130813650384034,,,0.007066058503837736,1,160,,,COMPLETE
75,33.40673231685538,2026-04-29 17:50:52.592444,2026-04-29 17:51:06.653988,0 days 00:00:14.061544,128,0.03721131704566263,,,0.009094846906779397,1,256,,,COMPLETE
76,32.877747857292796,2026-04-29 17:51:06.653988,2026-04-29 17:51:22.250778,0 days 00:00:15.596790,64,0.05644006643787305,,,0.005370597814424327,1,224,,,COMPLETE
77,32.27810991862215,2026-04-29 17:51:22.250778,2026-04-29 17:51:36.732612,0 days 00:00:14.481834,128,0.0998580438088533,,,0.0029323163210745857,1,160,,,COMPLETE
78,32.697598042561445,2026-04-29 17:51:36.732612,2026-04-29 17:52:07.524722,0 days 00:00:30.792110,16,0.10520099717034304,,,0.004292412725731216,1,128,,,COMPLETE
79,35.618727156298334,2026-04-29 17:52:07.525620,2026-04-29 17:52:24.039936,0 days 00:00:16.514316,128,0.39601907867020525,,,0.0029668263517745193,1,160,,,COMPLETE
80,32.44446560928452,2026-04-29 17:52:24.040969,2026-04-29 17:52:41.852483,0 days 00:00:17.811514,128,0.15185410530273147,,,0.012308827803483899,1,128,,,COMPLETE
81,32.58740648896372,2026-04-29 17:52:41.852483,2026-04-29 17:52:54.866736,0 days 00:00:13.014253,128,0.0894822742763124,,,0.00206637202340038,1,160,,,COMPLETE
82,32.50875311618658,2026-04-29 17:52:54.866736,2026-04-29 17:53:10.738720,0 days 00:00:15.871984,128,0.12067400996724786,,,0.002517750398539135,1,192,,,COMPLETE
83,33.85822632242569,2026-04-29 17:53:10.738720,2026-04-29 17:53:23.347195,0 days 00:00:12.608475,128,0.06468623437344553,,,0.0014746318752612735,1,160,,,COMPLETE
84,33.03211578815695,2026-04-29 17:53:23.347195,2026-04-29 17:53:36.155544,0 days 00:00:12.808349,128,0.035292853287269915,,,0.003867858629958485,1,192,,,COMPLETE
85,33.156796015504355,2026-04-29 17:53:36.156544,2026-04-29 17:53:53.610387,0 days 00:00:17.453843,128,0.13638491497171357,,,0.016858792690251173,1,192,,,COMPLETE
86,33.737614125559304,2026-04-29 17:53:53.610387,2026-04-29 17:54:07.964674,0 days 00:00:14.354287,128,0.07790187330554799,,,0.005270029351519501,1,256,,,COMPLETE
87,32.42664403354608,2026-04-29 17:54:07.964674,2026-04-29 17:54:23.307547,0 days 00:00:15.342873,128,0.09903075722807463,,,0.003088072647009504,1,224,,,COMPLETE
88,33.33729607465261,2026-04-29 17:54:23.307547,2026-04-29 17:54:36.669247,0 days 00:00:13.361700,128,0.044603398822253906,,,0.002031901983937831,1,160,,,COMPLETE
89,32.76680300406174,2026-04-29 17:54:36.674463,2026-04-29 17:54:52.952954,0 days 00:00:16.278491,64,0.01183038399518796,,,0.004586785056364445,1,192,,,COMPLETE
90,38.56217100214319,2026-04-29 17:54:52.953554,2026-04-29 17:55:07.458742,0 days 00:00:14.505188,128,0.06474638313752902,,,0.0011542411768174729,1,128,,,COMPLETE
91,33.397236383417464,2026-04-29 17:55:07.458742,2026-04-29 17:55:21.541160,0 days 00:00:14.082418,128,0.09743658363309832,,,0.003158797102390871,1,224,,,COMPLETE
92,32.401717562053875,2026-04-29 17:55:21.541160,2026-04-29 17:55:36.970359,0 days 00:00:15.429199,128,0.16457072845672957,,,0.003592265870642002,1,224,,,COMPLETE
93,33.990282784499485,2026-04-29 17:55:36.970631,2026-04-29 17:55:50.429807,0 days 00:00:13.459176,128,0.16281855806055787,,,0.0038242408092544282,1,224,,,COMPLETE
94,32.2984854141294,2026-04-29 17:55:50.429807,2026-04-29 17:56:06.099172,0 days 00:00:15.669365,128,0.11767713366947757,,,0.004509460508020359,1,256,,,COMPLETE
95,32.53438740668083,2026-04-29 17:56:06.100170,2026-04-29 17:56:19.081252,0 days 00:00:12.981082,128,0.11893611140966168,,,0.004708356725789469,1,256,,,COMPLETE
96,33.156012617869166,2026-04-29 17:56:19.081252,2026-04-29 17:56:51.285151,0 days 00:00:32.203899,16,0.08395149757419515,,,0.0022517910472305076,1,256,,,COMPLETE
