number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,599.3304908892871,2026-04-29 14:36:56.880493,2026-04-29 14:37:23.304740,0 days 00:00:26.424247,16,0.17552925245925072,,,0.21365742999515996,1,128,,,COMPLETE
1,67.34904199964028,2026-04-29 14:37:23.304740,2026-04-29 14:37:36.298930,0 days 00:00:12.994190,128,0.2729849591117399,0.41181113674507863,0.25182785113576933,0.10053259788347815,3,32,64.0,96.0,COMPLETE
2,41.19290581149501,2026-04-29 14:37:36.299933,2026-04-29 14:37:55.798003,0 days 00:00:19.498070,128,0.4583178770837146,0.1717284156619932,0.15974031657195048,0.0020145934112966554,3,160,128.0,32.0,COMPLETE
3,244.87282803279217,2026-04-29 14:37:55.798003,2026-04-29 14:38:16.349382,0 days 00:00:20.551379,64,0.1613944975650577,0.4885621759063734,0.09685058840695793,0.23864648793816645,3,128,96.0,96.0,COMPLETE
4,62.568498574841726,2026-04-29 14:38:16.349382,2026-04-29 14:38:55.357644,0 days 00:00:39.008262,16,0.11168052439991921,0.4014830645787583,0.020060140125622128,0.09608207148563955,3,128,224.0,32.0,COMPLETE
5,40.28266528790196,2026-04-29 14:38:55.358638,2026-04-29 14:39:17.515386,0 days 00:00:22.156748,32,0.21146173446266558,0.26472059469398235,,0.007086736960274173,2,192,192.0,,COMPLETE
6,52.24287814925454,2026-04-29 14:39:17.516390,2026-04-29 14:39:40.382000,0 days 00:00:22.865610,64,0.30773930531789523,0.41881075049879174,0.17662048417015952,0.008452978581077603,3,256,32.0,192.0,COMPLETE
7,37.33092949541499,2026-04-29 14:39:40.382000,2026-04-29 14:40:16.333239,0 days 00:00:35.951239,16,0.40285657460771396,,,0.0072518618076015074,1,160,,,COMPLETE
8,51.29033277116086,2026-04-29 14:40:16.333239,2026-04-29 14:40:46.079920,0 days 00:00:29.746681,32,0.383469100154327,0.49167042301224373,,0.0011093934661620946,2,32,96.0,,COMPLETE
9,80.63508459973158,2026-04-29 14:40:46.080026,2026-04-29 14:40:58.893603,0 days 00:00:12.813577,64,0.4775498299125834,,,0.2191232512393606,1,96,,,COMPLETE
