number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,37.14461741070841,2026-04-29 19:16:14.457023,2026-04-29 19:16:43.334635,0 days 00:00:28.877612,32,0.3073202692842319,0.24827947690630559,,0.0018259046042736328,2,96,224.0,,COMPLETE
1,36.36847396864616,2026-04-29 19:16:43.334635,2026-04-29 19:17:07.736174,0 days 00:00:24.401539,128,0.1403128514160038,0.20568549424195354,,0.0013502230660829334,2,32,192.0,,COMPLETE
2,37.523262920734645,2026-04-29 19:17:07.736174,2026-04-29 19:17:30.872374,0 days 00:00:23.136200,128,0.3181693780280426,0.1556744456544576,,0.001254031352528932,2,32,256.0,,COMPLETE
3,33.814819003342585,2026-04-29 19:17:30.872374,2026-04-29 19:17:59.932545,0 days 00:00:29.060171,32,0.16127756900508183,0.1561388035929328,,0.003704610858945436,2,128,128.0,,COMPLETE
4,36.31384843519028,2026-04-29 19:17:59.939373,2026-04-29 19:18:27.545433,0 days 00:00:27.606060,32,0.4120338016549503,0.4840476376187823,,0.007524503349276487,2,224,128.0,,COMPLETE
5,38.45019522615742,2026-04-29 19:18:27.545433,2026-04-29 19:19:06.396400,0 days 00:00:38.850967,64,0.45896345242913106,0.08208574333893565,0.3761413732494708,0.006446250882066363,3,96,224.0,160.0,COMPLETE
6,37.276116310159765,2026-04-29 19:19:06.396400,2026-04-29 19:19:42.726066,0 days 00:00:36.329666,16,0.08606431952290267,0.035415353388040305,,0.03237354897825887,2,64,32.0,,COMPLETE
7,81.78934664948085,2026-04-29 19:19:42.726066,2026-04-29 19:19:56.173195,0 days 00:00:13.447129,64,0.40813612327051546,0.12163501117088721,,0.2911025038400277,2,128,64.0,,COMPLETE
8,37.51967175985006,2026-04-29 19:19:56.173195,2026-04-29 19:20:25.968857,0 days 00:00:29.795662,128,0.3982002954815172,0.4037767479701821,,0.016905481412839228,2,128,32.0,,COMPLETE
9,66.53655280119501,2026-04-29 19:20:25.969794,2026-04-29 19:20:41.366579,0 days 00:00:15.396785,64,0.10983092396480382,0.3328134394995804,,0.17242591400719345,2,224,256.0,,COMPLETE
10,38.56709147327534,2026-04-29 19:20:41.367579,2026-04-29 19:21:05.090935,0 days 00:00:23.723356,32,0.007177361052340653,,,0.06095908743847022,1,192,,,COMPLETE
11,33.03489959665137,2026-04-29 19:21:05.091410,2026-04-29 19:21:27.534883,0 days 00:00:22.443473,32,0.19529050259868075,,,0.005248313839396985,1,256,,,COMPLETE
12,32.50035902869891,2026-04-29 19:21:27.534883,2026-04-29 19:21:59.217159,0 days 00:00:31.682276,32,0.21830611356545698,,,0.004556691245108928,1,256,,,COMPLETE
13,33.669073032825786,2026-04-29 19:21:59.217159,2026-04-29 19:22:22.350637,0 days 00:00:23.133478,32,0.22138636474776943,,,0.011348846229885311,1,256,,,COMPLETE
14,32.785125551101366,2026-04-29 19:22:22.350637,2026-04-29 19:23:10.556059,0 days 00:00:48.205422,16,0.24449226674645466,,,0.00349954117516424,1,256,,,COMPLETE
15,32.95126291122951,2026-04-29 19:23:10.557558,2026-04-29 19:23:45.031070,0 days 00:00:34.473512,16,0.2751148950804097,,,0.002972804234926652,1,192,,,COMPLETE
16,33.209114050209834,2026-04-29 19:23:45.031770,2026-04-29 19:24:25.654924,0 days 00:00:40.623154,16,0.24668932237510502,,,0.002462494387504495,1,192,,,COMPLETE
17,67.11979096193328,2026-04-29 19:24:25.654924,2026-04-29 19:24:55.515175,0 days 00:00:29.860251,16,0.33751026503577186,0.33345418355807166,0.010633643219547323,0.03168499099580264,3,256,96.0,32.0,COMPLETE
18,33.90972752251456,2026-04-29 19:24:55.515175,2026-04-29 19:25:38.895837,0 days 00:00:43.380662,16,0.010467230256085924,,,0.011595961435229939,1,224,,,COMPLETE
19,34.11457645160459,2026-04-29 19:25:38.896372,2026-04-29 19:26:15.561911,0 days 00:00:36.665539,16,0.19917547342885802,,,0.003669534887370972,1,192,,,COMPLETE
20,33.67688886424665,2026-04-29 19:26:15.561911,2026-04-29 19:26:35.361163,0 days 00:00:19.799252,32,0.06955631978207602,,,0.027272179340136003,1,160,,,COMPLETE
21,34.2856487454988,2026-04-29 19:26:35.370761,2026-04-29 19:27:13.262187,0 days 00:00:37.891426,16,0.2769331918937105,,,0.002638463531233997,1,224,,,COMPLETE
22,33.173534779061924,2026-04-29 19:27:13.263845,2026-04-29 19:27:53.927875,0 days 00:00:40.664030,16,0.26481711757726717,,,0.004090048406652031,1,256,,,COMPLETE
23,33.9735606036385,2026-04-29 19:27:53.928321,2026-04-29 19:28:31.560790,0 days 00:00:37.632469,16,0.35764696727740486,,,0.0021475222566369233,1,160,,,COMPLETE
24,33.30228215512594,2026-04-29 19:28:31.560790,2026-04-29 19:29:11.198864,0 days 00:00:39.638074,16,0.2836214977254034,,,0.0010081791959256781,1,192,,,COMPLETE
25,34.425524461837895,2026-04-29 19:29:11.198864,2026-04-29 19:29:47.105939,0 days 00:00:35.907075,16,0.23204232054750035,,,0.009508545653792532,1,224,,,COMPLETE
26,34.77683436185604,2026-04-29 19:29:47.106980,2026-04-29 19:30:04.067723,0 days 00:00:16.960743,128,0.16545837093155058,,,0.0056591618409927704,1,256,,,COMPLETE
27,35.56761279578834,2026-04-29 19:30:04.069657,2026-04-29 19:30:42.150743,0 days 00:00:38.081086,64,0.4943639667841005,0.010987971101138888,0.49199778549975853,0.0031611277803604014,3,160,160.0,256.0,COMPLETE
28,33.10936781188127,2026-04-29 19:30:42.150743,2026-04-29 19:31:34.645856,0 days 00:00:52.495113,16,0.3611623197343619,,,0.0018170002888990681,1,224,,,COMPLETE
29,33.439185474349635,2026-04-29 19:31:34.645856,2026-04-29 19:32:06.576030,0 days 00:00:31.930174,32,0.2977452035884713,,,0.0016728639380828593,1,256,,,COMPLETE
30,33.71043882570232,2026-04-29 19:32:06.576030,2026-04-29 19:32:32.180676,0 days 00:00:25.604646,32,0.20098295403016866,,,0.0174125056730161,1,192,,,COMPLETE
31,33.19745448684758,2026-04-29 19:32:32.180676,2026-04-29 19:32:59.615757,0 days 00:00:27.435081,32,0.19869724269290784,,,0.004616203783469858,1,256,,,COMPLETE
32,32.77100718899961,2026-04-29 19:32:59.615757,2026-04-29 19:33:29.491729,0 days 00:00:29.875972,32,0.1575551218617086,,,0.00504119355217463,1,256,,,COMPLETE
33,33.45290149690281,2026-04-29 19:33:29.491729,2026-04-29 19:33:51.652783,0 days 00:00:22.161054,32,0.13132614056612268,,,0.006901289493517138,1,224,,,COMPLETE
34,32.668980324238966,2026-04-29 19:33:51.652783,2026-04-29 19:34:08.797571,0 days 00:00:17.144788,128,0.16252316653069993,,,0.0015351626735990462,1,256,,,COMPLETE
35,33.70504341008838,2026-04-29 19:34:08.798571,2026-04-29 19:34:37.291006,0 days 00:00:28.492435,128,0.16213643963041136,0.45829996350163216,,0.0013815973974769637,2,256,96.0,,COMPLETE
36,39.172215578204046,2026-04-29 19:34:37.291372,2026-04-29 19:34:56.887774,0 days 00:00:19.596402,128,0.05259020410252202,,,0.001113507012463318,1,256,,,COMPLETE
37,34.20042332792303,2026-04-29 19:34:56.888760,2026-04-29 19:35:25.483135,0 days 00:00:28.594375,128,0.12907218027808456,0.32282314586377114,,0.0016627455959928204,2,64,160.0,,COMPLETE
38,34.783235820720634,2026-04-29 19:35:25.484155,2026-04-29 19:36:02.570879,0 days 00:00:37.086724,128,0.1637941657761115,0.4051794423568882,,0.00892059786303958,2,224,192.0,,COMPLETE
39,32.76544908865494,2026-04-29 19:36:02.571901,2026-04-29 19:36:24.754741,0 days 00:00:22.182840,32,0.1035214219156467,,,0.0022423823066988545,1,256,,,COMPLETE
40,33.8911406956834,2026-04-29 19:36:24.755739,2026-04-29 19:37:05.660709,0 days 00:00:40.904970,32,0.11145759173897495,0.2512465959012192,,0.001394585290791787,2,96,64.0,,COMPLETE
41,33.567052692653604,2026-04-29 19:37:05.660709,2026-04-29 19:37:29.486596,0 days 00:00:23.825887,32,0.08988550964748415,,,0.0021672613783365576,1,256,,,COMPLETE
42,33.88650612388651,2026-04-29 19:37:29.487608,2026-04-29 19:37:56.652088,0 days 00:00:27.164480,32,0.14812286235190628,,,0.0035506867917963394,1,224,,,COMPLETE
43,33.28500604797025,2026-04-29 19:37:56.652088,2026-04-29 19:38:28.380960,0 days 00:00:31.728872,32,0.1868684697005158,,,0.004318519816126959,1,256,,,COMPLETE
44,33.16467949174404,2026-04-29 19:38:28.380960,2026-04-29 19:38:50.371885,0 days 00:00:21.990925,64,0.22491928030539582,,,0.0024095568938622483,1,224,,,COMPLETE
45,33.392986132762346,2026-04-29 19:38:50.371885,2026-04-29 19:39:12.083924,0 days 00:00:21.712039,32,0.04663663873200976,,,0.005813415743389204,1,256,,,COMPLETE
46,34.62925300122764,2026-04-29 19:39:12.083924,2026-04-29 19:39:31.822889,0 days 00:00:19.738965,128,0.11007064003933886,,,0.014837257079090317,1,256,,,COMPLETE
47,41.33757650301551,2026-04-29 19:39:31.823352,2026-04-29 19:40:07.112485,0 days 00:00:35.289133,32,0.25190616680438094,0.06713121553782311,,0.054777196214447724,2,32,192.0,,COMPLETE
48,33.116654382839045,2026-04-29 19:40:07.112485,2026-04-29 19:40:32.047741,0 days 00:00:24.935256,32,0.17999169414053762,,,0.007440848036805961,1,224,,,COMPLETE
49,32.857630812189846,2026-04-29 19:40:32.048500,2026-04-29 19:40:52.896541,0 days 00:00:20.848041,64,0.13890080269750707,,,0.003293608340968153,1,256,,,COMPLETE
50,34.91936744690305,2026-04-29 19:40:52.896541,2026-04-29 19:41:22.732299,0 days 00:00:29.835758,128,0.3159827509925719,0.28217297811488806,0.09024773819696177,0.002048118835347251,3,256,96.0,32.0,COMPLETE
51,33.443821493812244,2026-04-29 19:41:22.732299,2026-04-29 19:41:40.285026,0 days 00:00:17.552727,64,0.14674541946848396,,,0.003236179975208782,1,256,,,COMPLETE
52,32.43688773691164,2026-04-29 19:41:40.285606,2026-04-29 19:42:04.467274,0 days 00:00:24.181668,64,0.21688350714856502,,,0.002631511418238186,1,256,,,COMPLETE
53,32.80856943875755,2026-04-29 19:42:04.468273,2026-04-29 19:42:29.239971,0 days 00:00:24.771698,64,0.2203195484371019,,,0.0027665081863483035,1,224,,,COMPLETE
54,33.290489477841284,2026-04-29 19:42:29.240542,2026-04-29 19:42:48.513937,0 days 00:00:19.273395,64,0.253450870479851,,,0.0016138217363912267,1,224,,,COMPLETE
55,33.14275832239999,2026-04-29 19:42:48.513937,2026-04-29 19:43:17.347560,0 days 00:00:28.833623,32,0.20847831256909471,,,0.005012963997585226,1,256,,,COMPLETE
56,32.749952697691974,2026-04-29 19:43:17.347560,2026-04-29 19:43:44.290721,0 days 00:00:26.943161,64,0.23923696526869614,,,0.0012766742967884883,1,256,,,COMPLETE
57,32.43346188292613,2026-04-29 19:43:44.290721,2026-04-29 19:44:09.601696,0 days 00:00:25.310975,64,0.1837660070871421,,,0.0013086833864333148,1,224,,,COMPLETE
58,35.48043759473203,2026-04-29 19:44:09.602696,2026-04-29 19:44:26.156235,0 days 00:00:16.553539,64,0.08709222959882848,,,0.001340722037254372,1,224,,,COMPLETE
59,34.32191513703128,2026-04-29 19:44:26.157241,2026-04-29 19:44:49.743803,0 days 00:00:23.586562,64,0.17634774243839424,0.3949045875394507,,0.0011568829164589575,2,192,64.0,,COMPLETE
60,32.68935396099857,2026-04-29 19:44:49.743803,2026-04-29 19:45:11.506455,0 days 00:00:21.762652,64,0.23535927097774068,,,0.0010217976171931111,1,224,,,COMPLETE
61,34.30146184262368,2026-04-29 19:45:11.506877,2026-04-29 19:45:32.385880,0 days 00:00:20.879003,64,0.2323850198704591,,,0.001036248205832923,1,224,,,COMPLETE
62,33.396984790204534,2026-04-29 19:45:32.385880,2026-04-29 19:45:49.893417,0 days 00:00:17.507537,64,0.2128235549597292,,,0.0014578824368176387,1,256,,,COMPLETE
63,33.64707836481218,2026-04-29 19:45:49.893417,2026-04-29 19:46:12.424616,0 days 00:00:22.531199,64,0.29178226118792916,,,0.0019496964444733452,1,224,,,COMPLETE
64,32.96235997659197,2026-04-29 19:46:12.424616,2026-04-29 19:46:33.373582,0 days 00:00:20.948966,64,0.2573235526574564,,,0.0012334684027244438,1,256,,,COMPLETE
65,34.11662024954338,2026-04-29 19:46:33.373582,2026-04-29 19:46:50.344392,0 days 00:00:16.970810,64,0.23928808206198665,,,0.00245021806831584,1,192,,,COMPLETE
66,33.18771295425934,2026-04-29 19:46:50.344392,2026-04-29 19:47:11.959358,0 days 00:00:21.614966,64,0.1832643176936358,,,0.001851212800627311,1,128,,,COMPLETE
67,51.4156490547777,2026-04-29 19:47:11.959358,2026-04-29 19:47:24.411159,0 days 00:00:12.451801,64,0.2768834245733959,,,0.15969117638788932,1,256,,,COMPLETE
68,32.958990710307354,2026-04-29 19:47:24.412189,2026-04-29 19:47:46.660830,0 days 00:00:22.248641,64,0.2670512772541863,,,0.0010258204196251473,1,160,,,COMPLETE
69,32.89158452752342,2026-04-29 19:47:46.660830,2026-04-29 19:48:02.130884,0 days 00:00:15.470054,64,0.12212636278168856,,,0.0015996639774010744,1,256,,,COMPLETE
70,33.326208663724806,2026-04-29 19:48:02.130884,2026-04-29 19:48:19.094155,0 days 00:00:16.963271,128,0.21236275409084754,,,0.001242916907504346,1,224,,,COMPLETE
71,33.51843978308766,2026-04-29 19:48:19.094155,2026-04-29 19:48:36.961842,0 days 00:00:17.867687,32,0.15961902544969708,,,0.002835678475431891,1,256,,,COMPLETE
72,33.669842760976266,2026-04-29 19:48:36.961842,2026-04-29 19:48:59.732114,0 days 00:00:22.770272,32,0.1965377710233005,,,0.0022032984261141494,1,256,,,COMPLETE
73,33.17189426292413,2026-04-29 19:48:59.732114,2026-04-29 19:49:18.322307,0 days 00:00:18.590193,64,0.2373727321471603,,,0.004030481138015404,1,256,,,COMPLETE
74,33.5503433189592,2026-04-29 19:49:18.323442,2026-04-29 19:49:37.470056,0 days 00:00:19.146614,32,0.15656507519446763,,,0.0015426658508105933,1,256,,,COMPLETE
75,37.52786678841335,2026-04-29 19:49:37.470056,2026-04-29 19:49:53.060777,0 days 00:00:15.590721,128,0.17295061489579217,,,0.0018748308168086134,1,224,,,COMPLETE
76,33.21298743016965,2026-04-29 19:49:53.060777,2026-04-29 19:50:17.886486,0 days 00:00:24.825709,64,0.09976149671416618,,,0.0012853832972925788,1,256,,,COMPLETE
77,33.65224900866,2026-04-29 19:50:17.886486,2026-04-29 19:50:40.460030,0 days 00:00:22.573544,32,0.19351282369229167,,,0.002394055557531692,1,224,,,COMPLETE
78,33.240566764783196,2026-04-29 19:50:40.460030,2026-04-29 19:51:00.614454,0 days 00:00:20.154424,64,0.07049607117741963,,,0.002928996567940286,1,256,,,COMPLETE
79,33.54051961848264,2026-04-29 19:51:00.614454,2026-04-29 19:51:32.941551,0 days 00:00:32.327097,32,0.22226393487532908,,,0.0017638008396044969,1,192,,,COMPLETE
80,32.91228958997992,2026-04-29 19:51:32.943065,2026-04-29 19:51:53.883525,0 days 00:00:20.940460,128,0.3311264593722014,,,0.001168840440875383,1,256,,,COMPLETE
81,33.11543639322124,2026-04-29 19:51:53.883525,2026-04-29 19:52:29.531388,0 days 00:00:35.647863,16,0.2474195906699554,,,0.004002743005805911,1,256,,,COMPLETE
82,33.79926153149222,2026-04-29 19:52:29.531388,2026-04-29 19:53:02.607634,0 days 00:00:33.076246,16,0.2646719655989175,,,0.0062564954344527576,1,256,,,COMPLETE
83,33.669414733516035,2026-04-29 19:53:02.607634,2026-04-29 19:53:40.100690,0 days 00:00:37.493056,16,0.20629007845601158,,,0.005047817784998466,1,256,,,COMPLETE
84,33.287451524296834,2026-04-29 19:53:40.103519,2026-04-29 19:54:15.409344,0 days 00:00:35.305825,16,0.12143735066603054,,,0.0022488512710283014,1,224,,,COMPLETE
85,33.130705258845424,2026-04-29 19:54:15.409344,2026-04-29 19:54:34.810727,0 days 00:00:19.401383,32,0.025030511370771585,,,0.00913872366605888,1,256,,,COMPLETE
86,34.22180769965771,2026-04-29 19:54:34.810727,2026-04-29 19:54:51.522960,0 days 00:00:16.712233,64,0.3033480319187104,,,0.003708378172545365,1,256,,,COMPLETE
87,36.5043552843306,2026-04-29 19:54:51.522960,2026-04-29 19:55:22.794548,0 days 00:00:31.271588,32,0.18837986053564346,0.20843332862686942,0.2300920830428405,0.0026480892346798235,3,96,224.0,256.0,COMPLETE
88,34.54363836109481,2026-04-29 19:55:22.794548,2026-04-29 19:55:42.860649,0 days 00:00:20.066101,128,0.2413923629792775,,,0.0014451583708056806,1,224,,,COMPLETE
89,33.33181997797719,2026-04-29 19:55:42.860649,2026-04-29 19:56:00.280935,0 days 00:00:17.420286,64,0.1442380264892585,,,0.004663133445727615,1,224,,,COMPLETE
90,32.8581053222861,2026-04-29 19:56:00.280935,2026-04-29 19:56:46.707162,0 days 00:00:46.426227,16,0.22354709007784032,,,0.0032786185624870423,1,256,,,COMPLETE
91,33.755220895136034,2026-04-29 19:56:46.707162,2026-04-29 19:57:05.794965,0 days 00:00:19.087803,64,0.21465440551722428,,,0.0019756401082671672,1,224,,,COMPLETE
92,33.02505664228782,2026-04-29 19:57:05.794965,2026-04-29 19:57:24.335806,0 days 00:00:18.540841,64,0.22849495955815993,,,0.002629788479724826,1,224,,,COMPLETE
93,33.18228553633484,2026-04-29 19:57:24.335806,2026-04-29 19:57:45.620647,0 days 00:00:21.284841,64,0.1777116711404779,,,0.022600172057817555,1,256,,,COMPLETE
