number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,792.4919327072225,2026-04-29 14:39:28.725548,2026-04-29 14:40:27.139206,0 days 00:00:58.413658,32,0.2918050084156287,0.28079365470129175,,0.24336053513207487,2,160,160.0,,COMPLETE
1,31.544053621742535,2026-04-29 14:40:27.140642,2026-04-29 14:40:53.954177,0 days 00:00:26.813535,128,0.2348279373327668,,,0.0019778632690104127,1,96,,,COMPLETE
2,36.95954340582197,2026-04-29 14:40:53.954177,2026-04-29 14:41:50.556123,0 days 00:00:56.601946,32,0.28583198103681756,0.228999386550512,0.2732039215583009,0.029436903166288074,3,160,256.0,32.0,COMPLETE
3,36.32961823417124,2026-04-29 14:41:50.556123,2026-04-29 14:42:28.379557,0 days 00:00:37.823434,64,0.48626019285140243,0.0722096340706263,,0.022208509258648233,2,160,256.0,,COMPLETE
4,32.55235247603278,2026-04-29 14:42:28.379557,2026-04-29 14:43:22.446472,0 days 00:00:54.066915,32,0.20467841791732672,0.1706755368850162,0.4103192591018884,0.001871249653849999,3,224,192.0,192.0,COMPLETE
5,36.94890074853048,2026-04-29 14:43:22.446472,2026-04-29 14:43:57.693539,0 days 00:00:35.247067,32,0.3610050172000276,0.4645339367196741,,0.02390290073471364,2,96,96.0,,COMPLETE
6,34.24415010908231,2026-04-29 14:43:57.693539,2026-04-29 14:44:34.104458,0 days 00:00:36.410919,64,0.22355234931521334,0.08097344962818354,,0.10327865751876088,2,160,64.0,,COMPLETE
7,32.52266303966597,2026-04-29 14:44:34.108675,2026-04-29 14:45:12.260729,0 days 00:00:38.152054,64,0.11353410585710833,0.46790054328950653,0.1671006274470686,0.02294741757740528,3,96,192.0,32.0,COMPLETE
8,33.1409364264631,2026-04-29 14:45:12.260729,2026-04-29 14:46:26.418601,0 days 00:01:14.157872,16,0.20100219538026987,0.2650318836607171,,0.012378115132895254,2,32,96.0,,COMPLETE
9,2262.5526789938376,2026-04-29 14:46:26.422272,2026-04-29 14:47:31.875128,0 days 00:01:05.452856,16,0.25760189371216613,0.31224838766918295,0.019816772917474634,0.05712964156599794,3,256,160.0,160.0,COMPLETE
10,32.06396894835734,2026-04-29 14:47:31.875128,2026-04-29 14:47:53.312900,0 days 00:00:21.437772,128,0.014979325606015337,,,0.0010119945937125702,1,32,,,COMPLETE
11,31.60408291221812,2026-04-29 14:47:53.314631,2026-04-29 14:48:16.306331,0 days 00:00:22.991700,128,0.002332553631904488,,,0.0014845717031022542,1,32,,,COMPLETE
12,32.04141295510087,2026-04-29 14:48:16.307331,2026-04-29 14:48:36.351173,0 days 00:00:20.043842,128,0.005620481800464259,,,0.0048074358333208824,1,96,,,COMPLETE
13,31.663274872341514,2026-04-29 14:48:36.352188,2026-04-29 14:48:55.014256,0 days 00:00:18.662068,128,0.11844511118799697,,,0.003759436903623152,1,64,,,COMPLETE
14,31.533963627603725,2026-04-29 14:48:55.021163,2026-04-29 14:49:14.695174,0 days 00:00:19.674011,128,0.4266570804875264,,,0.005081125227538167,1,64,,,COMPLETE
15,31.71403022816717,2026-04-29 14:49:14.695174,2026-04-29 14:49:30.476113,0 days 00:00:15.780939,128,0.43388555739857315,,,0.005221136949638996,1,128,,,COMPLETE
16,31.764589982292204,2026-04-29 14:49:30.477257,2026-04-29 14:49:49.264842,0 days 00:00:18.787585,128,0.361997114010753,,,0.0071413957306490795,1,64,,,COMPLETE
17,31.666797525755992,2026-04-29 14:49:49.264842,2026-04-29 14:50:10.884424,0 days 00:00:21.619582,128,0.3570735358253381,,,0.0025421026649244186,1,128,,,COMPLETE
18,32.11501175932261,2026-04-29 14:50:10.884880,2026-04-29 14:50:26.709567,0 days 00:00:15.824687,128,0.495447078805077,,,0.011172527142587653,1,64,,,COMPLETE
