number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,33.77556029515053,2026-04-29 11:53:32.817476,2026-04-29 11:53:56.846458,0 days 00:00:24.028982,64,0.4228735673010368,,,0.017025346845142238,1,160,,,COMPLETE
1,34.55711836177589,2026-04-29 11:53:56.846458,2026-04-29 11:54:34.371211,0 days 00:00:37.524753,16,0.3208894731382364,,,0.015096315064491656,1,96,,,COMPLETE
2,61.16192919452825,2026-04-29 11:54:34.371211,2026-04-29 11:54:59.269827,0 days 00:00:24.898616,128,0.47412075285735056,0.042680788654950896,0.2856969510498591,0.08574792609003593,3,128,64.0,256.0,COMPLETE
3,32.198170627841066,2026-04-29 11:54:59.269827,2026-04-29 11:55:32.712500,0 days 00:00:33.442673,64,0.06880234978160282,0.44870457249213436,,0.0023656990010085263,2,128,160.0,,COMPLETE
4,36.535734728251995,2026-04-29 11:55:32.712500,2026-04-29 11:56:24.273054,0 days 00:00:51.560554,16,0.3024467424480968,,,0.020183955845083812,1,256,,,COMPLETE
5,67.3551739339978,2026-04-29 11:56:24.273054,2026-04-29 11:56:57.854679,0 days 00:00:33.581625,64,0.2528585402183422,0.41529298461410447,0.035973952356842365,0.26996182566537674,3,128,64.0,32.0,COMPLETE
6,36.70411292822913,2026-04-29 11:56:57.855676,2026-04-29 11:58:02.490442,0 days 00:01:04.634766,16,0.0964757187650418,,,0.03759355973026731,1,256,,,COMPLETE
7,63.034251583843385,2026-04-29 11:58:02.491432,2026-04-29 11:58:30.328588,0 days 00:00:27.837156,64,0.0951657773365579,0.06889189156025288,,0.10143954482844063,2,192,32.0,,COMPLETE
8,36.9632140246988,2026-04-29 11:58:30.328588,2026-04-29 11:59:02.641809,0 days 00:00:32.313221,64,0.2593069434248836,0.42370556574859064,0.3495108826525987,0.001013750763434879,3,128,96.0,192.0,COMPLETE
9,33.096742937836424,2026-04-29 11:59:02.641809,2026-04-29 11:59:47.783903,0 days 00:00:45.142094,32,0.08452381009519111,0.3691289093147722,0.2495649985400069,0.0013491801205801456,3,32,128.0,96.0,COMPLETE
10,32.61403893359809,2026-04-29 11:59:47.783903,2026-04-29 12:00:11.040667,0 days 00:00:23.256764,128,0.001520481057930484,0.2426035634864124,,0.0037000325521461134,2,32,224.0,,COMPLETE
11,32.63684688949628,2026-04-29 12:00:11.041736,2026-04-29 12:00:34.278542,0 days 00:00:23.236806,128,0.005219487696596525,0.20700445073641927,,0.0030217231724844105,2,32,224.0,,COMPLETE
12,32.34242958529782,2026-04-29 12:00:34.279535,2026-04-29 12:00:52.810726,0 days 00:00:18.531191,128,0.004919713102647582,0.25488768467322415,,0.0042627326751092836,2,64,224.0,,COMPLETE
13,33.70691701212865,2026-04-29 12:00:52.810726,2026-04-29 12:01:29.733972,0 days 00:00:36.923246,32,0.16490283892374374,0.4998785328972903,,0.005072223852046231,2,64,192.0,,COMPLETE
14,32.018513429229,2026-04-29 12:01:29.733972,2026-04-29 12:01:47.851959,0 days 00:00:18.117987,128,0.15980949794338078,0.30984840424055604,,0.007323939545275701,2,192,160.0,,COMPLETE
15,32.36741982612296,2026-04-29 12:01:47.851959,2026-04-29 12:02:09.145567,0 days 00:00:21.293608,64,0.17318698067954494,0.3343597343933268,,0.008371204631653084,2,192,160.0,,COMPLETE
16,33.101004900186346,2026-04-29 12:02:09.145567,2026-04-29 12:02:31.524495,0 days 00:00:22.378928,128,0.17118177364513226,0.4870986629159427,,0.0019488308334875987,2,192,160.0,,COMPLETE
17,33.78892377324107,2026-04-29 12:02:31.525496,2026-04-29 12:03:04.234783,0 days 00:00:32.709287,32,0.1330696190942558,0.15787526342472244,,0.00750183193828737,2,224,128.0,,COMPLETE
18,33.25287738099814,2026-04-29 12:03:04.234783,2026-04-29 12:03:31.495288,0 days 00:00:27.260505,128,0.22083382472512264,0.3181934828763285,0.4782825408196374,0.002472330132924932,3,160,256.0,128.0,COMPLETE
19,32.23818038448136,2026-04-29 12:03:31.495288,2026-04-29 12:03:52.927619,0 days 00:00:21.432331,64,0.05371067308303523,,,0.008782661303016618,1,224,,,COMPLETE
20,42.90785141554035,2026-04-29 12:03:52.927619,2026-04-29 12:04:13.712418,0 days 00:00:20.784799,64,0.3513499160249179,0.4132919454377633,,0.030804178677803697,2,96,192.0,,COMPLETE
21,31.922268283262486,2026-04-29 12:04:13.717288,2026-04-29 12:04:35.786180,0 days 00:00:22.068892,64,0.0756899850594251,,,0.009520428062258345,1,224,,,COMPLETE
