number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,61.01683690262828,2026-04-29 21:17:49.245420,2026-04-29 21:23:35.623029,0 days 00:05:46.377609,16,0.23032150912947685,0.11349708356659888,,0.1291879929051259,2,192,160.0,,COMPLETE
1,54.478548554846796,2026-04-29 21:23:35.647458,2026-04-29 21:26:00.139085,0 days 00:02:24.491627,32,0.48977642712371944,0.1899974260738927,0.3864603006622117,0.05460421723993944,3,256,64.0,32.0,COMPLETE
2,40.63692822891293,2026-04-29 21:26:00.139085,2026-04-29 21:26:54.252006,0 days 00:00:54.112921,32,0.06952395830045816,,,0.11661620205991588,1,192,,,COMPLETE
3,34.92265425879569,2026-04-29 21:26:54.252006,2026-04-29 21:28:14.096084,0 days 00:01:19.844078,32,0.049763351892414376,,,0.0017618433123685279,1,160,,,COMPLETE
4,35.84114431405695,2026-04-29 21:28:14.096084,2026-04-29 21:31:29.052074,0 days 00:03:14.955990,32,0.16214103029335364,0.4849651038111257,0.13069280329598498,0.0017775050820594564,3,224,224.0,128.0,COMPLETE
5,38.279219885261455,2026-04-29 21:31:29.052074,2026-04-29 21:33:05.550931,0 days 00:01:36.498857,64,0.06876494151323626,0.29612532880162423,,0.035287220524636204,2,128,256.0,,COMPLETE
6,36.13676582530887,2026-04-29 21:33:05.550931,2026-04-29 21:33:34.021967,0 days 00:00:28.471036,128,0.19253266340306247,,,0.014800593461288456,1,64,,,COMPLETE
7,36.69320679079502,2026-04-29 21:33:34.024183,2026-04-29 21:34:55.060712,0 days 00:01:21.036529,128,0.48650858485772114,0.1561570700893754,0.10661754072619867,0.005055579988409379,3,128,192.0,32.0,COMPLETE
8,38.47772489086488,2026-04-29 21:34:55.060712,2026-04-29 21:36:16.717407,0 days 00:01:21.656695,16,0.43356150271757815,,,0.03706998738908673,1,96,,,COMPLETE
9,40.52728025996155,2026-04-29 21:36:16.717407,2026-04-29 21:36:51.354454,0 days 00:00:34.637047,32,0.3411189037704761,,,0.08857215516977458,1,96,,,COMPLETE
10,36.535374891436064,2026-04-29 21:36:51.354935,2026-04-29 21:38:02.398599,0 days 00:01:11.043664,64,0.0124120120332602,0.3941335087362835,,0.001220279372454934,2,32,32.0,,COMPLETE
11,35.3709429886187,2026-04-29 21:38:02.401268,2026-04-29 21:41:23.554547,0 days 00:03:21.153279,32,0.14338617681415017,0.48622140379925755,0.017421731976580007,0.0010315055841465793,3,224,256.0,224.0,COMPLETE
12,36.360748048834644,2026-04-29 21:41:23.556737,2026-04-29 21:42:51.743727,0 days 00:01:28.186990,32,0.1268273080413938,0.4916869189439684,,0.0043946586602709005,2,192,96.0,,COMPLETE
13,36.605254255390136,2026-04-29 21:42:51.743727,2026-04-29 21:44:03.557797,0 days 00:01:11.814070,32,0.3160331660546556,0.031238042312163566,0.00738685343574828,0.0035991780241410557,3,256,256.0,256.0,COMPLETE
14,36.87922608803656,2026-04-29 21:44:03.557797,2026-04-29 21:45:20.144936,0 days 00:01:16.587139,32,0.09725406754245704,0.3222650980832287,,0.010920740809951188,2,160,160.0,,COMPLETE
15,35.85029382019004,2026-04-29 21:45:20.144936,2026-04-29 21:47:20.278170,0 days 00:02:00.133234,32,0.008492861743965796,0.37569032336042657,0.31279169315853894,0.002023373530295958,3,224,128.0,256.0,COMPLETE
16,35.71056224539805,2026-04-29 21:47:20.278170,2026-04-29 21:48:02.455482,0 days 00:00:42.177312,64,0.2842905845047258,,,0.00112705168115102,1,160,,,COMPLETE
17,36.13457658464334,2026-04-29 21:48:02.455482,2026-04-29 21:48:42.215570,0 days 00:00:39.760088,128,0.15704417099010926,0.4054318794504781,,0.007852455369547528,2,224,224.0,,COMPLETE
18,48.55538735835772,2026-04-29 21:48:42.217052,2026-04-29 21:50:22.460445,0 days 00:01:40.243393,16,0.243521201033437,,,0.2932666976344277,1,160,,,COMPLETE
19,35.64635401338356,2026-04-29 21:50:22.465687,2026-04-29 21:51:42.307209,0 days 00:01:19.841522,32,0.07209058150344935,0.23260418439260555,0.1963810127251472,0.0020862140118939527,3,192,192.0,160.0,COMPLETE
20,35.784194325025865,2026-04-29 21:51:42.307209,2026-04-29 21:53:01.605703,0 days 00:01:19.298494,32,0.18818814841545714,0.023294292143862166,,0.0029740830492269743,2,256,96.0,,COMPLETE
