number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,58.07858004916361,2026-04-29 20:20:47.489365,2026-04-29 20:21:24.381144,0 days 00:00:36.891779,64,0.49086899183149424,0.09738775262165422,,0.0010998037746739267,2,64,160.0,,COMPLETE
1,66.58596361474365,2026-04-29 20:21:24.382288,2026-04-29 20:21:47.679847,0 days 00:00:23.297559,64,0.2842519761743332,0.3213083948835583,0.061691697109749255,0.1659734669412706,3,160,160.0,256.0,COMPLETE
2,66.497312173001,2026-04-29 20:21:47.680903,2026-04-29 20:22:24.940905,0 days 00:00:37.260002,16,0.3795162972503375,0.024176500577001103,0.4290270852330858,0.21787756676299755,3,160,32.0,128.0,COMPLETE
3,39.997524194437226,2026-04-29 20:22:24.940905,2026-04-29 20:23:19.243148,0 days 00:00:54.302243,32,0.0910298373767317,0.48141837191348735,0.007505798186398294,0.0030469962302876966,3,64,192.0,96.0,COMPLETE
4,63.971474550859895,2026-04-29 20:23:19.243148,2026-04-29 20:23:33.268004,0 days 00:00:14.024856,128,0.06693069711581878,0.04905670997622985,0.29393223823492876,0.10827705831075772,3,128,96.0,256.0,COMPLETE
5,45.05676687408544,2026-04-29 20:23:33.268004,2026-04-29 20:24:26.865808,0 days 00:00:53.597804,16,0.19785844408701014,0.09226245334103056,0.40527647589701055,0.015099789585152486,3,64,32.0,256.0,COMPLETE
6,45.26825014646924,2026-04-29 20:24:26.866318,2026-04-29 20:24:57.215639,0 days 00:00:30.349321,128,0.36163874726347534,0.27311484124316543,,0.03441450509449831,2,192,96.0,,COMPLETE
7,50.78729740326404,2026-04-29 20:24:57.219470,2026-04-29 20:25:24.131076,0 days 00:00:26.911606,128,0.376574467420962,,,0.007052644491782629,1,64,,,COMPLETE
8,41.86025738755414,2026-04-29 20:25:24.131076,2026-04-29 20:25:50.782760,0 days 00:00:26.651684,64,0.35074343585889006,,,0.018255907549605332,1,32,,,COMPLETE
9,66.52296374927855,2026-04-29 20:25:50.783758,2026-04-29 20:26:05.380046,0 days 00:00:14.596288,128,0.41026328928906564,0.49027465186748936,0.22955168633524503,0.12683463449689072,3,192,160.0,32.0,COMPLETE
10,40.383450857434255,2026-04-29 20:26:05.381000,2026-04-29 20:27:16.499447,0 days 00:01:11.118447,32,0.010542986879463562,0.4922859621971448,,0.0015506763440448236,2,256,256.0,,COMPLETE
11,40.871287472126575,2026-04-29 20:27:16.500351,2026-04-29 20:28:29.719679,0 days 00:01:13.219328,32,0.028945228398567894,0.4987932753082572,,0.001274772183059497,2,256,256.0,,COMPLETE
12,44.82452102245636,2026-04-29 20:28:29.719679,2026-04-29 20:29:23.754564,0 days 00:00:54.034885,32,0.12700099245654312,0.39670276967537266,,0.0034202887409459336,2,256,256.0,,COMPLETE
13,35.28208920079302,2026-04-29 20:29:23.754564,2026-04-29 20:29:53.304766,0 days 00:00:29.550202,32,0.0067952275657074904,,,0.0030215229357888674,1,96,,,COMPLETE
14,40.86022529731062,2026-04-29 20:29:53.304766,2026-04-29 20:30:31.582703,0 days 00:00:38.277937,32,0.12405755909091315,,,0.003704294029852986,1,96,,,COMPLETE
15,43.80044871653698,2026-04-29 20:30:31.582703,2026-04-29 20:30:52.072068,0 days 00:00:20.489365,32,0.10382623785493336,,,0.0032638696509417267,1,96,,,COMPLETE
16,42.9197669718241,2026-04-29 20:30:52.072068,2026-04-29 20:31:29.020974,0 days 00:00:36.948906,32,0.19684682769917344,,,0.008539287742022285,1,32,,,COMPLETE
17,40.66577101180323,2026-04-29 20:31:29.020974,2026-04-29 20:32:39.009849,0 days 00:01:09.988875,32,0.16881147920751652,0.19188513537273527,,0.0023684250043330534,2,96,192.0,,COMPLETE
18,40.79085762092002,2026-04-29 20:32:39.009849,2026-04-29 20:33:27.791082,0 days 00:00:48.781233,32,0.06456945399897387,0.3962354726618453,,0.0070169198490998095,2,128,224.0,,COMPLETE
19,47.17022927334379,2026-04-29 20:33:27.791082,2026-04-29 20:34:27.581659,0 days 00:00:59.790577,16,0.25637772520795765,0.21123099640747822,0.008038326867046421,0.02808176773739892,3,32,96.0,96.0,COMPLETE
20,41.03552233166162,2026-04-29 20:34:27.581659,2026-04-29 20:34:51.438157,0 days 00:00:23.856498,32,0.006723562702385763,,,0.0632282675948711,1,96,,,COMPLETE
