number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,66.92339276360279,2026-05-07 20:09:45.316590,2026-05-07 20:10:21.514604,0 days 00:00:36.198014,16,0.38187509904402556,0.38004944670720364,0.09984216603073387,0.07553666976685884,3,32,96.0,224.0,COMPLETE
1,32.74216384915475,2026-05-07 20:10:21.517602,2026-05-07 20:10:41.901242,0 days 00:00:20.383640,32,0.136686770229975,0.16028587139250172,,0.001832035951021034,2,64,192.0,,COMPLETE
2,32.581884796866674,2026-05-07 20:10:41.901242,2026-05-07 20:11:12.470096,0 days 00:00:30.568854,16,0.24876499519607026,,,0.007193115633090091,1,32,,,COMPLETE
3,38.75894891833627,2026-05-07 20:11:12.471029,2026-05-07 20:11:31.834853,0 days 00:00:19.363824,32,0.3422162020378886,0.4474351412414218,0.17356291406286578,0.004776228547550829,3,160,32.0,192.0,COMPLETE
4,33.489533462133764,2026-05-07 20:11:31.834853,2026-05-07 20:11:46.260732,0 days 00:00:14.425879,32,0.15369854914288994,,,0.0054811312264547146,1,256,,,COMPLETE
5,39.342690717444256,2026-05-07 20:11:46.260732,2026-05-07 20:11:57.640953,0 days 00:00:11.380221,128,0.4785775803034682,0.20034992424357184,0.11242542832758057,0.0062632620215455495,3,32,256.0,192.0,COMPLETE
6,36.92562930855104,2026-05-07 20:11:57.642347,2026-05-07 20:12:10.183604,0 days 00:00:12.541257,64,0.10238154597048293,,,0.03169702448733326,1,128,,,COMPLETE
7,34.013929050136596,2026-05-07 20:12:10.183604,2026-05-07 20:12:18.653891,0 days 00:00:08.470287,128,0.026504320202197507,,,0.00960281935086229,1,192,,,COMPLETE
8,33.15912424729483,2026-05-07 20:12:18.654493,2026-05-07 20:12:27.993728,0 days 00:00:09.339235,128,0.09862999815950291,,,0.025778068297585357,1,256,,,COMPLETE
9,34.52130735327476,2026-05-07 20:12:27.993728,2026-05-07 20:12:37.907922,0 days 00:00:09.914194,128,0.20193982855904236,,,0.019991974227330258,1,224,,,COMPLETE
10,32.9107640558699,2026-05-07 20:12:37.907922,2026-05-07 20:13:07.982169,0 days 00:00:30.074247,16,0.27736152914029927,0.02731715510930513,,0.0014343475677878366,2,96,128.0,,COMPLETE
11,33.631032079718956,2026-05-07 20:13:07.983173,2026-05-07 20:13:25.325706,0 days 00:00:17.342533,32,0.2570566757972178,0.14310067569912,,0.0013365411305268319,2,64,224.0,,COMPLETE
12,33.657262890350886,2026-05-07 20:13:25.325706,2026-05-07 20:14:01.146153,0 days 00:00:35.820447,16,0.008388612167350845,0.30355134543708684,,0.002740559420994596,2,64,192.0,,COMPLETE
13,33.72093866426016,2026-05-07 20:14:01.147150,2026-05-07 20:14:15.277544,0 days 00:00:14.130394,64,0.17589335226571035,0.05550272341138984,,0.0029100635715456616,2,96,160.0,,COMPLETE
14,37.132352431972244,2026-05-07 20:14:15.278545,2026-05-07 20:14:32.174614,0 days 00:00:16.896069,32,0.3531908062748621,0.28383132621764784,,0.0024581659773209494,2,32,64.0,,COMPLETE
15,34.66796872074791,2026-05-07 20:14:32.174614,2026-05-07 20:15:17.187733,0 days 00:00:45.013119,16,0.08873490313639582,0.12319336100729436,,0.011480129332826881,2,96,192.0,,COMPLETE
16,47.22405175734624,2026-05-07 20:15:17.188729,2026-05-07 20:15:35.268905,0 days 00:00:18.080176,32,0.22613031707039505,,,0.09424575439888738,1,64,,,COMPLETE
17,33.599490332700725,2026-05-07 20:15:35.268905,2026-05-07 20:16:10.895995,0 days 00:00:35.627090,16,0.29270717103341554,0.21021917926415173,0.4889764040663974,0.0010094699399212901,3,128,256.0,32.0,COMPLETE
18,33.83471790369191,2026-05-07 20:16:10.895995,2026-05-07 20:16:19.744653,0 days 00:00:08.848658,64,0.43517955815977094,,,0.012205728247775573,1,64,,,COMPLETE
19,33.91231035517126,2026-05-07 20:16:19.744653,2026-05-07 20:16:44.209827,0 days 00:00:24.465174,32,0.14177272262068646,0.11472547850527531,,0.002038563986287562,2,160,128.0,,COMPLETE
20,62.06551246099601,2026-05-07 20:16:44.210823,2026-05-07 20:17:08.636255,0 days 00:00:24.425432,16,0.30692734204630895,0.3573915453645972,,0.050118103809641754,2,32,192.0,,COMPLETE
21,32.732675411928156,2026-05-07 20:17:08.636255,2026-05-07 20:17:48.659253,0 days 00:00:40.022998,16,0.2377363480557937,0.00029586363514175207,,0.0015594706956444724,2,96,128.0,,COMPLETE
22,32.08553253576174,2026-05-07 20:17:48.659253,2026-05-07 20:18:20.352596,0 days 00:00:31.693343,16,0.2245136718282714,0.001750432023720716,,0.003922103286555234,2,96,160.0,,COMPLETE
23,33.08145966399573,2026-05-07 20:18:20.355596,2026-05-07 20:18:54.563843,0 days 00:00:34.208247,16,0.2237715338249886,0.006512522749172296,0.3937845603446818,0.004102667652487311,3,128,96.0,64.0,COMPLETE
24,33.51725970274526,2026-05-07 20:18:54.563843,2026-05-07 20:19:30.971719,0 days 00:00:36.407876,16,0.2422573123699842,,,0.007303908205605023,1,96,,,COMPLETE
25,32.540950576819725,2026-05-07 20:19:30.972503,2026-05-07 20:20:05.852624,0 days 00:00:34.880121,16,0.3208534650941669,0.06961333227262705,,0.0033970120206270895,2,160,160.0,,COMPLETE
26,34.05648961158694,2026-05-07 20:20:05.852624,2026-05-07 20:20:33.021324,0 days 00:00:27.168700,16,0.3283837715812227,0.06883476523607082,,0.0037652734585044076,2,192,160.0,,COMPLETE
27,33.95223031644808,2026-05-07 20:20:33.021324,2026-05-07 20:21:09.820614,0 days 00:00:36.799290,16,0.43444448013521786,0.07839605303866337,0.0013317887321198096,0.008156379019580528,3,192,96.0,96.0,COMPLETE
28,35.08564557675658,2026-05-07 20:21:09.820753,2026-05-07 20:21:35.217633,0 days 00:00:25.396880,16,0.3866814907319029,,,0.015098402153211244,1,160,,,COMPLETE
29,35.74319267144168,2026-05-07 20:21:35.218634,2026-05-07 20:22:04.031296,0 days 00:00:28.812662,16,0.37403579865806247,0.21926522412162536,0.3290917980188012,0.0037317620238174697,3,128,224.0,128.0,COMPLETE
30,32.60783206147814,2026-05-07 20:22:04.032297,2026-05-07 20:22:35.092177,0 days 00:00:31.059880,16,0.17879992304697734,0.08743929454994673,,0.005827959468669314,2,32,160.0,,COMPLETE
31,32.657300864420904,2026-05-07 20:22:35.093178,2026-05-07 20:23:10.031877,0 days 00:00:34.938699,16,0.19644755665979918,0.09229530438106137,,0.00526110409062313,2,32,160.0,,COMPLETE
32,34.69133882963866,2026-05-07 20:23:10.031877,2026-05-07 20:23:36.978979,0 days 00:00:26.947102,16,0.2761304136408409,0.04421855544577563,,0.003255483074137983,2,32,160.0,,COMPLETE
33,33.92978755607309,2026-05-07 20:23:36.978979,2026-05-07 20:24:12.539508,0 days 00:00:35.560529,16,0.18297935482288086,0.17585604573303254,,0.0071511029414306595,2,64,224.0,,COMPLETE
34,33.734264846733346,2026-05-07 20:24:12.539508,2026-05-07 20:24:41.508686,0 days 00:00:28.969178,16,0.31947767039874136,0.10000326768190027,,0.004685950894964194,2,160,128.0,,COMPLETE
35,34.70698333525517,2026-05-07 20:24:41.508686,2026-05-07 20:25:06.262078,0 days 00:00:24.753392,16,0.26403970706355256,0.03837843182134812,,0.0023279357462790556,2,32,160.0,,COMPLETE
36,34.51592440210078,2026-05-07 20:25:06.263247,2026-05-07 20:25:26.643282,0 days 00:00:20.380035,64,0.1581077876228059,0.25247921948232,0.27502911112226264,0.005688945023456047,3,224,192.0,256.0,COMPLETE
37,33.115598600269735,2026-05-07 20:25:26.644344,2026-05-07 20:25:52.258651,0 days 00:00:25.614307,16,0.11330892725429731,,,0.00978647184976085,1,32,,,COMPLETE
38,33.226249978966315,2026-05-07 20:25:52.259633,2026-05-07 20:26:00.016026,0 days 00:00:07.756393,128,0.21072704306888865,,,0.006158752710631246,1,64,,,COMPLETE
39,34.96408459943908,2026-05-07 20:26:00.017085,2026-05-07 20:26:29.599703,0 days 00:00:29.582618,16,0.07439159025641368,0.003422655855350773,,0.016602214305559602,2,128,96.0,,COMPLETE
40,32.283126761108576,2026-05-07 20:26:29.599703,2026-05-07 20:26:41.597356,0 days 00:00:11.997653,64,0.2989888346759534,,,0.004462729871262805,1,192,,,COMPLETE
41,32.44810656249867,2026-05-07 20:26:41.597356,2026-05-07 20:26:54.789504,0 days 00:00:13.192148,64,0.2945271449257804,,,0.0045488699894840195,1,192,,,COMPLETE
42,32.46362986606764,2026-05-07 20:26:54.790965,2026-05-07 20:27:05.833178,0 days 00:00:11.042213,64,0.29688867913551276,,,0.004214939258401259,1,192,,,COMPLETE
43,31.745002242133495,2026-05-07 20:27:05.833178,2026-05-07 20:27:19.435718,0 days 00:00:13.602540,64,0.35346450827387743,,,0.00324183252843672,1,224,,,COMPLETE
44,32.096274452556415,2026-05-07 20:27:19.452511,2026-05-07 20:27:33.367937,0 days 00:00:13.915426,64,0.353272576549807,,,0.0045940703927526035,1,224,,,COMPLETE
45,32.16370585446864,2026-05-07 20:27:33.368938,2026-05-07 20:27:49.046756,0 days 00:00:15.677818,64,0.39711929606214225,,,0.0016958182447504193,1,224,,,COMPLETE
46,32.43020146167644,2026-05-07 20:27:49.047755,2026-05-07 20:28:02.151547,0 days 00:00:13.103792,64,0.40941859764516314,,,0.0017919823899032246,1,224,,,COMPLETE
47,32.114368969388075,2026-05-07 20:28:02.152397,2026-05-07 20:28:17.614760,0 days 00:00:15.462363,64,0.4945806819873932,,,0.001192079836290192,1,256,,,COMPLETE
48,31.75726030983654,2026-05-07 20:28:17.615670,2026-05-07 20:28:37.295799,0 days 00:00:19.680129,64,0.47622544817274176,,,0.001191612138188354,1,256,,,COMPLETE
49,31.94511791729999,2026-05-07 20:28:37.295799,2026-05-07 20:28:54.011290,0 days 00:00:16.715491,64,0.497164609047289,,,0.0011275561554149555,1,256,,,COMPLETE
