number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,42.40307610722374,2026-05-08 01:21:04.561295,2026-05-08 01:21:26.208064,0 days 00:00:21.646769,128,0.1447630167012363,0.0981326338819431,0.28753401793257355,0.07680407012917685,3,64,160.0,96.0,COMPLETE
1,32.95539725420139,2026-05-08 01:21:26.211065,2026-05-08 01:21:43.215385,0 days 00:00:17.004320,128,0.018150599424831937,,,0.08039933206785353,1,128,,,COMPLETE
2,32.272372510481304,2026-05-08 01:21:43.217614,2026-05-08 01:22:00.650200,0 days 00:00:17.432586,64,0.297850493784687,,,0.013559721589740559,1,256,,,COMPLETE
3,35.63595985226423,2026-05-08 01:22:00.653226,2026-05-08 01:22:47.625366,0 days 00:00:46.972140,16,0.2627660916169957,0.36851437114905194,,0.016829658541313675,2,128,32.0,,COMPLETE
4,37.166202363569106,2026-05-08 01:22:47.626360,2026-05-08 01:23:32.126699,0 days 00:00:44.500339,32,0.10256061530458355,0.4217126954856864,0.1183574564075569,0.00859969185963091,3,192,160.0,192.0,COMPLETE
5,31.787512451161632,2026-05-08 01:23:32.126699,2026-05-08 01:24:19.692570,0 days 00:00:47.565871,16,0.060797356210118336,,,0.006674236437292965,1,256,,,COMPLETE
6,32.24380299095846,2026-05-08 01:24:19.694564,2026-05-08 01:25:00.084231,0 days 00:00:40.389667,32,0.3149803784361209,0.10918719576587033,,0.0018406599969057343,2,128,256.0,,COMPLETE
7,34.98029401155992,2026-05-08 01:25:00.084231,2026-05-08 01:25:22.587398,0 days 00:00:22.503167,128,0.08504729735430283,0.3068372742235324,0.22609022051714261,0.0013977560842798724,3,32,64.0,256.0,COMPLETE
8,62.2056857435068,2026-05-08 01:25:22.587398,2026-05-08 01:26:02.397590,0 days 00:00:39.810192,32,0.4746137701908319,0.17604478479659152,0.06221551185689078,0.05009935990519005,3,192,192.0,224.0,COMPLETE
9,33.516464301332604,2026-05-08 01:26:02.397590,2026-05-08 01:26:25.098942,0 days 00:00:22.701352,32,0.28110335432239475,,,0.026917845830125204,1,160,,,COMPLETE
10,31.65989396770159,2026-05-08 01:26:25.100026,2026-05-08 01:27:22.680843,0 days 00:00:57.580817,16,0.18024377469773797,0.01732564326619887,,0.004365926707405845,2,256,96.0,,COMPLETE
11,32.051800592484724,2026-05-08 01:27:22.680843,2026-05-08 01:28:16.488849,0 days 00:00:53.808006,16,0.18614178700434947,0.007374886725369326,,0.005085935724636376,2,256,96.0,,COMPLETE
12,30.93555135578947,2026-05-08 01:28:16.488849,2026-05-08 01:29:11.897794,0 days 00:00:55.408945,16,0.018151206788632857,0.0019644709329149166,,0.003939944671905205,2,224,96.0,,COMPLETE
13,31.072355825493684,2026-05-08 01:29:11.897794,2026-05-08 01:30:02.026257,0 days 00:00:50.128463,16,0.197920988371298,0.009060727634927717,,0.00347265064510983,2,224,96.0,,COMPLETE
