number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,34.195233452157126,2026-05-07 23:00:01.177921,2026-05-07 23:00:19.788202,0 days 00:00:18.610281,64,0.16923412400855586,0.0638106657582233,0.2613566204123694,0.001757388201894405,3,96,224.0,128.0,COMPLETE
1,33.01595836766789,2026-05-07 23:00:19.790284,2026-05-07 23:00:31.907307,0 days 00:00:12.117023,128,0.1892037027979283,0.4572506800339137,,0.003003202301961073,2,224,128.0,,COMPLETE
2,35.537337957021734,2026-05-07 23:00:31.908696,2026-05-07 23:00:41.126968,0 days 00:00:09.218272,128,0.09094250491546435,,,0.087714047379209,1,64,,,COMPLETE
3,45.14137088589338,2026-05-07 23:00:41.126968,2026-05-07 23:00:55.209842,0 days 00:00:14.082874,64,0.010026958106979289,,,0.09248238013987842,1,256,,,COMPLETE
4,37.770884843188426,2026-05-07 23:00:55.216150,2026-05-07 23:01:16.047765,0 days 00:00:20.831615,32,0.3367811056606485,,,0.031696505400656376,1,256,,,COMPLETE
5,32.60730325487687,2026-05-07 23:01:16.047765,2026-05-07 23:01:25.720576,0 days 00:00:09.672811,128,0.2755224034112799,0.18384895275559437,,0.009400085476429211,2,128,96.0,,COMPLETE
6,34.88668727762857,2026-05-07 23:01:25.720576,2026-05-07 23:01:43.136707,0 days 00:00:17.416131,64,0.303872227370027,0.4834636033232747,0.02140831096991902,0.003300513063218798,3,128,256.0,160.0,COMPLETE
7,66.73153938675485,2026-05-07 23:01:43.137693,2026-05-07 23:02:16.869332,0 days 00:00:33.731639,16,0.4953266355874003,0.08892615662921127,0.3232006950979176,0.06574398942897507,3,64,256.0,224.0,COMPLETE
8,32.988683145453315,2026-05-07 23:02:16.869332,2026-05-07 23:02:38.298424,0 days 00:00:21.429092,32,0.07913280525331234,0.3234533973088362,0.43107650586812507,0.003848681801634553,3,224,160.0,64.0,COMPLETE
9,38.99644293681974,2026-05-07 23:02:38.298424,2026-05-07 23:03:08.418631,0 days 00:00:30.120207,16,0.492498711491605,0.27613023624531147,0.35168511666268704,0.008718015119946373,3,64,160.0,160.0,COMPLETE
10,33.721857288187834,2026-05-07 23:03:08.418631,2026-05-07 23:03:21.010128,0 days 00:00:12.591497,128,0.3903915485639272,0.17012246677177228,,0.015473494085638641,2,160,32.0,,COMPLETE
11,32.4275893931906,2026-05-07 23:03:21.010128,2026-05-07 23:03:43.474531,0 days 00:00:22.464403,32,0.21556519381915643,0.29372175762028924,,0.007466298042240691,2,192,96.0,,COMPLETE
12,34.43789670578755,2026-05-07 23:03:43.476677,2026-05-07 23:03:59.760611,0 days 00:00:16.283934,32,0.24310789092528612,0.196583635080183,,0.009884741874154824,2,160,64.0,,COMPLETE
13,35.87045141900259,2026-05-07 23:03:59.760611,2026-05-07 23:04:08.780080,0 days 00:00:09.019469,128,0.24304011544191373,0.3698228633388509,,0.020544430648638617,2,192,96.0,,COMPLETE
14,33.23122444588783,2026-05-07 23:04:08.780080,2026-05-07 23:04:35.907036,0 days 00:00:27.126956,32,0.3572047253571017,0.1954576860510725,,0.0063168635299042705,2,128,96.0,,COMPLETE
15,33.949052196181604,2026-05-07 23:04:35.907036,2026-05-07 23:04:47.768252,0 days 00:00:11.861216,128,0.15638547846955003,0.008225671464179657,,0.0056803012895296975,2,192,32.0,,COMPLETE
