number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,59.175868266761675,2026-05-09 01:30:37.006312,2026-05-09 01:30:47.300926,0 days 00:00:10.294614,128,0.4839494606604835,0.34266558312744616,,0.07816440799724417,2,224,256.0,,COMPLETE
1,32.50838220519174,2026-05-09 01:30:47.300926,2026-05-09 01:31:12.553071,0 days 00:00:25.252145,16,0.4067360966013499,0.35335417198768676,,0.00564341740628412,2,160,32.0,,COMPLETE
2,44.84560296936499,2026-05-09 01:31:12.555399,2026-05-09 01:31:21.819436,0 days 00:00:09.264037,128,0.19323822242088268,0.08338542031896301,,0.09808952270850452,2,64,128.0,,COMPLETE
3,33.45433175639372,2026-05-09 01:31:21.819436,2026-05-09 01:31:34.508473,0 days 00:00:12.689037,64,0.285932105360665,0.2691582855968959,,0.010267846134783359,2,32,256.0,,COMPLETE
4,66.96444689826129,2026-05-09 01:31:34.509490,2026-05-09 01:31:54.413310,0 days 00:00:19.903820,32,0.1621893514883742,0.4930062126264893,,0.07101301626310988,2,96,32.0,,COMPLETE
5,34.58038160167983,2026-05-09 01:31:54.413310,2026-05-09 01:32:05.189959,0 days 00:00:10.776649,64,0.41055043505333316,,,0.03533828062440284,1,128,,,COMPLETE
6,31.04670870565502,2026-05-09 01:32:05.190964,2026-05-09 01:32:17.612965,0 days 00:00:12.422001,64,0.31012882498958017,,,0.0023654216029097906,1,224,,,COMPLETE
7,33.13212830621878,2026-05-09 01:32:17.612965,2026-05-09 01:32:36.841248,0 days 00:00:19.228283,32,0.0877628799595882,0.10935040087059145,,0.02292473457266181,2,256,96.0,,COMPLETE
8,40.70904061323617,2026-05-09 01:32:36.842237,2026-05-09 01:32:47.050006,0 days 00:00:10.207769,128,0.13093864802817462,0.4009169541418693,,0.06786151063443885,2,32,96.0,,COMPLETE
9,65.79197876485419,2026-05-09 01:32:47.051042,2026-05-09 01:33:14.422711,0 days 00:00:27.371669,16,0.33636695293688595,,,0.09689529407561985,1,96,,,COMPLETE
10,31.37660125550076,2026-05-09 01:33:14.422711,2026-05-09 01:33:32.951663,0 days 00:00:18.528952,64,0.25078574937443077,0.022571658715456522,0.4921370129569894,0.0010089974551693757,3,192,192.0,128.0,COMPLETE
11,31.87721643681442,2026-05-09 01:33:32.952686,2026-05-09 01:33:47.635369,0 days 00:00:14.682683,64,0.0145796185326805,0.015265812155912273,0.4993415615205475,0.0011386877325945434,3,192,192.0,128.0,COMPLETE
12,32.47424035543871,2026-05-09 01:33:47.636366,2026-05-09 01:34:06.799413,0 days 00:00:19.163047,64,0.2585860855958597,0.17568511838897255,0.3780448350892911,0.001058861635567489,3,192,192.0,96.0,COMPLETE
13,31.09691243736487,2026-05-09 01:34:06.800409,2026-05-09 01:34:25.505413,0 days 00:00:18.705004,64,0.33316717735707463,0.004758883122646024,0.05829635871314784,0.0025736873103035665,3,256,192.0,256.0,COMPLETE
14,31.336363359295895,2026-05-09 01:34:25.505413,2026-05-09 01:34:38.172780,0 days 00:00:12.667367,64,0.35054434825092945,,,0.002505833408157636,1,256,,,COMPLETE
15,32.04334909027612,2026-05-09 01:34:38.172780,2026-05-09 01:34:58.275394,0 days 00:00:20.102614,64,0.33818197267782674,0.19401447698309754,0.0033019474047373057,0.0031815137985984035,3,256,160.0,256.0,COMPLETE
16,31.327073123065805,2026-05-09 01:34:58.276395,2026-05-09 01:35:11.755557,0 days 00:00:13.479162,64,0.48520362574352704,,,0.0024361323906069545,1,224,,,COMPLETE
