number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
0,36.10889560314587,2026-05-07 21:56:05.785033,2026-05-07 21:56:58.524817,0 days 00:00:52.739784,16,0.4089992602020196,0.2558401790327846,,0.00676660592599898,2,160,128.0,,COMPLETE
1,73.66798471219194,2026-05-07 21:56:58.533267,2026-05-07 21:57:14.408092,0 days 00:00:15.874825,64,0.49077796375660043,,,0.07481336106368373,1,192,,,COMPLETE
2,36.994693260941276,2026-05-07 21:57:14.408092,2026-05-07 21:57:33.421016,0 days 00:00:19.012924,32,0.32888449782746876,0.061679693463157714,,0.0024302062660654647,2,32,32.0,,COMPLETE
3,39.964431239286945,2026-05-07 21:57:33.421016,2026-05-07 21:58:15.649662,0 days 00:00:42.228646,16,0.29957451837921584,0.41807619902027143,0.14250521109727232,0.007659410785939198,3,192,32.0,192.0,COMPLETE
4,33.60487208152273,2026-05-07 21:58:15.650748,2026-05-07 21:58:31.470912,0 days 00:00:15.820164,64,0.1137651448496092,,,0.028931729551202785,1,96,,,COMPLETE
5,34.79953904921757,2026-05-07 21:58:31.486544,2026-05-07 21:58:45.749939,0 days 00:00:14.263395,64,0.04833363922771594,,,0.05016076331568719,1,32,,,COMPLETE
6,66.90941244467884,2026-05-07 21:58:45.750476,2026-05-07 21:59:38.540102,0 days 00:00:52.789626,16,0.1520885700198058,0.38110147829594515,,0.058613079247695744,2,192,256.0,,COMPLETE
7,34.52352712332241,2026-05-07 21:59:38.540102,2026-05-07 21:59:50.277984,0 days 00:00:11.737882,128,0.046013886815477634,,,0.00254479377091715,1,128,,,COMPLETE
8,41.53475389577598,2026-05-07 21:59:50.278974,2026-05-07 22:00:26.001703,0 days 00:00:35.722729,16,0.37027629291356645,0.35223526417615614,0.11422033566298584,0.015162199928249263,3,160,224.0,64.0,COMPLETE
9,37.71536869291121,2026-05-07 22:00:26.001703,2026-05-07 22:00:52.198382,0 days 00:00:26.196679,32,0.39092955261373097,0.044165903580958565,0.3666172041718009,0.012761924639535587,3,256,128.0,96.0,COMPLETE
10,34.90274319211243,2026-05-07 22:00:52.198382,2026-05-07 22:01:04.061076,0 days 00:00:11.862694,64,0.18636532692153268,,,0.026661679660229278,1,96,,,COMPLETE
11,35.02444024577802,2026-05-07 22:01:04.061076,2026-05-07 22:01:15.296599,0 days 00:00:11.235523,128,0.016331968097830166,,,0.001022532763128961,1,96,,,COMPLETE
12,34.02153249195889,2026-05-07 22:01:15.296599,2026-05-07 22:01:27.970619,0 days 00:00:12.674020,128,0.09279157715622996,,,0.003889649156323803,1,96,,,COMPLETE
13,32.89789756129745,2026-05-07 22:01:27.970619,2026-05-07 22:01:38.868010,0 days 00:00:10.897391,128,0.1369503624219777,,,0.003662400295667397,1,64,,,COMPLETE
14,38.11865395419699,2026-05-07 22:01:38.870940,2026-05-07 22:01:56.773184,0 days 00:00:17.902244,64,0.2080083981199435,0.17206222297008944,,0.035253030424918105,2,64,192.0,,COMPLETE
15,34.80978772944765,2026-05-07 22:01:56.773184,2026-05-07 22:02:06.460026,0 days 00:00:09.686842,128,0.1310906808997764,0.48893193436884613,,0.01880637214776747,2,64,96.0,,COMPLETE
16,34.414640950547806,2026-05-07 22:02:06.460026,2026-05-07 22:02:20.433313,0 days 00:00:13.973287,128,0.25844279014116683,,,0.0010897826368364374,1,64,,,COMPLETE
17,33.51900252567864,2026-05-07 22:02:20.433313,2026-05-07 22:02:33.006487,0 days 00:00:12.573174,64,0.10583675833583486,,,0.00543369485506807,1,128,,,COMPLETE
18,33.36717653855048,2026-05-07 22:02:33.006487,2026-05-07 22:02:47.970519,0 days 00:00:14.964032,32,0.22337199901278865,,,0.004570366422610424,1,128,,,COMPLETE
19,34.57521668352551,2026-05-07 22:02:47.971489,2026-05-07 22:03:07.201138,0 days 00:00:19.229649,32,0.2507182925221025,0.20106847342222864,,0.0020589860201329084,2,256,192.0,,COMPLETE
20,32.939952253631375,2026-05-07 22:03:07.201138,2026-05-07 22:03:31.816616,0 days 00:00:24.615478,32,0.18748135165551444,0.0025321284855271686,,0.0038385989359083854,2,128,64.0,,COMPLETE
21,33.88371328537672,2026-05-07 22:03:31.816616,2026-05-07 22:03:53.814184,0 days 00:00:21.997568,32,0.19857642928151617,0.005744590232611032,,0.004098256578939291,2,128,64.0,,COMPLETE
22,34.95659195737879,2026-05-07 22:03:53.814184,2026-05-07 22:04:19.151788,0 days 00:00:25.337604,32,0.16896715746573843,0.12016695005729923,0.4910748852775928,0.0037796527253082155,3,160,96.0,256.0,COMPLETE
23,32.53936912281212,2026-05-07 22:04:19.151788,2026-05-07 22:04:46.096197,0 days 00:00:26.944409,32,0.24075482655605193,,,0.001632573806567625,1,224,,,COMPLETE
24,33.78623429915994,2026-05-07 22:04:46.098192,2026-05-07 22:05:12.218296,0 days 00:00:26.120104,32,0.272539446877393,0.2806985718184511,,0.0016727908556361992,2,224,64.0,,COMPLETE
25,32.611056829916365,2026-05-07 22:05:12.218296,2026-05-07 22:05:36.829836,0 days 00:00:24.611540,32,0.3119207032436571,,,0.001449380363212353,1,224,,,COMPLETE
26,33.17028622684497,2026-05-07 22:05:36.829836,2026-05-07 22:05:49.511800,0 days 00:00:12.681964,128,0.3014560667082517,,,0.0015518352397942696,1,224,,,COMPLETE
27,33.39547442378257,2026-05-07 22:05:49.511800,2026-05-07 22:06:41.353976,0 days 00:00:51.842176,32,0.4444040495992764,,,0.001414893617070604,1,224,,,COMPLETE
