hour,Daugiasluoksnis perceptronas,Ilgos trumpalaikės atminties tinklas,LightGBM,XGBoost
0,0.48,0.5549,0.416,0.4195
1,0.6611,0.7602,0.5674,0.5735
2,0.7744,0.9053,0.6699,0.6694
3,0.8468,0.9403,0.7438,0.7502
4,0.9386,0.998,0.789,0.796
5,1.0291,0.9747,0.8182,0.8397
6,1.058,0.9909,0.8442,0.8466
7,1.0063,1.0704,0.848,0.8679
8,1.0758,1.022,0.8546,0.8577
9,1.0835,0.969,0.8549,0.8616
10,1.1418,1.0287,0.8771,0.8634
11,1.2565,1.0655,0.8777,0.8817
12,1.1764,1.116,0.8872,0.8913
13,1.1854,1.1296,0.8983,0.9019
14,1.1518,1.0639,0.925,0.9311
15,1.172,1.0628,0.9322,0.913
16,1.2314,1.0805,0.9267,0.9278
17,1.1335,1.0884,0.9289,0.9081
18,1.2209,1.2041,0.9269,0.922
19,1.1245,1.1285,0.929,0.9088
20,1.2009,1.1081,0.918,0.9219
21,1.214,1.0763,0.9118,0.9232
22,1.2697,1.1237,0.906,0.9119
23,1.2108,1.1986,0.894,0.9034
