hour,best_model,best_mae,LGBM,XGB
0,LGBM,16.306253185701948,16.306253185701948,16.443978012551767
1,LGBM,22.25401367658588,22.25401367658588,22.492874463760522
2,XGB,26.258776756546926,26.278656956130767,26.258776756546926
3,LGBM,29.18464777393828,29.18464777393828,29.437310730535987
4,LGBM,30.956974149617437,30.956974149617437,31.233726020745575
5,LGBM,32.115752913531665,32.115752913531665,32.95869489729587
6,LGBM,33.150825397700594,33.150825397700594,33.24455382822391
7,LGBM,33.31471207114246,33.31471207114246,34.097262578200755
8,LGBM,33.57776659484209,33.57776659484209,33.69790297347432
9,LGBM,33.58148623259446,33.58148623259446,33.84515954709386
10,XGB,33.92307290638889,34.46216272467901,33.92307290638889
11,LGBM,34.49026635320779,34.49026635320779,34.64644293353599
12,LGBM,34.86711325060044,34.86711325060044,35.028215973180764
13,LGBM,35.30102184851739,35.30102184851739,35.44256628719697
14,LGBM,36.352631983083945,36.352631983083945,36.591893250460856
15,XGB,35.88612096927399,36.64092555764163,35.88612096927399
16,LGBM,36.42037598305313,36.42037598305313,36.465410210221805
17,XGB,35.685836814924244,36.50224169934858,35.685836814924244
18,XGB,36.22421643193813,36.41512490960003,36.22421643193813
19,XGB,35.704930648015576,36.50004560683371,35.704930648015576
20,LGBM,36.08147629120891,36.08147629120891,36.23216592915404
21,LGBM,35.8480205656373,35.8480205656373,36.2929017529053
22,LGBM,35.618791598364474,35.618791598364474,35.85217708156566
23,LGBM,35.14891841829951,35.14891841829951,35.51729100842593
AVG,LGBM,32.97375857257756,32.97375857257756,33.0501450835674
