date,split,model,rmse,mae
2026-05-21 16:47:51,test,lag1,35.97867655711516,20.287543969849246
2026-05-21 16:47:51,test,mean,67.86136054492535,53.04674929534233
2026-05-21 16:47:51,test,rolling_mean_24,54.67571016001007,39.7939620254048
2026-05-21 16:47:51,cv_1,lag1,34.38809864154983,19.66081055607917
2026-05-21 16:47:51,cv_1,mean,56.39678340657445,39.87018229497266
2026-05-21 16:47:51,cv_1,rolling_mean_24,47.8730465458807,35.4924349408315
2026-05-21 16:47:51,cv_2,lag1,33.99825992156068,15.446255105246623
2026-05-21 16:47:51,cv_2,mean,83.57678081437425,45.37497498636364
2026-05-21 16:47:51,cv_2,rolling_mean_24,68.2567754120623,35.8911493350089
2026-05-21 16:47:51,cv_3,lag1,27.067029065946667,15.13860508953817
2026-05-21 16:47:51,cv_3,mean,53.77066935045594,41.17898133580747
2026-05-21 16:47:51,cv_3,rolling_mean_24,42.39195308766877,29.8587102052571
2026-05-21 16:47:51,cv_4,lag1,39.97689957216641,25.087891925856113
2026-05-21 16:47:51,cv_4,mean,71.2344882788794,52.84145540243167
2026-05-21 16:47:51,cv_4,rolling_mean_24,62.58844617655339,46.109098989422975
2026-05-21 16:47:51,cv_5,lag1,35.97873947032753,20.808834432924915
2026-05-21 16:47:51,cv_5,mean,73.81246795379585,55.71818606736868
2026-05-21 16:47:51,cv_5,rolling_mean_24,57.9905881072655,43.26184849198869
