number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,36.24495454657491,2026-05-05 15:52:26.219929,2026-05-05 15:52:28.771736,0 days 00:00:02.551807,0.8948742387577535,40.51109501926121,0.0687248447157282,4,49,700,COMPLETE
1,36.042390449694246,2026-05-05 15:52:28.773788,2026-05-05 15:52:31.221579,0 days 00:00:02.447791,0.9673349146364076,58.93868899746921,0.009223613432368773,4,57,700,COMPLETE
2,36.16734725091495,2026-05-05 15:52:31.224652,2026-05-05 15:52:37.000252,0 days 00:00:05.775600,0.6593074904633707,36.100181662111666,0.006687826383599748,7,98,1100,COMPLETE
3,60.150766183974454,2026-05-05 15:52:37.000252,2026-05-05 15:52:37.819705,0 days 00:00:00.819453,0.5627268559128584,90.7958710401978,0.001570176981168492,4,46,200,COMPLETE
4,35.864315356045836,2026-05-05 15:52:37.819705,2026-05-05 15:52:50.978331,0 days 00:00:13.158626,0.504231965736796,87.14228526667041,0.006010893207763178,9,41,1400,COMPLETE
5,36.43329623778497,2026-05-05 15:52:50.978331,2026-05-05 15:52:57.080800,0 days 00:00:06.102469,0.5767032426884267,70.6708897410042,0.03459398099525167,9,60,1000,COMPLETE
6,37.5028747023199,2026-05-05 15:52:57.081799,2026-05-05 15:53:04.224778,0 days 00:00:07.142979,0.6973931872340144,26.98551791247994,0.002164880322698148,10,57,700,COMPLETE
7,35.81519304309334,2026-05-05 15:53:04.224778,2026-05-05 15:53:14.532016,0 days 00:00:10.307238,0.8799141947232307,72.04216226030664,0.015401658905240468,10,77,1200,COMPLETE
8,35.85918860802809,2026-05-05 15:53:14.532016,2026-05-05 15:53:21.178243,0 days 00:00:06.646227,0.9927020622538152,41.963639934165386,0.005160634421678651,7,53,900,COMPLETE
9,37.18108774376835,2026-05-05 15:53:21.178243,2026-05-05 15:53:27.315721,0 days 00:00:06.137478,0.9867777841898691,45.1729339606436,0.09848221497426209,10,82,800,COMPLETE
10,38.868879082751874,2026-05-05 15:53:27.315721,2026-05-05 15:53:37.009439,0 days 00:00:09.693718,0.8277321325279198,109.77385345186524,0.26373400303221844,6,8,1500,COMPLETE
11,35.812972322644214,2026-05-05 15:53:37.009439,2026-05-05 15:53:43.439685,0 days 00:00:06.430246,0.8324247385710578,57.16282514720608,0.018876347398270394,7,75,1200,COMPLETE
12,35.826485881740595,2026-05-05 15:53:43.448281,2026-05-05 15:53:49.041113,0 days 00:00:05.592832,0.8109951767113253,59.115993168952116,0.017996322173220284,6,79,1200,COMPLETE
13,35.99859700198711,2026-05-05 15:53:49.042112,2026-05-05 15:53:57.088494,0 days 00:00:08.046382,0.8672669274263638,70.3527166776831,0.02206318547514925,8,77,1300,COMPLETE
14,35.96383694968568,2026-05-05 15:53:57.089496,2026-05-05 15:53:59.255384,0 days 00:00:02.165888,0.7826551760419068,54.30844976517543,0.04492332060529413,8,99,300,COMPLETE
15,35.6772123760316,2026-05-05 15:53:59.256388,2026-05-05 15:54:04.056862,0 days 00:00:04.800474,0.9052932349591752,72.06608862759744,0.012419592278960393,5,71,1200,COMPLETE
16,37.58305752006636,2026-05-05 15:54:04.056862,2026-05-05 15:54:06.000329,0 days 00:00:01.943467,0.7284853623222279,29.469477452355562,0.12095766379618987,5,25,500,COMPLETE
17,36.55529706951703,2026-05-05 15:54:06.000329,2026-05-05 15:54:09.625997,0 days 00:00:03.625668,0.9046734251891263,48.83844773491985,0.003791520262451027,3,67,1400,COMPLETE
18,35.68943322976672,2026-05-05 15:54:09.626542,2026-05-05 15:54:13.791274,0 days 00:00:04.164732,0.9253936505772422,84.66830075428602,0.011528802188234587,5,34,1000,COMPLETE
19,36.27961554835563,2026-05-05 15:54:13.791274,2026-05-05 15:54:19.901867,0 days 00:00:06.110593,0.9413309576795915,86.94638521184841,0.0030715049836447647,5,30,1000,COMPLETE
20,51.81640110114843,2026-05-05 15:54:19.901867,2026-05-05 15:54:22.806234,0 days 00:00:02.904367,0.9169371244471102,106.45614358911698,0.0010088381801047518,5,33,500,COMPLETE
21,35.55695889306842,2026-05-05 15:54:22.807276,2026-05-05 15:54:29.040035,0 days 00:00:06.232759,0.8489757375587571,76.2690249201877,0.014309391905918867,6,16,1100,COMPLETE
22,35.78862584052037,2026-05-05 15:54:29.040035,2026-05-05 15:54:34.993014,0 days 00:00:05.952979,0.7661732343726732,78.68363773546207,0.010380079711105382,6,12,1000,COMPLETE
23,36.104478157311796,2026-05-05 15:54:34.994014,2026-05-05 15:54:37.921301,0 days 00:00:02.927287,0.9418844043041669,97.20105881748945,0.028747226455777757,3,22,1100,COMPLETE
24,35.689430162361006,2026-05-05 15:54:37.921301,2026-05-05 15:54:42.080958,0 days 00:00:04.159657,0.8603894065917038,65.31491414626817,0.010407749212305792,5,18,900,COMPLETE
25,36.3341518425829,2026-05-05 15:54:42.080958,2026-05-05 15:54:48.448289,0 days 00:00:06.367331,0.8316038634934504,66.09259324516479,0.007926241517821531,6,3,800,COMPLETE
26,35.80440493165578,2026-05-05 15:54:48.448289,2026-05-05 15:54:53.444942,0 days 00:00:04.996653,0.8615445286229679,77.1513671451675,0.011794614611027928,4,17,1500,COMPLETE
27,36.405596561805154,2026-05-05 15:54:53.445942,2026-05-05 15:54:57.966455,0 days 00:00:04.520513,0.8018945840350382,62.573802674043094,0.05447607329620255,5,87,1300,COMPLETE
28,35.764663191089234,2026-05-05 15:54:57.966455,2026-05-05 15:55:04.454461,0 days 00:00:06.488006,0.7421063481860344,64.86707890976457,0.003969409639818929,6,18,900,COMPLETE
29,37.118140823468266,2026-05-05 15:55:04.454461,2026-05-05 15:55:06.364043,0 days 00:00:01.909582,0.8643482536371757,50.53631256877832,0.029126102943857722,4,1,500,COMPLETE
30,36.1819331351431,2026-05-05 15:55:06.364043,2026-05-05 15:55:07.858141,0 days 00:00:01.494098,0.6809094453950516,78.68047250790248,0.015595885586943305,3,67,600,COMPLETE
31,35.73142977932451,2026-05-05 15:55:07.859186,2026-05-05 15:55:12.550603,0 days 00:00:04.691417,0.9282836311079519,81.2811510189886,0.012901638440481847,5,38,1100,COMPLETE
32,35.748637618197584,2026-05-05 15:55:12.550603,2026-05-05 15:55:16.728872,0 days 00:00:04.178269,0.9556903995481432,99.72684695225041,0.009921807753200998,5,29,900,COMPLETE
33,35.75349290596777,2026-05-05 15:55:16.729874,2026-05-05 15:55:20.750206,0 days 00:00:04.020332,0.8927120731933273,72.73615192544175,0.007784515841755236,4,13,1100,COMPLETE
34,35.66465879075962,2026-05-05 15:55:20.751207,2026-05-05 15:55:25.192181,0 days 00:00:04.440974,0.9003001864651294,90.39965494512856,0.0220426547969729,7,44,700,COMPLETE
35,35.81533557361354,2026-05-05 15:55:25.193181,2026-05-05 15:55:29.612685,0 days 00:00:04.419504,0.8526393332217262,98.1505480769002,0.02336835048370937,7,44,700,COMPLETE
36,36.04826695610721,2026-05-05 15:55:29.613685,2026-05-05 15:55:34.103341,0 days 00:00:04.489656,0.9023367271803981,91.46859939583977,0.037800625521049146,8,50,600,COMPLETE
37,36.385669929638716,2026-05-05 15:55:34.104342,2026-05-05 15:55:38.694618,0 days 00:00:04.590276,0.7791876060018047,35.83781476603434,0.005032247968194996,7,90,800,COMPLETE
38,35.71186513394004,2026-05-05 15:55:38.694618,2026-05-05 15:55:45.595529,0 days 00:00:06.900911,0.9690383220248775,60.96298705296805,0.007866268719179318,6,66,1300,COMPLETE
39,35.999343898758696,2026-05-05 15:55:45.596532,2026-05-05 15:55:47.283899,0 days 00:00:01.687367,0.5894515592782112,68.18520525437114,0.06657578202119703,7,38,300,COMPLETE
40,37.61346219447051,2026-05-05 15:55:47.283899,2026-05-05 15:55:57.581715,0 days 00:00:10.297816,0.626353930902016,90.41318373909446,0.0023484092271352786,8,60,900,COMPLETE
41,35.56684764681465,2026-05-05 15:55:57.581715,2026-05-05 15:56:01.785533,0 days 00:00:04.203818,0.8854063526254654,84.72241586267434,0.013155980977903136,5,36,1000,COMPLETE
42,35.931306454462785,2026-05-05 15:56:01.786533,2026-05-05 15:56:05.379694,0 days 00:00:03.593161,0.8886566069364702,74.98199628072811,0.014162891805149666,4,45,1100,COMPLETE
43,35.56534403764955,2026-05-05 15:56:05.379694,2026-05-05 15:56:12.490774,0 days 00:00:07.111080,0.8454180101277006,83.28486159819633,0.006169406965294332,6,24,1200,COMPLETE
44,35.524188990970146,2026-05-05 15:56:12.490774,2026-05-05 15:56:19.899966,0 days 00:00:07.409192,0.8090129384246337,82.35664900606666,0.005534400156635661,6,25,1200,COMPLETE
45,35.50104596114501,2026-05-05 15:56:19.899966,2026-05-05 15:56:27.781330,0 days 00:00:07.881364,0.8068239136667311,83.85711215173954,0.005903423186784161,6,25,1300,COMPLETE
46,35.530129609803375,2026-05-05 15:56:27.781330,2026-05-05 15:56:35.632657,0 days 00:00:07.851327,0.8067033402097786,83.84198606560459,0.00581634775645348,6,25,1300,COMPLETE
47,35.55032730251435,2026-05-05 15:56:35.633657,2026-05-05 15:56:44.571076,0 days 00:00:08.937419,0.8072347962563047,105.6686470499157,0.005017659308393251,6,26,1400,COMPLETE
