number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,37.48675226445857,2026-05-05 17:36:09.761476,2026-05-05 17:36:14.689413,0 days 00:00:04.927937,0.7380304805466086,0.055698254051632784,5,25,1200,COMPLETE
1,40.532037928673404,2026-05-05 17:36:14.691694,2026-05-05 17:36:19.710220,0 days 00:00:05.018526,0.6404042053592185,0.003566420328163223,8,53,400,COMPLETE
2,36.464311781116024,2026-05-05 17:36:19.711220,2026-05-05 17:36:28.185001,0 days 00:00:08.473781,0.6389628056543233,0.004923876417235929,10,83,700,COMPLETE
3,36.370764286302915,2026-05-05 17:36:28.186330,2026-05-05 17:36:31.835172,0 days 00:00:03.648842,0.5236521397717486,0.004840308599987815,4,18,1200,COMPLETE
4,40.049917373613624,2026-05-05 17:36:31.835172,2026-05-05 17:36:39.934732,0 days 00:00:08.099560,0.6634222668739811,0.10893350805730172,10,79,1300,COMPLETE
5,38.466098057137195,2026-05-05 17:36:39.935731,2026-05-05 17:36:42.346764,0 days 00:00:02.411033,0.8491383056034973,0.17881570619219678,5,5,500,COMPLETE
6,36.10260796483314,2026-05-05 17:36:42.346764,2026-05-05 17:36:57.418891,0 days 00:00:15.072127,0.6965499795345593,0.006268368802404234,9,30,1500,COMPLETE
7,36.70677965876579,2026-05-05 17:36:57.420274,2026-05-05 17:37:01.064991,0 days 00:00:03.644717,0.9088020336033051,0.03637421445642371,8,86,600,COMPLETE
8,39.06126504668301,2026-05-05 17:37:01.064991,2026-05-05 17:37:04.753946,0 days 00:00:03.688955,0.6521517127812201,0.14928519143508198,6,97,1000,COMPLETE
9,36.66739133636189,2026-05-05 17:37:04.754949,2026-05-05 17:37:07.059581,0 days 00:00:02.304632,0.7317381389607276,0.04095747128832613,3,69,1100,COMPLETE
10,39.288364451416484,2026-05-05 17:37:07.059581,2026-05-05 17:37:30.400947,0 days 00:00:23.341366,0.9706784495903567,0.0010071353131318515,8,39,1500,COMPLETE
11,50.03778003184941,2026-05-05 17:37:30.402032,2026-05-05 17:37:30.709494,0 days 00:00:00.307462,0.5017394868620395,0.0084109455558332,3,13,100,COMPLETE
12,38.685741198124624,2026-05-05 17:37:30.709494,2026-05-05 17:37:35.240816,0 days 00:00:04.531322,0.5128718498125417,0.0017988584431745645,4,30,1500,COMPLETE
13,36.10150327246644,2026-05-05 17:37:35.240816,2026-05-05 17:37:39.805580,0 days 00:00:04.564764,0.5790466889950273,0.011956005638144496,7,49,900,COMPLETE
14,36.06918869094058,2026-05-05 17:37:39.805580,2026-05-05 17:37:44.669514,0 days 00:00:04.863934,0.8144765311545024,0.017629244221041118,7,52,900,COMPLETE
15,36.17910394075833,2026-05-05 17:37:44.671702,2026-05-05 17:37:49.588971,0 days 00:00:04.917269,0.823000578678044,0.01585036324717492,7,56,900,COMPLETE
16,35.76639158424469,2026-05-05 17:37:49.589971,2026-05-05 17:37:54.250738,0 days 00:00:04.660767,0.808192612704527,0.01467195736276412,7,43,800,COMPLETE
17,36.357722246260685,2026-05-05 17:37:54.253263,2026-05-05 17:37:55.869796,0 days 00:00:01.616533,0.812904011364316,0.024776071559059608,6,64,300,COMPLETE
18,37.28312083744018,2026-05-05 17:37:55.871174,2026-05-05 17:38:00.053387,0 days 00:00:04.182213,0.8920509286424554,0.06875650586413681,7,44,800,COMPLETE
19,36.7113635444632,2026-05-05 17:38:00.053387,2026-05-05 17:38:05.432882,0 days 00:00:05.379495,0.7864507049181175,0.021804067356462092,9,66,800,COMPLETE
20,35.93497570265114,2026-05-05 17:38:05.432882,2026-05-05 17:38:08.890089,0 days 00:00:03.457207,0.9869892249500472,0.00962691872382682,6,43,600,COMPLETE
21,35.97032916654333,2026-05-05 17:38:08.890921,2026-05-05 17:38:12.332897,0 days 00:00:03.441976,0.9743272271300687,0.010473188079494553,6,37,600,COMPLETE
22,36.06408789070979,2026-05-05 17:38:12.332897,2026-05-05 17:38:14.980747,0 days 00:00:02.647850,0.9900350373256472,0.010538203840339063,5,38,600,COMPLETE
23,46.721362362149115,2026-05-05 17:38:14.980747,2026-05-05 17:38:17.327808,0 days 00:00:02.347061,0.9350553797653637,0.0024968118141812505,6,37,300,COMPLETE
24,36.520746855997416,2026-05-05 17:38:17.342813,2026-05-05 17:38:21.278899,0 days 00:00:03.936086,0.9981789597912422,0.00863340356660193,6,27,600,COMPLETE
25,35.921998125591,2026-05-05 17:38:21.278899,2026-05-05 17:38:23.820307,0 days 00:00:02.541408,0.941552052321338,0.026408676987136108,5,44,700,COMPLETE
26,39.36963084752979,2026-05-05 17:38:23.820307,2026-05-05 17:38:26.028529,0 days 00:00:02.208222,0.9302279125022364,0.27401414224669884,4,59,700,COMPLETE
27,35.98153480954749,2026-05-05 17:38:26.028529,2026-05-05 17:38:27.556131,0 days 00:00:01.527602,0.8764772768787678,0.032750699714252936,5,45,400,COMPLETE
28,39.7840094837835,2026-05-05 17:38:27.556131,2026-05-05 17:38:28.201922,0 days 00:00:00.645791,0.948548203495608,0.015879892142662267,5,19,100,COMPLETE
29,37.67035773075396,2026-05-05 17:38:28.201922,2026-05-05 17:38:31.714674,0 days 00:00:03.512752,0.8727604611838446,0.06489473228308124,5,72,1000,COMPLETE
30,36.47172521311087,2026-05-05 17:38:31.715557,2026-05-05 17:38:33.549845,0 days 00:00:01.834288,0.7619214271329314,0.046732148665732935,4,60,700,COMPLETE
31,36.33302812054733,2026-05-05 17:38:33.550167,2026-05-05 17:38:36.944369,0 days 00:00:03.394202,0.9611065322210648,0.0069262983368813345,6,34,500,COMPLETE
32,36.04513622774727,2026-05-05 17:38:36.944369,2026-05-05 17:38:40.560209,0 days 00:00:03.615840,0.911710541122185,0.0267373906223465,8,44,500,COMPLETE
33,36.68040121132634,2026-05-05 17:38:40.560209,2026-05-05 17:38:47.007987,0 days 00:00:06.447778,0.9726829078404596,0.013160894846414913,7,22,800,COMPLETE
34,36.310552250145115,2026-05-05 17:38:47.007987,2026-05-05 17:38:51.601983,0 days 00:00:04.593996,0.932434630469721,0.00487570136216078,6,49,700,COMPLETE
35,40.85927749015862,2026-05-05 17:38:51.601983,2026-05-05 17:38:53.746652,0 days 00:00:02.144669,0.86568469066238,0.003466060295585772,5,41,400,COMPLETE
36,35.90258202428544,2026-05-05 17:38:53.747653,2026-05-05 17:38:57.278042,0 days 00:00:03.530389,0.9859943852943313,0.01022042023425057,6,33,600,COMPLETE
37,36.950372675859406,2026-05-05 17:38:57.278042,2026-05-05 17:39:05.779400,0 days 00:00:08.501358,0.9997786341294257,0.02215265709828895,8,13,800,COMPLETE
38,40.70357933813331,2026-05-05 17:39:05.779400,2026-05-05 17:39:10.108396,0 days 00:00:04.328996,0.8410606198938928,0.0033277351533696157,7,32,400,COMPLETE
39,36.500265453135704,2026-05-05 17:39:10.108396,2026-05-05 17:39:24.048803,0 days 00:00:13.940407,0.6023607093692869,0.006443396795584137,9,25,1200,COMPLETE
40,36.42456711484617,2026-05-05 17:39:24.049803,2026-05-05 17:39:27.408690,0 days 00:00:03.358887,0.6960103505393938,0.031157904573445507,5,54,1000,COMPLETE
41,35.84825142706948,2026-05-05 17:39:27.408690,2026-05-05 17:39:31.065111,0 days 00:00:03.656421,0.9121369668504751,0.01088742510413426,6,35,600,COMPLETE
42,35.88362453064025,2026-05-05 17:39:31.065111,2026-05-05 17:39:34.144932,0 days 00:00:03.079821,0.9147980978882702,0.016935643754828318,6,49,600,COMPLETE
43,35.95101157232509,2026-05-05 17:39:34.145932,2026-05-05 17:39:37.703439,0 days 00:00:03.557507,0.9102643722330641,0.018751396558562564,6,48,700,COMPLETE
44,35.77611064529603,2026-05-05 17:39:37.703439,2026-05-05 17:39:41.965085,0 days 00:00:04.261646,0.8942420206184439,0.013183129460940538,7,34,500,COMPLETE
45,36.24800964193088,2026-05-05 17:39:41.966085,2026-05-05 17:39:46.112447,0 days 00:00:04.146362,0.8966094096709191,0.01260185921668244,7,28,500,COMPLETE
46,44.456219480683465,2026-05-05 17:39:46.112447,2026-05-05 17:39:50.275537,0 days 00:00:04.163090,0.8452787829481997,0.004706039971322299,8,15,200,COMPLETE
47,36.00356470717933,2026-05-05 17:39:50.275537,2026-05-05 17:39:54.546144,0 days 00:00:04.270607,0.7729193752725998,0.0075341165637277455,7,34,500,COMPLETE
48,36.37476084677156,2026-05-05 17:39:54.547144,2026-05-05 17:39:57.319946,0 days 00:00:02.772802,0.7203172860713936,0.014114721279178013,7,23,300,COMPLETE
49,37.27411840018541,2026-05-05 17:39:57.319946,2026-05-05 17:40:03.090314,0 days 00:00:05.770368,0.7950295612424534,0.005529139042770659,8,33,400,COMPLETE
50,36.327708038881234,2026-05-05 17:40:03.090314,2026-05-05 17:40:06.011139,0 days 00:00:02.920825,0.8894042228965403,0.01933017314419558,6,77,600,COMPLETE
51,36.407481160291056,2026-05-05 17:40:06.012140,2026-05-05 17:40:08.895543,0 days 00:00:02.883403,0.9575736480225754,0.045231980753816486,5,48,700,COMPLETE
52,37.12054677553058,2026-05-05 17:40:08.895543,2026-05-05 17:40:19.438219,0 days 00:00:10.542676,0.9258382373498127,0.026883957904147784,6,4,900,COMPLETE
53,35.797156910709646,2026-05-05 17:40:19.439220,2026-05-05 17:40:23.549160,0 days 00:00:04.109940,0.8353132970033399,0.01638114095803917,7,41,500,COMPLETE
54,35.8853937576787,2026-05-05 17:40:23.549160,2026-05-05 17:40:27.854752,0 days 00:00:04.305592,0.828483481425871,0.012154715413884897,7,39,500,COMPLETE
55,35.74744745081948,2026-05-05 17:40:27.854752,2026-05-05 17:40:31.412296,0 days 00:00:03.557544,0.8322768424094866,0.015409493333146514,7,40,500,COMPLETE
56,35.89147648432832,2026-05-05 17:40:31.414970,2026-05-05 17:40:36.454094,0 days 00:00:05.039124,0.8591314163092308,0.016016919749440164,9,54,400,COMPLETE
57,36.44694579105014,2026-05-05 17:40:36.455095,2026-05-05 17:40:40.279973,0 days 00:00:03.824878,0.8065477990892487,0.008506005542295811,7,97,500,COMPLETE
58,36.15893103012856,2026-05-05 17:40:40.279973,2026-05-05 17:40:42.334789,0 days 00:00:02.054816,0.7483875790015323,0.020484531787729326,8,58,200,COMPLETE
59,35.90182548060095,2026-05-05 17:40:42.339808,2026-05-05 17:40:44.896709,0 days 00:00:02.556901,0.8342669527075098,0.01434782979944616,7,37,300,COMPLETE
60,36.24964883098777,2026-05-05 17:40:44.897714,2026-05-05 17:40:48.899162,0 days 00:00:04.001448,0.8570401173010845,0.03422141875449072,8,42,600,COMPLETE
61,35.76389733265332,2026-05-05 17:40:48.899162,2026-05-05 17:40:52.489174,0 days 00:00:03.590012,0.8276209549471713,0.01208969765147203,7,41,500,COMPLETE
62,35.89295811563013,2026-05-05 17:40:52.489174,2026-05-05 17:40:56.216682,0 days 00:00:03.727508,0.80004072775612,0.011291606357418202,7,51,600,COMPLETE
63,35.83699400623773,2026-05-05 17:40:56.218014,2026-05-05 17:41:00.136909,0 days 00:00:03.918895,0.7836451665242894,0.009140306088790276,7,46,500,COMPLETE
64,36.138477962959165,2026-05-05 17:41:00.136909,2026-05-05 17:41:06.164779,0 days 00:00:06.027870,0.7803444988543001,0.00895105220521872,8,30,500,COMPLETE
65,36.48448310160135,2026-05-05 17:41:06.164779,2026-05-05 17:41:09.776095,0 days 00:00:03.611316,0.7256030356726236,0.007355196143987016,7,40,400,COMPLETE
66,36.24258215879487,2026-05-05 17:41:09.776095,2026-05-05 17:41:17.959396,0 days 00:00:08.183301,0.8162759174783738,0.005855262846360808,7,92,1400,COMPLETE
