number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,state
0,34.18184130535337,2026-03-15 12:00:44.582297,2026-03-15 12:00:47.430511,0 days 00:00:02.848214,0.6710275230004983,0.00647149623929055,5,400,COMPLETE
1,41.3518879423496,2026-03-15 12:00:47.432514,2026-03-15 12:00:58.983132,0 days 00:00:11.550618,0.8929184972738287,0.001304441459887823,7,800,COMPLETE
2,30.507018456252997,2026-03-15 12:00:58.983132,2026-03-15 12:01:03.555925,0 days 00:00:04.572793,0.5148806650653937,0.014594421004757708,6,600,COMPLETE
3,30.916767641777348,2026-03-15 12:01:03.555925,2026-03-15 12:01:14.113403,0 days 00:00:10.557478,0.7342634583766999,0.009866804195836439,8,500,COMPLETE
4,31.854199333285457,2026-03-15 12:01:14.115912,2026-03-15 12:01:30.835093,0 days 00:00:16.719181,0.6874281216753858,0.147965225754364,10,400,COMPLETE
5,38.32626348513628,2026-03-15 12:01:30.837100,2026-03-15 12:01:41.812190,0 days 00:00:10.975090,0.5554155233530553,0.0017994997090317862,7,800,COMPLETE
6,31.034513502365666,2026-03-15 12:01:41.812190,2026-03-15 12:01:57.365524,0 days 00:00:15.553334,0.9098947506573554,0.2852688725163357,8,800,COMPLETE
7,46.748475634996126,2026-03-15 12:01:57.365524,2026-03-15 12:02:00.780025,0 days 00:00:03.414501,0.6826419585475741,0.001488552603181377,5,500,COMPLETE
8,30.949347273235112,2026-03-15 12:02:00.781025,2026-03-15 12:02:10.729598,0 days 00:00:09.948573,0.6045769384400181,0.2251816937257049,8,500,COMPLETE
9,33.62257257576587,2026-03-15 12:02:10.729598,2026-03-15 12:02:13.587858,0 days 00:00:02.858260,0.5802320782053054,0.007516549032999143,3,800,COMPLETE
10,34.86761900279448,2026-03-15 12:02:13.589863,2026-03-15 12:02:14.046288,0 days 00:00:00.456425,0.822276579696507,0.038031243164975116,3,100,COMPLETE
11,32.29480686627486,2026-03-15 12:02:14.046288,2026-03-15 12:02:24.321445,0 days 00:00:10.275157,0.5065315952065328,0.02197435303783961,10,200,COMPLETE
12,31.982530481801167,2026-03-15 12:02:24.323449,2026-03-15 12:02:28.269930,0 days 00:00:03.946481,0.9981678808689689,0.00797973964831963,5,600,COMPLETE
13,30.397146208920766,2026-03-15 12:02:28.271934,2026-03-15 12:02:58.207579,0 days 00:00:29.935645,0.7724293173169827,0.051639389683507675,9,1000,COMPLETE
14,30.489806189261408,2026-03-15 12:02:58.207579,2026-03-15 12:03:28.426187,0 days 00:00:30.218608,0.8128769830323015,0.06071231551356074,9,1000,COMPLETE
15,30.5232046738089,2026-03-15 12:03:28.426187,2026-03-15 12:03:58.305806,0 days 00:00:29.879619,0.8057899662245823,0.07074298297895679,9,1000,COMPLETE
16,30.370965180739795,2026-03-15 12:03:58.305806,2026-03-15 12:04:28.300376,0 days 00:00:29.994570,0.8020009359272925,0.071654128520587,9,1000,COMPLETE
17,30.767460956259185,2026-03-15 12:04:28.300376,2026-03-15 12:04:56.299384,0 days 00:00:27.999008,0.7616898731585221,0.10414985297228853,9,1000,COMPLETE
18,31.0135587782979,2026-03-15 12:04:56.299384,2026-03-15 12:05:38.021633,0 days 00:00:41.722249,0.8758371459254677,0.029036219276312194,10,900,COMPLETE
19,30.112391812102583,2026-03-15 12:05:38.021633,2026-03-15 12:06:01.457250,0 days 00:00:23.435617,0.9634434798154681,0.045595967388230706,9,700,COMPLETE
20,29.545241757812732,2026-03-15 12:06:01.457250,2026-03-15 12:06:07.803751,0 days 00:00:06.346501,0.966928610037681,0.11393823476838018,6,700,COMPLETE
21,29.399306990485563,2026-03-15 12:06:07.805755,2026-03-15 12:06:14.123053,0 days 00:00:06.317298,0.9969745534572352,0.10270563493905124,6,700,COMPLETE
22,29.05938410550035,2026-03-15 12:06:14.123053,2026-03-15 12:06:20.409433,0 days 00:00:06.286380,0.994983554632835,0.13967017315097427,6,700,COMPLETE
23,29.526791219274543,2026-03-15 12:06:20.409433,2026-03-15 12:06:26.623688,0 days 00:00:06.214255,0.9499697035237217,0.16008856704046898,6,700,COMPLETE
24,29.182772325536376,2026-03-15 12:06:26.623688,2026-03-15 12:06:29.763992,0 days 00:00:03.140304,0.9312600992948015,0.1706420600570882,4,700,COMPLETE
