number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,37.96777236464814,2026-05-08 15:12:59.026345,2026-05-08 15:12:59.934466,0 days 00:00:00.908121,0.8134683772920432,41.47149781119087,0.21024809068539774,6,80,200,COMPLETE
1,65.52071415024604,2026-05-08 15:12:59.934466,2026-05-08 15:13:00.454529,0 days 00:00:00.520063,0.6639580671081526,65.75152122221198,0.00207921631377332,4,17,100,COMPLETE
2,40.573386113657875,2026-05-08 15:13:00.461122,2026-05-08 15:13:07.059195,0 days 00:00:06.598073,0.9310599878851675,92.69084317978987,0.19691434602531654,10,53,1000,COMPLETE
3,36.39861820324292,2026-05-08 15:13:07.074819,2026-05-08 15:13:08.867614,0 days 00:00:01.792795,0.7307801620665634,56.64565496264099,0.04254885268203151,7,41,400,COMPLETE
4,36.396302043493996,2026-05-08 15:13:08.867614,2026-05-08 15:13:10.684046,0 days 00:00:01.816432,0.7087755757565839,38.28793505100581,0.016439005245261894,6,9,400,COMPLETE
5,36.553385209999895,2026-05-08 15:13:10.684046,2026-05-08 15:13:12.789436,0 days 00:00:02.105390,0.8130430991560529,93.5810553607685,0.028359900993681665,5,10,600,COMPLETE
6,36.394646078235105,2026-05-08 15:13:12.789436,2026-05-08 15:13:16.570958,0 days 00:00:03.781522,0.8694504540613479,33.44080216787894,0.003792212317540698,5,66,1200,COMPLETE
7,39.42057231056839,2026-05-08 15:13:16.570958,2026-05-08 15:13:20.891175,0 days 00:00:04.320217,0.5812049004671884,31.76784715503881,0.13642553862305953,6,89,1500,COMPLETE
8,37.195069429019796,2026-05-08 15:13:20.891175,2026-05-08 15:13:23.032802,0 days 00:00:02.141627,0.5359520325397936,87.19294968867547,0.05417030112894979,6,55,700,COMPLETE
9,39.36365790623637,2026-05-08 15:13:23.032802,2026-05-08 15:13:23.731196,0 days 00:00:00.698394,0.8064736122160543,65.09835839533737,0.24630235952948276,8,20,100,COMPLETE
10,37.680496500900304,2026-05-08 15:13:23.731196,2026-05-08 15:13:26.173529,0 days 00:00:02.442333,0.9640313067895754,27.213161544654252,0.0018965474135753978,3,72,1200,COMPLETE
11,36.186119410783206,2026-05-08 15:13:26.173529,2026-05-08 15:13:28.710308,0 days 00:00:02.536779,0.8918725247925812,38.78996728691649,0.006273358685501405,4,36,1000,COMPLETE
12,36.32663220529114,2026-05-08 15:13:28.710308,2026-05-08 15:13:31.007590,0 days 00:00:02.297282,0.9371605910530789,42.269804869542305,0.0056095908207515355,3,38,1100,COMPLETE
13,36.2958369209624,2026-05-08 15:13:31.007590,2026-05-08 15:13:33.040318,0 days 00:00:02.032728,0.9044723271934347,45.75422389624405,0.006466096692648912,3,31,1000,COMPLETE
14,36.01157119078909,2026-05-08 15:13:33.040318,2026-05-08 15:13:35.360429,0 days 00:00:02.320111,0.9927540645709169,49.336204858889786,0.010311769282806093,4,28,900,COMPLETE
15,36.006958169451934,2026-05-08 15:13:35.360429,2026-05-08 15:13:37.514485,0 days 00:00:02.154056,0.9804853336661844,52.2836757364542,0.013896903126400803,4,29,800,COMPLETE
16,36.15930666422708,2026-05-08 15:13:37.514485,2026-05-08 15:13:39.546357,0 days 00:00:02.031872,0.9866116107171734,52.4507934084742,0.014178037228395134,4,26,800,COMPLETE
17,37.420547117669685,2026-05-08 15:13:39.546357,2026-05-08 15:13:56.943653,0 days 00:00:17.397296,0.9940376860291535,73.67625078054684,0.011839675274496423,8,2,1400,COMPLETE
18,46.42545128341776,2026-05-08 15:13:56.943653,2026-05-08 15:13:59.362170,0 days 00:00:02.418517,0.8510365204164959,49.514829499174006,0.001086965240555422,5,46,600,COMPLETE
19,37.323481154519506,2026-05-08 15:13:59.362170,2026-05-08 15:14:01.065452,0 days 00:00:01.703282,0.6639939343085959,59.1209361336271,0.08461497889689701,4,99,800,COMPLETE
20,36.86034223450277,2026-05-08 15:14:01.065452,2026-05-08 15:14:08.105053,0 days 00:00:07.039601,0.9994590515942336,72.85055587471284,0.03224184091021191,10,21,800,COMPLETE
21,36.1558806151049,2026-05-08 15:14:08.105053,2026-05-08 15:14:10.117870,0 days 00:00:02.012817,0.953256332550444,52.99893575813436,0.01825355114062374,4,28,800,COMPLETE
22,36.47758100909745,2026-05-08 15:14:10.117870,2026-05-08 15:14:12.829256,0 days 00:00:02.711386,0.9342924954155813,48.511205963289605,0.022146587448765857,5,28,900,COMPLETE
23,35.95639177108335,2026-05-08 15:14:12.829256,2026-05-08 15:14:14.068185,0 days 00:00:01.238929,0.9455724852646993,56.577710731453465,0.009949703590492763,3,13,600,COMPLETE
24,36.45310350580449,2026-05-08 15:14:14.083690,2026-05-08 15:14:15.182821,0 days 00:00:01.099131,0.8950887954649585,61.830165830194105,0.009685850248304116,3,1,500,COMPLETE
25,38.28828673868787,2026-05-08 15:14:15.182821,2026-05-08 15:14:16.579434,0 days 00:00:01.396613,0.8432062471712323,108.60578382203046,0.0036708977293300566,3,14,600,COMPLETE
26,36.84146812933311,2026-05-08 15:14:16.579434,2026-05-08 15:14:17.519232,0 days 00:00:00.939798,0.9638723674389639,73.40517700030752,0.00924317144385416,4,45,300,COMPLETE
27,36.29181766319873,2026-05-08 15:14:17.519232,2026-05-08 15:14:21.234215,0 days 00:00:03.714983,0.7821114733845407,45.29380728256141,0.004365300762678392,7,61,700,COMPLETE
28,36.05819965128385,2026-05-08 15:14:21.234215,2026-05-08 15:14:24.029898,0 days 00:00:02.795683,0.9105975283428838,32.001808965242915,0.008838437852725235,5,33,900,COMPLETE
29,37.3971560066929,2026-05-08 15:14:24.029898,2026-05-08 15:14:25.034125,0 days 00:00:01.004227,0.7695412530714665,36.30044700158645,0.07780452434658226,3,7,500,COMPLETE
30,35.81090777976034,2026-05-08 15:14:25.034125,2026-05-08 15:14:39.116771,0 days 00:00:14.082646,0.8623356335272194,55.47867886688843,0.002830436013752811,9,24,1200,COMPLETE
