number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,35.36465030142857,2026-05-08 20:27:29.169231,2026-05-08 20:27:34.723301,0 days 00:00:05.554070,0.8059719925498006,69.94476866711804,0.041658471558671785,7,37,300,COMPLETE
1,37.314429173707424,2026-05-08 20:27:34.726220,2026-05-08 20:27:50.280491,0 days 00:00:15.554271,0.9939807148169674,42.504809751202075,0.0013298004118175758,5,36,1300,COMPLETE
2,36.64140305252351,2026-05-08 20:27:50.280491,2026-05-08 20:28:28.175592,0 days 00:00:37.895101,0.505079748888364,58.20318801805482,0.026283325464679444,10,10,1300,COMPLETE
3,38.708016190135865,2026-05-08 20:28:28.175592,2026-05-08 20:28:39.701718,0 days 00:00:11.526126,0.7724566867718679,91.69302096065262,0.15394927595624863,6,51,1200,COMPLETE
4,37.184346949706445,2026-05-08 20:28:39.701718,2026-05-08 20:29:08.568949,0 days 00:00:28.867231,0.9230610579984557,45.42668792623127,0.05863868743077844,10,28,1300,COMPLETE
5,35.565888952317046,2026-05-08 20:29:08.568949,2026-05-08 20:29:28.398158,0 days 00:00:19.829209,0.7607720321623888,36.63306853396189,0.01053267633741056,8,20,1100,COMPLETE
6,35.303646828996456,2026-05-08 20:29:28.413785,2026-05-08 20:29:31.672929,0 days 00:00:03.259144,0.8299078446043424,66.33149016363392,0.02849221561776313,4,92,500,COMPLETE
7,36.05891843804265,2026-05-08 20:29:31.688563,2026-05-08 20:29:42.873037,0 days 00:00:11.184474,0.7432417340809132,45.832291245723034,0.04000510389668671,7,53,1000,COMPLETE
8,35.3999687295141,2026-05-08 20:29:42.873037,2026-05-08 20:29:59.948011,0 days 00:00:17.074974,0.8705305958928867,62.9975801991769,0.008878535396140006,7,68,1300,COMPLETE
9,38.0036867072959,2026-05-08 20:29:59.948011,2026-05-08 20:30:11.530144,0 days 00:00:11.582133,0.6040890028824342,34.15676356651597,0.0012888940547862557,5,93,1400,COMPLETE
10,64.88589795371321,2026-05-08 20:30:11.530144,2026-05-08 20:30:13.926254,0 days 00:00:02.396110,0.6635293261159105,25.046899970858444,0.2948513772703417,3,96,500,COMPLETE
11,51.7397752907158,2026-05-08 20:30:13.926254,2026-05-08 20:30:14.656288,0 days 00:00:00.730034,0.8482523727115167,91.04863124250959,0.005544013741614463,3,69,100,COMPLETE
12,35.826340378891516,2026-05-08 20:30:14.656288,2026-05-08 20:30:18.314054,0 days 00:00:03.657766,0.8686640725851598,70.70974383412461,0.08142463141347471,5,79,500,COMPLETE
13,35.242301600903005,2026-05-08 20:30:18.314054,2026-05-08 20:30:27.692053,0 days 00:00:09.377999,0.8060598861951134,75.44763624937428,0.019528874887688553,8,40,400,COMPLETE
14,36.539136631144096,2026-05-08 20:30:27.692053,2026-05-08 20:31:05.273688,0 days 00:00:37.581635,0.6875378551121974,105.01224168871278,0.01508570727179537,9,2,600,COMPLETE
15,36.589381420988076,2026-05-08 20:31:05.273688,2026-05-08 20:31:11.994742,0 days 00:00:06.721054,0.9610289497338272,80.00923157726021,0.003936147822075838,4,61,800,COMPLETE
16,36.371098955856176,2026-05-08 20:31:11.994742,2026-05-08 20:31:14.633636,0 days 00:00:02.638894,0.6931475945947243,54.747229078564835,0.027346456101284247,8,83,100,COMPLETE
17,36.8802655778317,2026-05-08 20:31:14.633636,2026-05-08 20:31:22.725477,0 days 00:00:08.091841,0.81802844871631,76.80227445214038,0.10920959400791687,6,38,800,COMPLETE
18,42.61582103214217,2026-05-08 20:31:22.725477,2026-05-08 20:31:32.540893,0 days 00:00:09.815416,0.9064542240694826,105.85280166996257,0.00344615783886487,8,79,300,COMPLETE
