number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,31.641658923032804,2026-04-12 14:32:48.934038,2026-04-12 14:33:05.254938,0 days 00:00:16.320900,0.5133498426782127,0.03643895317491562,10,5,600,0.8280056520933934,COMPLETE
1,30.966113022046244,2026-04-12 14:33:05.254938,2026-04-12 14:33:07.816737,0 days 00:00:02.561799,0.8566300452550037,0.05490834886403359,6,5,300,0.530852450603212,COMPLETE
2,31.39271436251791,2026-04-12 14:33:07.816737,2026-04-12 14:33:11.986966,0 days 00:00:04.170229,0.8484638960049056,0.01582926422760181,6,7,500,0.534159507343152,COMPLETE
3,34.547242074901725,2026-04-12 14:33:11.986966,2026-04-12 14:33:34.506256,0 days 00:00:22.519290,0.9445704060618703,0.005890619993225105,10,3,400,0.9427830017600203,COMPLETE
4,43.43431409508245,2026-04-12 14:33:34.508260,2026-04-12 14:33:49.995579,0 days 00:00:15.487319,0.6394341510320136,0.0017466098288487137,9,7,500,0.9533092977104884,COMPLETE
5,31.59974945643227,2026-04-12 14:33:49.995579,2026-04-12 14:34:02.597866,0 days 00:00:12.602287,0.8049587534034646,0.029142615858790764,10,3,300,0.7981165503068213,COMPLETE
6,31.836757746149846,2026-04-12 14:34:02.597866,2026-04-12 14:34:22.522689,0 days 00:00:19.924823,0.8325995104551238,0.07650944725104192,9,5,800,0.777248837433318,COMPLETE
7,30.47620585868798,2026-04-12 14:34:22.522689,2026-04-12 14:34:27.608500,0 days 00:00:05.085811,0.8687984075950337,0.04610701335505091,5,10,800,0.675684508236966,COMPLETE
8,51.04389784578656,2026-04-12 14:34:27.608500,2026-04-12 14:34:29.227258,0 days 00:00:01.618758,0.6863233078555151,0.0018280510519113119,4,6,300,0.7678209078847771,COMPLETE
9,31.81499737456312,2026-04-12 14:34:29.227258,2026-04-12 14:34:35.736302,0 days 00:00:06.509044,0.636553793013271,0.00931938067971643,6,1,700,0.863352830817094,COMPLETE
