number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_fair_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,35.669866357150426,2026-04-29 13:00:11.496547,2026-04-29 13:00:12.715324,0 days 00:00:01.218777,0.9330922302570936,5.585708272031322,0.1109011092030413,5,13,200,COMPLETE
1,36.31901653521345,2026-04-29 13:00:12.716079,2026-04-29 13:00:15.398718,0 days 00:00:02.682639,0.594841608062799,10.427298751894776,0.11853376588976029,9,75,300,COMPLETE
2,36.05146987003261,2026-04-29 13:00:15.399726,2026-04-29 13:00:16.934441,0 days 00:00:01.534715,0.5621892295159767,17.768990363459213,0.06762361883094155,6,52,300,COMPLETE
3,71.6386680950532,2026-04-29 13:00:16.934441,2026-04-29 13:00:18.343445,0 days 00:00:01.409004,0.884506471746962,2.880905640800833,0.003334725670786915,4,92,400,COMPLETE
4,35.49985632167345,2026-04-29 13:00:18.344190,2026-04-29 13:00:23.113875,0 days 00:00:04.769685,0.8660993939280315,41.88154697058969,0.006469046554258559,6,17,900,COMPLETE
5,57.22031810277622,2026-04-29 13:00:23.114681,2026-04-29 13:00:26.179342,0 days 00:00:03.064661,0.8225093144655464,2.92749625465303,0.0035373233162366595,8,59,600,COMPLETE
6,53.384260520523654,2026-04-29 13:00:26.179342,2026-04-29 13:00:28.932144,0 days 00:00:02.752802,0.5603879981883271,4.642949691136534,0.07139761012835187,3,67,900,COMPLETE
7,44.05116341222548,2026-04-29 13:00:28.933143,2026-04-29 13:00:31.044076,0 days 00:00:02.110933,0.516606218084855,2.4598148886532445,0.0017658797109906328,4,7,500,COMPLETE
8,36.15848499384991,2026-04-29 13:00:31.045076,2026-04-29 13:00:32.586608,0 days 00:00:01.541532,0.9264959131049655,20.734980011807167,0.20624275621252572,10,89,200,COMPLETE
9,54.05351491553464,2026-04-29 13:00:32.587608,2026-04-29 13:00:33.372221,0 days 00:00:00.784613,0.8400632879096258,2.1061382479310056,0.18193566328088043,4,48,200,COMPLETE
10,35.69667441010721,2026-04-29 13:00:33.372221,2026-04-29 13:00:39.092544,0 days 00:00:05.720323,0.702153489460392,47.51714295211664,0.015055389851003543,7,28,1000,COMPLETE
11,36.4854325892492,2026-04-29 13:00:39.092544,2026-04-29 13:00:43.801004,0 days 00:00:04.708460,0.9941414701227274,57.37014981382589,0.013802989848269694,6,3,700,COMPLETE
12,36.041413114346355,2026-04-29 13:00:43.801631,2026-04-29 13:00:47.238427,0 days 00:00:03.436796,0.7384277720952533,7.415484951166774,0.03280439616062761,5,26,800,COMPLETE
13,48.01432037615994,2026-04-29 13:00:47.238427,2026-04-29 13:00:48.162835,0 days 00:00:00.924408,0.9761559330194798,28.476837903201023,0.006255986642040675,7,21,100,COMPLETE
14,36.38012366393864,2026-04-29 13:00:48.162835,2026-04-29 13:00:50.750284,0 days 00:00:02.587449,0.7940825666413982,6.6184393305252325,0.03004269726790569,5,39,600,COMPLETE
15,35.97985181543991,2026-04-29 13:00:50.750866,2026-04-29 13:00:54.458246,0 days 00:00:03.707380,0.9118833824299502,13.047981417167824,0.00986045957101699,5,14,800,COMPLETE
16,50.00527859293393,2026-04-29 13:00:54.465210,2026-04-29 13:00:58.181714,0 days 00:00:03.716504,0.6906281577906996,35.01820815915694,0.0012760376415900045,8,37,500,COMPLETE
17,35.51427800303879,2026-04-29 13:00:58.186754,2026-04-29 13:01:01.297653,0 days 00:00:03.110899,0.874866827725162,4.8796099408974465,0.03393654894835093,3,2,1000,COMPLETE
18,36.574536311649396,2026-04-29 13:01:01.298341,2026-04-29 13:01:04.597591,0 days 00:00:03.299250,0.8600383786704952,4.51831953241293,0.005695092150402486,3,1,1000,COMPLETE
19,35.81840819286229,2026-04-29 13:01:04.598591,2026-04-29 13:01:07.522614,0 days 00:00:02.924023,0.7955059449982567,12.695086750480074,0.02848542507547563,3,16,900,COMPLETE
20,35.97917077855577,2026-04-29 13:01:07.522614,2026-04-29 13:01:12.492398,0 days 00:00:04.969784,0.6486960792962974,8.8619891810961,0.041437705212315955,10,35,800,COMPLETE
21,36.165527864857175,2026-04-29 13:01:12.492398,2026-04-29 13:01:17.581815,0 days 00:00:05.089417,0.9432760397261009,4.813035700505508,0.05876951636143951,6,12,1000,COMPLETE
22,36.41000147376776,2026-04-29 13:01:17.581815,2026-04-29 13:01:21.296032,0 days 00:00:03.714217,0.95386524606282,5.860590275950145,0.12240747237924945,5,21,900,COMPLETE
23,36.11848107961988,2026-04-29 13:01:21.296867,2026-04-29 13:01:23.826299,0 days 00:00:02.529432,0.869416940007477,4.278273232155303,0.022190382411007768,4,9,700,COMPLETE
24,140.48508045340435,2026-04-29 13:01:23.826299,2026-04-29 13:01:24.650781,0 days 00:00:00.824482,0.9026309823631609,3.412460949968226,0.2729683230782118,7,1,100,COMPLETE
25,36.44931309491597,2026-04-29 13:01:24.650781,2026-04-29 13:01:27.977455,0 days 00:00:03.326674,0.7681089915665391,8.246359885851126,0.008867093154900802,6,29,700,COMPLETE
26,36.27188814624516,2026-04-29 13:01:27.977455,2026-04-29 13:01:29.629543,0 days 00:00:01.652088,0.8260386745976911,26.42516068227066,0.09756632254889838,5,19,400,COMPLETE
27,35.92630794203263,2026-04-29 13:01:29.629543,2026-04-29 13:01:32.503517,0 days 00:00:02.873974,0.9558276054355505,16.01733846841465,0.05259490671736083,3,44,900,COMPLETE
28,35.675168827944944,2026-04-29 13:01:32.504647,2026-04-29 13:01:38.760671,0 days 00:00:06.256024,0.8988249211407573,5.493551127016126,0.022347212435503,8,9,1000,COMPLETE
29,36.40100140174856,2026-04-29 13:01:38.760671,2026-04-29 13:01:39.831748,0 days 00:00:01.071077,0.742819252007723,10.758796787495223,0.11264249105018335,4,77,300,COMPLETE
30,37.98308826856256,2026-04-29 13:01:39.831748,2026-04-29 13:01:42.543260,0 days 00:00:02.711512,0.8434208909400702,3.6437125671455437,0.010661263137567911,9,31,400,COMPLETE
31,35.652401975536954,2026-04-29 13:01:42.543260,2026-04-29 13:01:49.107697,0 days 00:00:06.564437,0.8955609310625381,5.5817481310124935,0.020157118016244178,8,9,1000,COMPLETE
32,35.79969258380625,2026-04-29 13:01:49.107697,2026-04-29 13:01:56.130928,0 days 00:00:07.023231,0.8805365430983774,8.506078032099447,0.019027106789221995,9,8,1000,COMPLETE
33,36.88312931279587,2026-04-29 13:01:56.130928,2026-04-29 13:02:01.063751,0 days 00:00:04.932823,0.9247886969378896,6.107890898026957,0.003926410585669732,7,21,900,COMPLETE
34,36.7540056587679,2026-04-29 13:02:01.063751,2026-04-29 13:02:04.821763,0 days 00:00:03.758012,0.9919808607351991,3.698642936508816,0.006739145312928896,6,14,800,COMPLETE
35,57.46443337099752,2026-04-29 13:02:04.821763,2026-04-29 13:02:08.894801,0 days 00:00:04.073038,0.8122862093025647,2.8252060581084835,0.002208900177009147,8,56,900,COMPLETE
36,36.637677047648005,2026-04-29 13:02:08.894801,2026-04-29 13:02:13.544803,0 days 00:00:04.650002,0.8636235287280016,7.229043858435641,0.0832193742608717,6,8,1000,COMPLETE
37,36.135777635725496,2026-04-29 13:02:13.544803,2026-04-29 13:02:17.884205,0 days 00:00:04.339402,0.8908579987658574,10.32749184525162,0.04196960140482798,8,4,600,COMPLETE
38,36.493505847398296,2026-04-29 13:02:17.886867,2026-04-29 13:02:19.102816,0 days 00:00:01.215949,0.9370517636864586,19.252418554398524,0.012862868825662347,4,26,300,COMPLETE
39,65.26180787551841,2026-04-29 13:02:19.102816,2026-04-29 13:02:19.917636,0 days 00:00:00.814820,0.9680375885463959,4.976497782903746,0.0029278502715289825,7,99,200,COMPLETE
40,53.24242349527058,2026-04-29 13:02:19.917636,2026-04-29 13:02:22.348833,0 days 00:00:02.431197,0.7733582514861929,3.1347570804824274,0.16808735598940486,9,64,500,COMPLETE
41,35.77090539986173,2026-04-29 13:02:22.348833,2026-04-29 13:02:28.225541,0 days 00:00:05.876708,0.9111129406448694,5.3784978958487395,0.022217881976693655,8,10,1000,COMPLETE
42,36.05141021103416,2026-04-29 13:02:28.225541,2026-04-29 13:02:33.053198,0 days 00:00:04.827657,0.8969769081147917,4.155726587450058,0.017721817680093302,7,16,1000,COMPLETE
43,35.85317486499898,2026-04-29 13:02:33.053198,2026-04-29 13:02:38.489176,0 days 00:00:05.435978,0.855807432137847,2.4775720722113235,0.042356659610115636,8,6,900,COMPLETE
44,35.781968449501214,2026-04-29 13:02:38.489176,2026-04-29 13:02:47.769735,0 days 00:00:09.280559,0.9251561368617925,6.208853395440713,0.025272844106596443,10,5,1000,COMPLETE
45,35.6074663100745,2026-04-29 13:02:47.780870,2026-04-29 13:02:51.089962,0 days 00:00:03.309092,0.8336060920766492,39.013579362857456,0.014347279004507761,5,23,800,COMPLETE
46,35.69034044696491,2026-04-29 13:02:51.089962,2026-04-29 13:02:54.652332,0 days 00:00:03.562370,0.8250155980899928,46.43979996605586,0.007292327806700655,5,24,800,COMPLETE
47,36.61891026258553,2026-04-29 13:02:54.652332,2026-04-29 13:02:57.413403,0 days 00:00:02.761071,0.8013704153530375,39.72372093200754,0.004452312266145642,4,18,700,COMPLETE
48,35.697463316245965,2026-04-29 13:02:57.413403,2026-04-29 13:03:01.115438,0 days 00:00:03.702035,0.8467531805100817,59.3079599876708,0.012915972928404146,5,32,900,COMPLETE
49,35.626325412232106,2026-04-29 13:03:01.115438,2026-04-29 13:03:05.242110,0 days 00:00:04.126672,0.7117225675178454,47.398107016623094,0.008232859884284762,6,13,800,COMPLETE
50,36.37388118221854,2026-04-29 13:03:05.242110,2026-04-29 13:03:09.228422,0 days 00:00:03.986312,0.7074653748705173,26.599142225276612,0.004742595698593047,6,42,800,COMPLETE
51,35.541042984044374,2026-04-29 13:03:09.228422,2026-04-29 13:03:13.726861,0 days 00:00:04.498439,0.5999745013803593,32.859911066599956,0.008954855235515794,6,12,900,COMPLETE
52,35.57275029245391,2026-04-29 13:03:13.726861,2026-04-29 13:03:18.177955,0 days 00:00:04.451094,0.611523636547284,33.530193464784475,0.008444851536856578,6,13,900,COMPLETE
53,35.62732641483295,2026-04-29 13:03:18.177955,2026-04-29 13:03:22.191207,0 days 00:00:04.013252,0.6001201397773389,30.947302462324444,0.007580658318692454,6,13,800,COMPLETE
54,35.73607186242852,2026-04-29 13:03:22.191207,2026-04-29 13:03:26.767325,0 days 00:00:04.576118,0.6047767536444146,49.69888335312919,0.005471388741325135,6,22,900,COMPLETE
55,35.64763064938041,2026-04-29 13:03:26.767325,2026-04-29 13:03:30.014853,0 days 00:00:03.247528,0.5172141736756625,38.36729164515684,0.010462304839109832,6,16,700,COMPLETE
56,36.178008380614685,2026-04-29 13:03:30.014853,2026-04-29 13:03:33.598777,0 days 00:00:03.583924,0.6613550352986571,23.93294685517779,0.015567344357899467,5,1,800,COMPLETE
57,35.63350377682894,2026-04-29 13:03:33.598777,2026-04-29 13:03:38.224717,0 days 00:00:04.625940,0.574513319346252,32.914339139753366,0.008522555839916386,7,26,900,COMPLETE
58,35.71310106325668,2026-04-29 13:03:38.224717,2026-04-29 13:03:42.182083,0 days 00:00:03.957366,0.664016891862385,42.27388643607076,0.011113977253624554,6,13,800,COMPLETE
59,36.74866252027566,2026-04-29 13:03:42.182083,2026-04-29 13:03:46.571341,0 days 00:00:04.389258,0.6254447634720827,50.68285858598997,0.003149388210843526,5,18,900,COMPLETE
60,36.616900758512415,2026-04-29 13:03:46.571341,2026-04-29 13:03:48.814387,0 days 00:00:02.243046,0.5733437894803164,23.01425976906399,0.0058633601749603715,3,4,700,COMPLETE
61,35.59234789684639,2026-04-29 13:03:48.814387,2026-04-29 13:03:52.885366,0 days 00:00:04.070979,0.6203010888780419,32.07311593888885,0.00733827239243345,6,12,800,COMPLETE
62,35.601720571784796,2026-04-29 13:03:52.885366,2026-04-29 13:03:57.338831,0 days 00:00:04.453465,0.5380044648227507,34.704910570422555,0.008742033541775083,6,12,900,COMPLETE
63,35.736784138159216,2026-04-29 13:03:57.338831,2026-04-29 13:04:00.955531,0 days 00:00:03.616700,0.5425771056883213,35.65594123262481,0.015149636349631231,5,10,900,COMPLETE
