number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,37.52229693777925,2026-04-29 12:26:14.490180,2026-04-29 12:26:20.981185,0 days 00:00:06.491005,0.8441864125827789,0.003067813828005361,8,27,700,COMPLETE
1,37.9886138220797,2026-04-29 12:26:20.981699,2026-04-29 12:26:21.623251,0 days 00:00:00.641552,0.5932341826745332,0.2690182210288845,9,61,100,COMPLETE
2,38.004015092168835,2026-04-29 12:26:21.624252,2026-04-29 12:26:23.176281,0 days 00:00:01.552029,0.960757381855867,0.003931094169690037,4,26,600,COMPLETE
3,37.337987239136964,2026-04-29 12:26:23.176281,2026-04-29 12:26:27.978547,0 days 00:00:04.802266,0.5400722733114385,0.0140039054942001,8,5,700,COMPLETE
4,37.01359509849301,2026-04-29 12:26:27.978547,2026-04-29 12:26:30.576777,0 days 00:00:02.598230,0.9997829579052009,0.03610968251042694,10,69,500,COMPLETE
5,36.47772799390138,2026-04-29 12:26:30.576777,2026-04-29 12:26:33.090768,0 days 00:00:02.513991,0.7066936335023294,0.015436363848641357,7,20,600,COMPLETE
6,36.36973204336687,2026-04-29 12:26:33.090768,2026-04-29 12:26:34.437327,0 days 00:00:01.346559,0.937592437359278,0.016780695143755846,3,25,800,COMPLETE
7,42.70755117403925,2026-04-29 12:26:34.437327,2026-04-29 12:26:35.547270,0 days 00:00:01.109943,0.94211825816584,0.0021101466887177866,3,35,600,COMPLETE
8,36.35623539958212,2026-04-29 12:26:35.547270,2026-04-29 12:26:38.152129,0 days 00:00:02.604859,0.6776483954255965,0.011668237406384159,7,70,800,COMPLETE
9,37.964755724468574,2026-04-29 12:26:38.152129,2026-04-29 12:26:42.754717,0 days 00:00:04.602588,0.6426563467647374,0.002156689382256484,7,71,1000,COMPLETE
10,38.71475838654418,2026-04-29 12:26:42.754717,2026-04-29 12:26:43.413522,0 days 00:00:00.658805,0.7838267168308803,0.1997607704902023,5,100,300,COMPLETE
11,37.187989376835944,2026-04-29 12:26:43.413522,2026-04-29 12:26:45.670773,0 days 00:00:02.257251,0.8533767884147067,0.0419134251983845,5,46,1000,COMPLETE
12,36.35443294231078,2026-04-29 12:26:45.670773,2026-04-29 12:26:47.973495,0 days 00:00:02.302722,0.7220062245564914,0.008948716654717536,6,80,800,COMPLETE
13,36.38810014125079,2026-04-29 12:26:47.973495,2026-04-29 12:26:50.562463,0 days 00:00:02.588968,0.7140110291647072,0.00767952947592931,6,91,900,COMPLETE
14,46.66303260511117,2026-04-29 12:26:50.562463,2026-04-29 12:26:53.499923,0 days 00:00:02.937460,0.6612365820898437,0.0010291026723464882,6,83,800,COMPLETE
15,38.43581185909413,2026-04-29 12:26:53.499923,2026-04-29 12:26:56.261873,0 days 00:00:02.761950,0.7834592699887573,0.07869307425388355,8,55,800,COMPLETE
16,38.17436545891987,2026-04-29 12:26:56.261873,2026-04-29 12:26:57.312768,0 days 00:00:01.050895,0.5313406489172019,0.006576029009124962,5,78,400,COMPLETE
17,35.95294246499269,2026-04-29 12:26:57.312768,2026-04-29 12:27:00.621817,0 days 00:00:03.309049,0.6162845593827873,0.007276932851575209,7,45,900,COMPLETE
18,37.17087324456696,2026-04-29 12:27:00.621817,2026-04-29 12:27:02.842558,0 days 00:00:02.220741,0.6002360109385816,0.044722763781267556,6,46,900,COMPLETE
19,35.88801868519181,2026-04-29 12:27:02.842558,2026-04-29 12:27:08.551212,0 days 00:00:05.708654,0.6090687333499004,0.00603423892151408,9,40,1000,COMPLETE
20,36.047206515060104,2026-04-29 12:27:08.551212,2026-04-29 12:27:16.590453,0 days 00:00:08.039241,0.6159608499664206,0.004487022372935975,10,39,1000,COMPLETE
21,36.07517200486397,2026-04-29 12:27:16.590453,2026-04-29 12:27:24.815560,0 days 00:00:08.225107,0.5947751316729283,0.004286015551827868,10,39,1000,COMPLETE
22,36.53421436864375,2026-04-29 12:27:24.815560,2026-04-29 12:27:32.882542,0 days 00:00:08.066982,0.5085717324221969,0.0056254232341500406,9,13,900,COMPLETE
23,44.06027598143589,2026-04-29 12:27:32.882542,2026-04-29 12:27:41.498098,0 days 00:00:08.615556,0.6172829898433028,0.0010141759120176244,9,39,1000,COMPLETE
24,37.69922215079482,2026-04-29 12:27:41.498098,2026-04-29 12:27:49.269983,0 days 00:00:07.771885,0.5589622418927905,0.0024568710667881516,10,50,900,COMPLETE
25,37.20305041626402,2026-04-29 12:27:49.269983,2026-04-29 12:27:52.876999,0 days 00:00:03.607016,0.5667551006377716,0.026487415420595743,9,58,1000,COMPLETE
26,35.88451107397955,2026-04-29 12:27:52.876999,2026-04-29 12:28:00.733205,0 days 00:00:07.856206,0.6631837860191824,0.004948764892973423,10,34,900,COMPLETE
27,35.95583028980627,2026-04-29 12:28:00.733205,2026-04-29 12:28:04.136486,0 days 00:00:03.403281,0.655252790542513,0.009697325705688507,8,32,700,COMPLETE
28,40.36469919076255,2026-04-29 12:28:04.151991,2026-04-29 12:28:12.141846,0 days 00:00:07.989855,0.76218313980296,0.0015195901119160091,9,45,900,COMPLETE
29,38.417779706503,2026-04-29 12:28:12.141846,2026-04-29 12:28:17.768524,0 days 00:00:05.626678,0.6954917483695668,0.002840036275960077,8,16,700,COMPLETE
30,42.50365736581357,2026-04-29 12:28:17.769035,2026-04-29 12:28:20.776106,0 days 00:00:03.007071,0.8222121919200392,0.005438518951796601,10,30,200,COMPLETE
31,35.95328193977875,2026-04-29 12:28:20.776106,2026-04-29 12:28:24.274286,0 days 00:00:03.498180,0.6506460250086422,0.009503170400595798,8,31,700,COMPLETE
32,36.52338042056725,2026-04-29 12:28:24.274286,2026-04-29 12:28:26.842964,0 days 00:00:02.568678,0.633025880393651,0.020364205197170165,8,53,700,COMPLETE
33,36.71129469403336,2026-04-29 12:28:26.842964,2026-04-29 12:28:34.616673,0 days 00:00:07.773709,0.5735971584666092,0.0035074276726163576,9,25,900,COMPLETE
34,36.53754903680284,2026-04-29 12:28:34.616673,2026-04-29 12:28:36.835291,0 days 00:00:02.218618,0.6739124581683478,0.007310890797813828,7,61,500,COMPLETE
35,37.410088980547435,2026-04-29 12:28:36.835291,2026-04-29 12:28:43.133469,0 days 00:00:06.298178,0.7455683001716582,0.011055306675761451,8,6,800,COMPLETE
36,37.87482546358577,2026-04-29 12:28:43.133469,2026-04-29 12:28:48.346171,0 days 00:00:05.212702,0.6323657418755222,0.0034580147296120562,9,36,600,COMPLETE
37,38.676049012243425,2026-04-29 12:28:48.346171,2026-04-29 12:28:49.977823,0 days 00:00:01.631652,0.5847570083853243,0.019895106711738293,10,21,100,COMPLETE
38,36.39954172799211,2026-04-29 12:28:49.977823,2026-04-29 12:28:53.101704,0 days 00:00:03.123881,0.5348765335564633,0.005428534540675407,7,44,700,COMPLETE
39,36.45699157241763,2026-04-29 12:28:53.101704,2026-04-29 12:28:57.764844,0 days 00:00:04.663140,0.6906110094271803,0.015100440002898827,9,29,900,COMPLETE
40,47.73068253200863,2026-04-29 12:28:57.764844,2026-04-29 12:29:00.878036,0 days 00:00:03.113192,0.6128702840197031,0.0014978351600368857,8,65,500,COMPLETE
41,35.95438515759703,2026-04-29 12:29:00.878036,2026-04-29 12:29:04.347653,0 days 00:00:03.469617,0.6447859291163088,0.01021363214203053,8,32,700,COMPLETE
42,36.06895597908687,2026-04-29 12:29:04.363157,2026-04-29 12:29:06.704070,0 days 00:00:02.340913,0.6474083736023896,0.012553347141112215,7,34,600,COMPLETE
43,36.059531629354055,2026-04-29 12:29:06.704070,2026-04-29 12:29:11.477241,0 days 00:00:04.773171,0.729572437483301,0.008624404888594523,8,19,800,COMPLETE
44,36.81499981593208,2026-04-29 12:29:11.477241,2026-04-29 12:29:14.057867,0 days 00:00:02.580626,0.6766068230236209,0.025680382641164727,7,25,700,COMPLETE
45,35.846883232421774,2026-04-29 12:29:14.057867,2026-04-29 12:29:19.263663,0 days 00:00:05.205796,0.6313491159183849,0.006285718521879775,9,41,800,COMPLETE
46,36.287022635602284,2026-04-29 12:29:19.263663,2026-04-29 12:29:24.770874,0 days 00:00:05.507211,0.5527261797922596,0.004702471095670258,9,42,800,COMPLETE
